#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   cswch/s nvcswch/s  Command
 1708450622 39075    181894   25.00    3.00    0.00   28.00     4  36879.00      0.00 2642424   5324   0.00    101.00      2.00  mb_server
 1708450624 39075    181894  550.00   51.00    0.00  601.00     4  11062.00      0.00 2897228  65352   0.03      0.00      0.00  mb_server
 1708450625 39075    181894  916.00   77.00    0.00  993.00     4  13885.00      0.00 2897228  93412   0.05      0.00      0.00  mb_server
 1708450626 39075    181894  927.00   72.00    0.00  999.00     4   7626.00      0.00 2897228 123256   0.06      0.00      0.00  mb_server
 1708450627 39075    181894  922.00   75.00    0.00  997.00     4  15842.00      0.00 2897228 153160   0.08      0.00      0.00  mb_server
 1708450628 39075    181894  928.00   68.00    0.00  996.00     4  10421.00      0.00 2897228 183316   0.09      0.00      0.00  mb_server
 1708450629 39075    181894  917.00   78.00    0.00  995.00     4  17990.00      0.00 2897228 212784   0.11      0.00      0.00  mb_server
 1708450630 39075    181894  918.00   77.00    0.00  995.00     4  18661.00      0.00 2897228 242264   0.12      0.00      0.00  mb_server
 1708450631 39075    181894  927.00   69.00    0.00  996.00     4  13378.00      0.00 2897228 272516   0.14      0.00      0.00  mb_server
 1708450632 39075    181894  922.00   75.00    0.00  997.00     4  17271.00      0.00 2897228 302364   0.15      0.00      0.00  mb_server
 1708450633 39075    181894  919.80   66.34    0.00  986.14     4  13783.17      0.00 2897228 332048   0.17      0.00      0.00  mb_server
 1708450634 39075    181894  663.00   69.00    0.00  732.00     4   7026.00      0.00 2897228 352340   0.18      0.00      0.00  mb_server
 1708450635 39075    181894  295.00   75.00    0.00  370.00     4     37.00      0.00 2897228 352340   0.18      0.00      0.00  mb_server
 1708450636 39075    181894  917.00   76.00    0.00  993.00     4      0.00      0.00 2897228 352340   0.18      0.00      0.00  mb_server
 1708450637 39075    181894  930.00   74.00    0.00 1004.00     4     94.00      0.00 2897228 352844   0.18      0.00      0.00  mb_server
