#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   cswch/s nvcswch/s  Command
 1708452239 39075    197039   24.00    4.00    0.00   28.00     2  36877.00      0.00 2642488   7356   0.00    101.00      4.00  mb_server
 1708452241 39075    197039  158.00  210.00    0.00  368.00     2   1274.00      0.00 2843200   9452   0.00      0.00      0.00  mb_server
 1708452242 39075    197039  390.00  543.00    0.00  933.00     2   2497.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452243 39075    197039    1.00    1.00    0.00    2.00     2     15.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452244 39075    197039    1.00    1.00    0.00    2.00     2     25.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452245 39075    197039    1.00    1.00    0.00    2.00     2      8.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452246 39075    197039    1.00    1.00    0.00    2.00     2      3.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452247 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452248 39075    197039    0.99    0.99    0.00    1.98     2      0.99      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452249 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452250 39075    197039    1.00    1.00    0.00    2.00     2      1.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452251 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452252 39075    197039    1.00    1.00    0.00    2.00     2      2.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452253 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452254 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452255 39075    197039    1.00    2.00    0.00    3.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452256 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452257 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452258 39075    197039    0.99    0.99    0.00    1.98     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452259 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452260 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452261 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452262 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452263 39075    197039    0.00    1.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452264 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452265 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452266 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452267 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452268 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452269 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452270 39075    197039    0.99    0.00    0.00    0.99     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452271 39075    197039    1.00    1.00    0.00    2.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452272 39075    197039    0.00    1.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452273 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452274 39075    197039    0.00    1.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452276 39075    197039    1.00    0.00    0.00    1.00     2      0.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
 1708452277 39075    197039    0.00    1.00    0.00    1.00     2    119.00      0.00 2908736  16192   0.01      0.00      0.00  mb_server
