mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.30:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -random_delay=false

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0031.ten.osc.edu, Rank 7, Rate 165766.21 RPCs/s, TX Bandwidth 45.09 Mb/s, RX Bandwidth 13.26 Mb/s, RTT (us) mean 11.97, P50 7.72, P95 7.89, P99 7.90, max 3151.87
Host p0029.ten.osc.edu, Rank 3, Rate 169718.46 RPCs/s, TX Bandwidth 46.16 Mb/s, RX Bandwidth 13.58 Mb/s, RTT (us) mean 11.70, P50 8.51, P95 8.70, P99 8.71, max 2001.92
Host p0028.ten.osc.edu, Rank 0, Rate 165485.74 RPCs/s, TX Bandwidth 45.01 Mb/s, RX Bandwidth 13.24 Mb/s, RTT (us) mean 12.00, P50 8.73, P95 8.85, P99 8.86, max 1969.15
Host p0032.ten.osc.edu, Rank 9, Rate 160228.86 RPCs/s, TX Bandwidth 43.58 Mb/s, RX Bandwidth 12.82 Mb/s, RTT (us) mean 12.41, P50 8.50, P95 8.73, P99 8.74, max 2063.36
Host p0035.ten.osc.edu, Rank 15, Rate 156869.32 RPCs/s, TX Bandwidth 42.67 Mb/s, RX Bandwidth 12.55 Mb/s, RTT (us) mean 12.68, P50 8.75, P95 8.89, P99 8.89, max 3680.26
Host p0033.ten.osc.edu, Rank 11, Rate 179677.92 RPCs/s, TX Bandwidth 48.87 Mb/s, RX Bandwidth 14.37 Mb/s, RTT (us) mean 11.05, P50 8.41, P95 8.47, P99 8.47, max 2008.06
Host p0028.ten.osc.edu, Rank 1, Rate 155386.63 RPCs/s, TX Bandwidth 42.27 Mb/s, RX Bandwidth 12.43 Mb/s, RTT (us) mean 12.79, P50 9.16, P95 9.39, P99 9.41, max 2811.90
Host p0029.ten.osc.edu, Rank 2, Rate 186759.23 RPCs/s, TX Bandwidth 50.80 Mb/s, RX Bandwidth 14.94 Mb/s, RTT (us) mean 10.64, P50 8.41, P95 8.44, P99 8.44, max 1967.10
Host p0034.ten.osc.edu, Rank 13, Rate 142947.70 RPCs/s, TX Bandwidth 38.88 Mb/s, RX Bandwidth 11.44 Mb/s, RTT (us) mean 13.92, P50 9.73, P95 9.90, P99 9.92, max 3256.32
Host p0032.ten.osc.edu, Rank 8, Rate 192796.64 RPCs/s, TX Bandwidth 52.44 Mb/s, RX Bandwidth 15.42 Mb/s, RTT (us) mean 10.31, P50 8.44, P95 8.47, P99 8.48, max 1928.19
