mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.20:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0014.ten.osc.edu, Rank 10, Rate 8861.81 RPCs/s, TX Bandwidth 2.41 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 112.59, P50 32.51, P95 34.46, P99 34.72, max 40108.03
Host p0020.ten.osc.edu, Rank 90, Rate 9298.88 RPCs/s, TX Bandwidth 2.53 Mb/s, RX Bandwidth 0.74 Mb/s, RTT (us) mean 107.32, P50 30.08, P95 31.52, P99 31.77, max 37945.34
Host p0017.ten.osc.edu, Rank 58, Rate 8488.66 RPCs/s, TX Bandwidth 2.31 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 117.56, P50 35.10, P95 36.86, P99 36.90, max 38043.65
Host p0020.ten.osc.edu, Rank 92, Rate 9302.85 RPCs/s, TX Bandwidth 2.53 Mb/s, RX Bandwidth 0.74 Mb/s, RTT (us) mean 107.26, P50 33.70, P95 35.36, P99 35.49, max 37781.50
Host p0021.ten.osc.edu, Rank 106, Rate 8921.83 RPCs/s, TX Bandwidth 2.43 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 111.80, P50 33.34, P95 35.55, P99 35.65, max 37847.04
Host p0014.ten.osc.edu, Rank 8, Rate 9200.68 RPCs/s, TX Bandwidth 2.50 Mb/s, RX Bandwidth 0.74 Mb/s, RTT (us) mean 108.48, P50 31.63, P95 33.15, P99 33.41, max 37879.81
Host p0020.ten.osc.edu, Rank 94, Rate 8698.83 RPCs/s, TX Bandwidth 2.37 Mb/s, RX Bandwidth 0.70 Mb/s, RTT (us) mean 114.76, P50 30.41, P95 32.26, P99 32.32, max 37814.27
Host p0021.ten.osc.edu, Rank 108, Rate 8215.53 RPCs/s, TX Bandwidth 2.23 Mb/s, RX Bandwidth 0.66 Mb/s, RTT (us) mean 121.42, P50 33.73, P95 35.87, P99 36.00, max 38076.42
Host p0016.ten.osc.edu, Rank 42, Rate 7111.58 RPCs/s, TX Bandwidth 1.93 Mb/s, RX Bandwidth 0.57 Mb/s, RTT (us) mean 140.28, P50 36.09, P95 39.04, P99 39.20, max 37978.11
Host p0017.ten.osc.edu, Rank 62, Rate 9731.22 RPCs/s, TX Bandwidth 2.65 Mb/s, RX Bandwidth 0.78 Mb/s, RTT (us) mean 102.51, P50 33.34, P95 35.36, P99 35.58, max 37847.04
Host p0015.ten.osc.edu, Rank 26, Rate 9321.91 RPCs/s, TX Bandwidth 2.54 Mb/s, RX Bandwidth 0.75 Mb/s, RTT (us) mean 106.93, P50 38.30, P95 40.32, P99 40.41, max 37814.27
Host p0014.ten.osc.edu, Rank 13, Rate 9065.39 RPCs/s, TX Bandwidth 2.47 Mb/s, RX Bandwidth 0.73 Mb/s, RTT (us) mean 110.04, P50 32.77, P95 34.43, P99 34.53, max 37814.27
Host p0020.ten.osc.edu, Rank 89, Rate 9181.60 RPCs/s, TX Bandwidth 2.50 Mb/s, RX Bandwidth 0.73 Mb/s, RTT (us) mean 108.62, P50 30.80, P95 32.51, P99 32.66, max 38076.42
Host p0021.ten.osc.edu, Rank 109, Rate 9541.73 RPCs/s, TX Bandwidth 2.60 Mb/s, RX Bandwidth 0.76 Mb/s, RTT (us) mean 104.55, P50 32.00, P95 33.76, P99 33.85, max 37748.74
Host p0016.ten.osc.edu, Rank 45, Rate 7445.99 RPCs/s, TX Bandwidth 2.03 Mb/s, RX Bandwidth 0.60 Mb/s, RTT (us) mean 133.99, P50 36.58, P95 39.36, P99 39.55, max 37879.81
Host p0017.ten.osc.edu, Rank 57, Rate 8911.56 RPCs/s, TX Bandwidth 2.42 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 111.94, P50 33.92, P95 36.03, P99 36.29, max 37847.04
Host p0015.ten.osc.edu, Rank 24, Rate 8789.61 RPCs/s, TX Bandwidth 2.39 Mb/s, RX Bandwidth 0.70 Mb/s, RTT (us) mean 113.48, P50 34.08, P95 35.94, P99 36.03, max 37945.34
Host p0018.ten.osc.edu, Rank 77, Rate 8561.07 RPCs/s, TX Bandwidth 2.33 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 116.49, P50 34.59, P95 36.22, P99 36.35, max 37879.81
Host p0014.ten.osc.edu, Rank 9, Rate 8997.10 RPCs/s, TX Bandwidth 2.45 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 110.87, P50 33.18, P95 35.23, P99 35.26, max 37945.34
Host p0020.ten.osc.edu, Rank 88, Rate 8751.47 RPCs/s, TX Bandwidth 2.38 Mb/s, RX Bandwidth 0.70 Mb/s, RTT (us) mean 113.98, P50 34.30, P95 35.81, P99 35.87, max 37748.74
Host p0021.ten.osc.edu, Rank 104, Rate 9852.05 RPCs/s, TX Bandwidth 2.68 Mb/s, RX Bandwidth 0.79 Mb/s, RTT (us) mean 101.22, P50 32.37, P95 34.24, P99 34.30, max 37945.34
Host p0016.ten.osc.edu, Rank 44, Rate 7578.40 RPCs/s, TX Bandwidth 2.06 Mb/s, RX Bandwidth 0.61 Mb/s, RTT (us) mean 131.66, P50 35.65, P95 37.76, P99 37.85, max 37847.04
Host p0017.ten.osc.edu, Rank 56, Rate 8826.65 RPCs/s, TX Bandwidth 2.40 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 113.00, P50 33.89, P95 36.06, P99 36.19, max 37912.57
Host p0015.ten.osc.edu, Rank 30, Rate 9373.64 RPCs/s, TX Bandwidth 2.55 Mb/s, RX Bandwidth 0.75 Mb/s, RTT (us) mean 106.34, P50 35.42, P95 37.31, P99 37.41, max 37814.27
Host p0022.ten.osc.edu, Rank 124, Rate 9176.48 RPCs/s, TX Bandwidth 2.50 Mb/s, RX Bandwidth 0.73 Mb/s, RTT (us) mean 108.71, P50 32.72, P95 34.85, P99 34.98, max 37814.27
Host p0018.ten.osc.edu, Rank 73, Rate 8585.74 RPCs/s, TX Bandwidth 2.34 Mb/s, RX Bandwidth 0.69 Mb/s, RTT (us) mean 116.21, P50 33.34, P95 35.55, P99 35.65, max 37945.34
Host p0014.ten.osc.edu, Rank 12, Rate 8959.06 RPCs/s, TX Bandwidth 2.44 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 111.38, P50 31.77, P95 33.41, P99 33.57, max 37945.34
Host p0020.ten.osc.edu, Rank 91, Rate 7842.54 RPCs/s, TX Bandwidth 2.13 Mb/s, RX Bandwidth 0.63 Mb/s, RTT (us) mean 127.23, P50 34.69, P95 36.86, P99 37.12, max 37912.57
Host p0021.ten.osc.edu, Rank 105, Rate 9062.91 RPCs/s, TX Bandwidth 2.47 Mb/s, RX Bandwidth 0.73 Mb/s, RTT (us) mean 110.05, P50 34.40, P95 36.70, P99 37.15, max 37945.34
Host p0016.ten.osc.edu, Rank 43, Rate 6848.89 RPCs/s, TX Bandwidth 1.86 Mb/s, RX Bandwidth 0.55 Mb/s, RTT (us) mean 145.64, P50 39.42, P95 42.66, P99 42.72, max 42106.88
Host p0017.ten.osc.edu, Rank 60, Rate 8428.18 RPCs/s, TX Bandwidth 2.29 Mb/s, RX Bandwidth 0.67 Mb/s, RTT (us) mean 118.39, P50 33.22, P95 34.78, P99 34.94, max 37978.11
Host p0015.ten.osc.edu, Rank 29, Rate 8198.33 RPCs/s, TX Bandwidth 2.23 Mb/s, RX Bandwidth 0.66 Mb/s, RTT (us) mean 121.66, P50 35.97, P95 38.78, P99 39.04, max 37748.74
Host p0022.ten.osc.edu, Rank 123, Rate 9505.92 RPCs/s, TX Bandwidth 2.59 Mb/s, RX Bandwidth 0.76 Mb/s, RTT (us) mean 105.01, P50 30.72, P95 32.00, P99 32.09, max 38207.49
Host p0022.ten.osc.edu, Rank 125, Rate 9667.33 RPCs/s, TX Bandwidth 2.63 Mb/s, RX Bandwidth 0.77 Mb/s, RTT (us) mean 103.23, P50 32.29, P95 33.79, P99 33.85, max 38043.65
Host p0014.ten.osc.edu, Rank 11, Rate 8364.74 RPCs/s, TX Bandwidth 2.28 Mb/s, RX Bandwidth 0.67 Mb/s, RTT (us) mean 119.24, P50 34.53, P95 36.48, P99 36.73, max 37945.34
Host p0020.ten.osc.edu, Rank 93, Rate 8086.68 RPCs/s, TX Bandwidth 2.20 Mb/s, RX Bandwidth 0.65 Mb/s, RTT (us) mean 123.34, P50 35.94, P95 38.30, P99 38.56, max 38010.88
Host p0021.ten.osc.edu, Rank 107, Rate 8225.92 RPCs/s, TX Bandwidth 2.24 Mb/s, RX Bandwidth 0.66 Mb/s, RTT (us) mean 121.34, P50 31.61, P95 32.80, P99 32.83, max 37847.04
Host p0016.ten.osc.edu, Rank 41, Rate 8999.94 RPCs/s, TX Bandwidth 2.45 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 110.86, P50 31.26, P95 32.64, P99 32.72, max 37945.34
Host p0017.ten.osc.edu, Rank 59, Rate 9507.83 RPCs/s, TX Bandwidth 2.59 Mb/s, RX Bandwidth 0.76 Mb/s, RTT (us) mean 104.93, P50 31.90, P95 33.47, P99 33.66, max 37978.11
