mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 46426.25 RPCs/s, TX Bandwidth 12.63 Mb/s, RX Bandwidth 3.71 Mb/s, RTT (us) mean 42.94, P50 28.19, P95 28.75, P99 28.80, max 383.49
Host p0072.ten.osc.edu, Rank 3, Rate 39390.24 RPCs/s, TX Bandwidth 10.71 Mb/s, RX Bandwidth 3.15 Mb/s, RTT (us) mean 50.62, P50 28.09, P95 28.70, P99 28.73, max 843.26
Host p0050.ten.osc.edu, Rank 2, Rate 45860.19 RPCs/s, TX Bandwidth 12.47 Mb/s, RX Bandwidth 3.67 Mb/s, RTT (us) mean 43.48, P50 27.38, P95 27.84, P99 27.87, max 5689.34
Host p0048.ten.osc.edu, Rank 1, Rate 40893.56 RPCs/s, TX Bandwidth 11.12 Mb/s, RX Bandwidth 3.27 Mb/s, RTT (us) mean 48.77, P50 28.94, P95 29.49, P99 29.54, max 381.95
Host p0046.ten.osc.edu, Rank 0, Rate 46524.43 RPCs/s, TX Bandwidth 12.65 Mb/s, RX Bandwidth 3.72 Mb/s, RTT (us) mean 42.90, P50 27.02, P95 27.47, P99 27.52, max 656.38
Host p0072.ten.osc.edu, Rank 3, Rate 41967.65 RPCs/s, TX Bandwidth 11.42 Mb/s, RX Bandwidth 3.36 Mb/s, RTT (us) mean 49.02, P50 28.78, P95 29.47, P99 29.54, max 843.26
Host p0050.ten.osc.edu, Rank 2, Rate 45411.21 RPCs/s, TX Bandwidth 12.35 Mb/s, RX Bandwidth 3.63 Mb/s, RTT (us) mean 43.70, P50 26.98, P95 27.42, P99 27.47, max 5689.34
Host p0048.ten.osc.edu, Rank 1, Rate 46246.99 RPCs/s, TX Bandwidth 12.58 Mb/s, RX Bandwidth 3.70 Mb/s, RTT (us) mean 45.77, P50 29.33, P95 29.98, P99 30.03, max 872.96
Host p0046.ten.osc.edu, Rank 0, Rate 43620.66 RPCs/s, TX Bandwidth 11.86 Mb/s, RX Bandwidth 3.49 Mb/s, RTT (us) mean 43.80, P50 27.17, P95 27.66, P99 27.71, max 656.38
Host p0072.ten.osc.edu, Rank 3, Rate 40466.09 RPCs/s, TX Bandwidth 11.01 Mb/s, RX Bandwidth 3.24 Mb/s, RTT (us) mean 49.11, P50 28.91, P95 29.73, P99 29.77, max 843.26
Host p0050.ten.osc.edu, Rank 2, Rate 43313.62 RPCs/s, TX Bandwidth 11.78 Mb/s, RX Bandwidth 3.47 Mb/s, RTT (us) mean 44.45, P50 27.12, P95 27.73, P99 27.77, max 5689.34
