
Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6

Server listening on 0.0.0.0:50051 CQs: 40 Threads: 40 NUMA: 0 Prepost: 1
E0212 10:40:48.661460160   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 0, r = 65
E0212 10:40:48.661538462   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 1, r = 65
E0212 10:40:48.661549187   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 2, r = 65
E0212 10:40:48.661556731   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 3, r = 65
E0212 10:40:48.661563533   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 4, r = 65
E0212 10:40:48.661569902   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 5, r = 65
E0212 10:40:48.661576287   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 6, r = 65
E0212 10:40:48.661582732   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 7, r = 65
E0212 10:40:48.661588933   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 8, r = 65
E0212 10:40:48.661595196   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 9, r = 65
E0212 10:40:48.661601470   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 10, r = 65
E0212 10:40:48.661607805   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 11, r = 65
E0212 10:40:48.661614049   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 12, r = 65
E0212 10:40:48.661620341   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 13, r = 65
E0212 10:40:48.661626535   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 14, r = 65
E0212 10:40:48.661633014   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 15, r = 65
E0212 10:40:48.661639205   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 16, r = 65
E0212 10:40:48.661645463   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 17, r = 65
E0212 10:40:48.661651630   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 18, r = 65
E0212 10:40:48.661657882   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 19, r = 65
E0212 10:40:48.661664303   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 20, r = 65
E0212 10:40:48.661670551   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 21, r = 65
E0212 10:40:48.661676766   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 22, r = 65
E0212 10:40:48.661683228   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 23, r = 65
E0212 10:40:48.661689426   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 24, r = 65
E0212 10:40:48.661695661   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 25, r = 65
E0212 10:40:48.661701876   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 26, r = 65
E0212 10:40:48.661708092   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 27, r = 65
E0212 10:40:48.661714534   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 28, r = 65
E0212 10:40:48.661720730   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 29, r = 65
E0212 10:40:48.661726974   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 30, r = 65
E0212 10:40:48.661733194   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 31, r = 65
E0212 10:40:48.661739469   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 32, r = 65
E0212 10:40:48.661746159   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 33, r = 65
E0212 10:40:48.661752396   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 34, r = 65
E0212 10:40:48.661758644   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 35, r = 65
E0212 10:40:48.661764908   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 36, r = 65
E0212 10:40:48.661771458   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 37, r = 65
E0212 10:40:48.661777653   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 38, r = 65
E0212 10:40:48.661784745   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 39, r = 65
E0212 10:40:48.661793109   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 40, r = 65
E0212 10:40:48.661799776   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 41, r = 65
E0212 10:40:48.661806045   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 42, r = 65
E0212 10:40:48.661812340   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 43, r = 65
E0212 10:40:48.661818535   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 44, r = 65
E0212 10:40:48.661825405   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 45, r = 65
E0212 10:40:48.661831820   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 46, r = 65
E0212 10:40:48.661838069   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 47, r = 65
E0212 10:40:48.661844489   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 48, r = 65
E0212 10:40:48.661850716   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 49, r = 65
E0212 10:40:48.661856944   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 50, r = 65
E0212 10:40:48.661863175   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 51, r = 65
E0212 10:40:48.661869369   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 52, r = 65
E0212 10:40:48.661875839   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 53, r = 65
E0212 10:40:48.661882029   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 54, r = 65
E0212 10:40:48.661888264   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 55, r = 65
E0212 10:40:48.661894461   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 56, r = 65
E0212 10:40:48.661900693   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 57, r = 65
E0212 10:40:48.661906911   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 58, r = 65
E0212 10:40:48.661913357   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 59, r = 65
E0212 10:40:48.661919554   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 60, r = 65
E0212 10:40:48.661926050   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 61, r = 65
E0212 10:40:48.661932245   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 62, r = 65
