mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0072.ten.osc.edu, Rank 7, Rate 127052.69 RPCs/s, TX Bandwidth 34.56 Mb/s, RX Bandwidth 10.16 Mb/s, RTT (us) mean 15.67, P50 10.13, P95 10.35, P99 10.38, max 669.70
Host p0048.ten.osc.edu, Rank 2, Rate 110940.79 RPCs/s, TX Bandwidth 30.18 Mb/s, RX Bandwidth 8.88 Mb/s, RTT (us) mean 17.95, P50 10.90, P95 11.12, P99 11.13, max 1226.75
Host p0112.ten.osc.edu, Rank 12, Rate 163160.41 RPCs/s, TX Bandwidth 44.38 Mb/s, RX Bandwidth 13.05 Mb/s, RTT (us) mean 12.18, P50 9.84, P95 9.88, P99 9.88, max 813.05
Host p0101.ten.osc.edu, Rank 9, Rate 128617.98 RPCs/s, TX Bandwidth 34.98 Mb/s, RX Bandwidth 10.29 Mb/s, RTT (us) mean 15.43, P50 10.10, P95 10.20, P99 10.21, max 667.65
Host p0128.ten.osc.edu, Rank 15, Rate 112343.64 RPCs/s, TX Bandwidth 30.56 Mb/s, RX Bandwidth 8.99 Mb/s, RTT (us) mean 17.73, P50 11.14, P95 11.35, P99 11.36, max 1190.91
Host p0050.ten.osc.edu, Rank 5, Rate 121008.78 RPCs/s, TX Bandwidth 32.91 Mb/s, RX Bandwidth 9.68 Mb/s, RTT (us) mean 16.45, P50 9.89, P95 10.04, P99 10.05, max 1320.96
Host p0110.ten.osc.edu, Rank 10, Rate 131420.38 RPCs/s, TX Bandwidth 35.75 Mb/s, RX Bandwidth 10.51 Mb/s, RTT (us) mean 15.14, P50 10.06, P95 10.27, P99 10.29, max 1274.88
Host p0110.ten.osc.edu, Rank 11, Rate 104373.53 RPCs/s, TX Bandwidth 28.39 Mb/s, RX Bandwidth 8.35 Mb/s, RTT (us) mean 19.06, P50 10.57, P95 10.81, P99 10.84, max 1143.81
Host p0046.ten.osc.edu, Rank 1, Rate 104235.96 RPCs/s, TX Bandwidth 28.35 Mb/s, RX Bandwidth 8.34 Mb/s, RTT (us) mean 19.08, P50 10.99, P95 11.20, P99 11.21, max 1700.86
Host p0050.ten.osc.edu, Rank 4, Rate 129907.10 RPCs/s, TX Bandwidth 35.34 Mb/s, RX Bandwidth 10.39 Mb/s, RTT (us) mean 15.32, P50 9.68, P95 9.84, P99 9.85, max 1257.47
Host p0128.ten.osc.edu, Rank 14, Rate 122464.35 RPCs/s, TX Bandwidth 33.31 Mb/s, RX Bandwidth 9.80 Mb/s, RTT (us) mean 16.26, P50 11.10, P95 11.34, P99 11.35, max 1217.54
Host p0048.ten.osc.edu, Rank 3, Rate 122682.29 RPCs/s, TX Bandwidth 33.37 Mb/s, RX Bandwidth 9.81 Mb/s, RTT (us) mean 16.23, P50 10.49, P95 10.68, P99 10.69, max 1173.50
Host p0112.ten.osc.edu, Rank 13, Rate 108143.95 RPCs/s, TX Bandwidth 29.42 Mb/s, RX Bandwidth 8.65 Mb/s, RTT (us) mean 18.40, P50 12.03, P95 12.46, P99 12.50, max 1583.10
Host p0046.ten.osc.edu, Rank 0, Rate 126726.68 RPCs/s, TX Bandwidth 34.47 Mb/s, RX Bandwidth 10.14 Mb/s, RTT (us) mean 15.72, P50 10.52, P95 10.76, P99 10.78, max 1156.10
Host p0072.ten.osc.edu, Rank 6, Rate 124749.99 RPCs/s, TX Bandwidth 33.93 Mb/s, RX Bandwidth 9.98 Mb/s, RTT (us) mean 15.96, P50 10.00, P95 10.21, P99 10.23, max 1463.30
Host p0101.ten.osc.edu, Rank 8, Rate 124772.59 RPCs/s, TX Bandwidth 33.94 Mb/s, RX Bandwidth 9.98 Mb/s, RTT (us) mean 15.95, P50 10.02, P95 10.10, P99 10.10, max 1531.90
Host p0072.ten.osc.edu, Rank 7, Rate 137858.93 RPCs/s, TX Bandwidth 37.50 Mb/s, RX Bandwidth 11.03 Mb/s, RTT (us) mean 15.02, P50 10.13, P95 10.37, P99 10.39, max 1794.05
Host p0048.ten.osc.edu, Rank 2, Rate 123104.85 RPCs/s, TX Bandwidth 33.48 Mb/s, RX Bandwidth 9.85 Mb/s, RTT (us) mean 17.01, P50 10.71, P95 10.88, P99 10.89, max 1376.26
Host p0112.ten.osc.edu, Rank 12, Rate 117126.35 RPCs/s, TX Bandwidth 31.86 Mb/s, RX Bandwidth 9.37 Mb/s, RTT (us) mean 14.19, P50 9.86, P95 9.91, P99 9.91, max 813.05
Host p0101.ten.osc.edu, Rank 9, Rate 112062.53 RPCs/s, TX Bandwidth 30.48 Mb/s, RX Bandwidth 8.97 Mb/s, RTT (us) mean 16.50, P50 10.19, P95 10.34, P99 10.34, max 667.65
Host p0128.ten.osc.edu, Rank 15, Rate 113100.57 RPCs/s, TX Bandwidth 30.76 Mb/s, RX Bandwidth 9.05 Mb/s, RTT (us) mean 17.67, P50 11.17, P95 11.38, P99 11.38, max 1190.91
Host p0050.ten.osc.edu, Rank 5, Rate 124204.82 RPCs/s, TX Bandwidth 33.78 Mb/s, RX Bandwidth 9.94 Mb/s, RTT (us) mean 16.24, P50 9.89, P95 10.04, P99 10.05, max 1320.96
Host p0110.ten.osc.edu, Rank 10, Rate 115260.32 RPCs/s, TX Bandwidth 31.35 Mb/s, RX Bandwidth 9.22 Mb/s, RTT (us) mean 16.14, P50 10.24, P95 10.44, P99 10.46, max 1274.88
Host p0110.ten.osc.edu, Rank 11, Rate 117306.88 RPCs/s, TX Bandwidth 31.91 Mb/s, RX Bandwidth 9.38 Mb/s, RTT (us) mean 17.95, P50 10.05, P95 10.19, P99 10.20, max 1143.81
Host p0046.ten.osc.edu, Rank 1, Rate 114099.63 RPCs/s, TX Bandwidth 31.04 Mb/s, RX Bandwidth 9.13 Mb/s, RTT (us) mean 18.22, P50 10.81, P95 10.99, P99 11.01, max 1700.86
Host p0050.ten.osc.edu, Rank 4, Rate 129628.66 RPCs/s, TX Bandwidth 35.26 Mb/s, RX Bandwidth 10.37 Mb/s, RTT (us) mean 15.34, P50 9.71, P95 9.88, P99 9.89, max 1257.47
Host p0128.ten.osc.edu, Rank 14, Rate 122717.45 RPCs/s, TX Bandwidth 33.38 Mb/s, RX Bandwidth 9.82 Mb/s, RTT (us) mean 16.24, P50 11.16, P95 11.40, P99 11.41, max 1217.54
Host p0048.ten.osc.edu, Rank 3, Rate 125421.91 RPCs/s, TX Bandwidth 34.11 Mb/s, RX Bandwidth 10.03 Mb/s, RTT (us) mean 16.06, P50 10.41, P95 10.65, P99 10.67, max 1345.54
Host p0112.ten.osc.edu, Rank 13, Rate 118779.29 RPCs/s, TX Bandwidth 32.31 Mb/s, RX Bandwidth 9.50 Mb/s, RTT (us) mean 17.54, P50 10.20, P95 10.48, P99 10.49, max 1583.10
Host p0046.ten.osc.edu, Rank 0, Rate 126646.93 RPCs/s, TX Bandwidth 34.45 Mb/s, RX Bandwidth 10.13 Mb/s, RTT (us) mean 15.72, P50 10.49, P95 10.74, P99 10.76, max 1156.10
Host p0072.ten.osc.edu, Rank 6, Rate 135567.79 RPCs/s, TX Bandwidth 36.87 Mb/s, RX Bandwidth 10.85 Mb/s, RTT (us) mean 15.29, P50 9.72, P95 9.94, P99 9.95, max 1463.30
Host p0101.ten.osc.edu, Rank 8, Rate 99319.65 RPCs/s, TX Bandwidth 27.01 Mb/s, RX Bandwidth 7.95 Mb/s, RTT (us) mean 17.77, P50 10.10, P95 10.19, P99 10.20, max 1802.24
Host p0072.ten.osc.edu, Rank 7, Rate 116428.61 RPCs/s, TX Bandwidth 31.67 Mb/s, RX Bandwidth 9.31 Mb/s, RTT (us) mean 15.66, P50 10.23, P95 10.50, P99 10.51, max 1794.05
Host p0048.ten.osc.edu, Rank 2, Rate 113352.82 RPCs/s, TX Bandwidth 30.83 Mb/s, RX Bandwidth 9.07 Mb/s, RTT (us) mean 17.19, P50 10.79, P95 10.98, P99 11.00, max 1376.26
Host p0112.ten.osc.edu, Rank 12, Rate 109896.68 RPCs/s, TX Bandwidth 29.89 Mb/s, RX Bandwidth 8.79 Mb/s, RTT (us) mean 15.30, P50 9.89, P95 9.94, P99 9.94, max 813.05
Host p0101.ten.osc.edu, Rank 9, Rate 107221.34 RPCs/s, TX Bandwidth 29.16 Mb/s, RX Bandwidth 8.58 Mb/s, RTT (us) mean 17.13, P50 10.26, P95 10.44, P99 10.45, max 667.65
Host p0128.ten.osc.edu, Rank 15, Rate 110836.70 RPCs/s, TX Bandwidth 30.15 Mb/s, RX Bandwidth 8.87 Mb/s, RTT (us) mean 17.77, P50 11.25, P95 11.45, P99 11.46, max 1190.91
Host p0050.ten.osc.edu, Rank 5, Rate 124389.78 RPCs/s, TX Bandwidth 33.83 Mb/s, RX Bandwidth 9.95 Mb/s, RTT (us) mean 16.16, P50 9.88, P95 10.03, P99 10.04, max 1555.45
