mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 109531.81 RPCs/s, TX Bandwidth 29.79 Mb/s, RX Bandwidth 8.76 Mb/s, RTT (us) mean 18.15, P50 9.56, P95 9.73, P99 9.74, max 1574.91
Host p0072.ten.osc.edu, Rank 3, Rate 119448.32 RPCs/s, TX Bandwidth 32.49 Mb/s, RX Bandwidth 9.56 Mb/s, RTT (us) mean 16.66, P50 10.05, P95 10.22, P99 10.24, max 1545.21
Host p0050.ten.osc.edu, Rank 2, Rate 111520.88 RPCs/s, TX Bandwidth 30.33 Mb/s, RX Bandwidth 8.92 Mb/s, RTT (us) mean 17.86, P50 9.80, P95 9.97, P99 9.98, max 1468.41
Host p0046.ten.osc.edu, Rank 0, Rate 110641.91 RPCs/s, TX Bandwidth 30.10 Mb/s, RX Bandwidth 8.85 Mb/s, RTT (us) mean 17.99, P50 9.84, P95 10.07, P99 10.09, max 1582.08
Host p0048.ten.osc.edu, Rank 1, Rate 100999.53 RPCs/s, TX Bandwidth 27.47 Mb/s, RX Bandwidth 8.08 Mb/s, RTT (us) mean 18.89, P50 9.73, P95 9.97, P99 9.99, max 1574.91
Host p0072.ten.osc.edu, Rank 3, Rate 110900.96 RPCs/s, TX Bandwidth 30.17 Mb/s, RX Bandwidth 8.87 Mb/s, RTT (us) mean 17.28, P50 10.23, P95 10.53, P99 10.54, max 2023.42
Host p0050.ten.osc.edu, Rank 2, Rate 126405.28 RPCs/s, TX Bandwidth 34.38 Mb/s, RX Bandwidth 10.11 Mb/s, RTT (us) mean 16.74, P50 9.54, P95 9.70, P99 9.70, max 1468.41
Host p0046.ten.osc.edu, Rank 0, Rate 114726.99 RPCs/s, TX Bandwidth 31.21 Mb/s, RX Bandwidth 9.18 Mb/s, RTT (us) mean 17.66, P50 10.09, P95 10.36, P99 10.38, max 1644.54
Host p0048.ten.osc.edu, Rank 1, Rate 101405.13 RPCs/s, TX Bandwidth 27.58 Mb/s, RX Bandwidth 8.11 Mb/s, RTT (us) mean 19.12, P50 9.87, P95 10.12, P99 10.13, max 1574.91
Host p0072.ten.osc.edu, Rank 3, Rate 116977.69 RPCs/s, TX Bandwidth 31.82 Mb/s, RX Bandwidth 9.36 Mb/s, RTT (us) mean 17.19, P50 10.39, P95 10.65, P99 10.67, max 2023.42
Host p0050.ten.osc.edu, Rank 2, Rate 128840.44 RPCs/s, TX Bandwidth 35.04 Mb/s, RX Bandwidth 10.31 Mb/s, RTT (us) mean 16.28, P50 9.42, P95 9.59, P99 9.60, max 1468.41
