mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 2, Rate 100330.69 RPCs/s, TX Bandwidth 27.29 Mb/s, RX Bandwidth 8.03 Mb/s, RTT (us) mean 19.83, P50 10.11, P95 10.36, P99 10.38, max 1243.13
Host p0072.ten.osc.edu, Rank 3, Rate 131190.97 RPCs/s, TX Bandwidth 35.68 Mb/s, RX Bandwidth 10.50 Mb/s, RTT (us) mean 15.16, P50 9.34, P95 9.41, P99 9.42, max 1599.49
Host p0048.ten.osc.edu, Rank 1, Rate 116281.03 RPCs/s, TX Bandwidth 31.63 Mb/s, RX Bandwidth 9.30 Mb/s, RTT (us) mean 17.13, P50 9.71, P95 9.89, P99 9.90, max 1390.59
Host p0046.ten.osc.edu, Rank 0, Rate 129189.58 RPCs/s, TX Bandwidth 35.14 Mb/s, RX Bandwidth 10.34 Mb/s, RTT (us) mean 15.40, P50 9.56, P95 9.70, P99 9.70, max 1146.88
Host p0050.ten.osc.edu, Rank 2, Rate 118439.25 RPCs/s, TX Bandwidth 32.22 Mb/s, RX Bandwidth 9.48 Mb/s, RTT (us) mean 18.19, P50 10.27, P95 10.52, P99 10.54, max 1243.13
Host p0072.ten.osc.edu, Rank 3, Rate 113317.20 RPCs/s, TX Bandwidth 30.82 Mb/s, RX Bandwidth 9.07 Mb/s, RTT (us) mean 16.27, P50 9.41, P95 9.54, P99 9.54, max 1599.49
Host p0048.ten.osc.edu, Rank 1, Rate 126890.22 RPCs/s, TX Bandwidth 34.51 Mb/s, RX Bandwidth 10.15 Mb/s, RTT (us) mean 16.38, P50 9.72, P95 9.89, P99 9.90, max 1734.65
Host p0046.ten.osc.edu, Rank 0, Rate 128950.44 RPCs/s, TX Bandwidth 35.07 Mb/s, RX Bandwidth 10.32 Mb/s, RTT (us) mean 15.41, P50 9.57, P95 9.70, P99 9.72, max 1219.58
Host p0050.ten.osc.edu, Rank 2, Rate 120433.67 RPCs/s, TX Bandwidth 32.76 Mb/s, RX Bandwidth 9.63 Mb/s, RTT (us) mean 17.60, P50 10.29, P95 10.54, P99 10.57, max 1243.13
Host p0072.ten.osc.edu, Rank 3, Rate 113467.68 RPCs/s, TX Bandwidth 30.86 Mb/s, RX Bandwidth 9.08 Mb/s, RTT (us) mean 16.67, P50 9.48, P95 9.65, P99 9.66, max 1599.49
Host p0048.ten.osc.edu, Rank 1, Rate 127334.19 RPCs/s, TX Bandwidth 34.63 Mb/s, RX Bandwidth 10.19 Mb/s, RTT (us) mean 16.13, P50 9.70, P95 9.86, P99 9.88, max 1734.65
Host p0046.ten.osc.edu, Rank 0, Rate 125592.86 RPCs/s, TX Bandwidth 34.16 Mb/s, RX Bandwidth 10.05 Mb/s, RTT (us) mean 15.54, P50 9.63, P95 9.77, P99 9.78, max 1219.58
Host p0050.ten.osc.edu, Rank 2, Rate 119310.94 RPCs/s, TX Bandwidth 32.45 Mb/s, RX Bandwidth 9.54 Mb/s, RTT (us) mean 17.36, P50 10.33, P95 10.57, P99 10.60, max 1573.89
