mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 9, Rate 158816.63 RPCs/s, TX Bandwidth 43.20 Mb/s, RX Bandwidth 12.71 Mb/s, RTT (us) mean 12.50, P50 8.79, P95 8.98, P99 9.00, max 1233.92
Host p0110.ten.osc.edu, Rank 21, Rate 156025.33 RPCs/s, TX Bandwidth 42.44 Mb/s, RX Bandwidth 12.48 Mb/s, RTT (us) mean 12.72, P50 9.36, P95 9.51, P99 9.53, max 1687.55
Host p0112.ten.osc.edu, Rank 27, Rate 160560.59 RPCs/s, TX Bandwidth 43.67 Mb/s, RX Bandwidth 12.84 Mb/s, RTT (us) mean 12.39, P50 9.46, P95 9.62, P99 9.64, max 1046.02
Host p0128.ten.osc.edu, Rank 29, Rate 152361.36 RPCs/s, TX Bandwidth 41.44 Mb/s, RX Bandwidth 12.19 Mb/s, RTT (us) mean 13.05, P50 9.86, P95 10.04, P99 10.05, max 1147.90
Host p0046.ten.osc.edu, Rank 2, Rate 160673.44 RPCs/s, TX Bandwidth 43.70 Mb/s, RX Bandwidth 12.85 Mb/s, RTT (us) mean 12.37, P50 9.32, P95 9.56, P99 9.57, max 1289.21
Host p0112.ten.osc.edu, Rank 25, Rate 151791.36 RPCs/s, TX Bandwidth 41.29 Mb/s, RX Bandwidth 12.14 Mb/s, RTT (us) mean 13.10, P50 9.78, P95 9.93, P99 9.94, max 1096.70
Host p0101.ten.osc.edu, Rank 19, Rate 153747.16 RPCs/s, TX Bandwidth 41.82 Mb/s, RX Bandwidth 12.30 Mb/s, RTT (us) mean 12.94, P50 9.78, P95 9.98, P99 10.00, max 1080.32
Host p0048.ten.osc.edu, Rank 6, Rate 154557.73 RPCs/s, TX Bandwidth 42.04 Mb/s, RX Bandwidth 12.36 Mb/s, RTT (us) mean 12.87, P50 9.48, P95 9.78, P99 9.80, max 1118.21
Host p0128.ten.osc.edu, Rank 30, Rate 164251.36 RPCs/s, TX Bandwidth 44.68 Mb/s, RX Bandwidth 13.14 Mb/s, RTT (us) mean 12.11, P50 9.60, P95 9.78, P99 9.79, max 184.83
Host p0050.ten.osc.edu, Rank 11, Rate 150640.64 RPCs/s, TX Bandwidth 40.97 Mb/s, RX Bandwidth 12.05 Mb/s, RTT (us) mean 13.21, P50 9.48, P95 9.97, P99 9.99, max 1145.86
Host p0072.ten.osc.edu, Rank 15, Rate 128764.31 RPCs/s, TX Bandwidth 35.02 Mb/s, RX Bandwidth 10.30 Mb/s, RTT (us) mean 15.43, P50 10.45, P95 10.70, P99 10.71, max 1263.62
Host p0112.ten.osc.edu, Rank 26, Rate 150346.41 RPCs/s, TX Bandwidth 40.89 Mb/s, RX Bandwidth 12.03 Mb/s, RTT (us) mean 13.23, P50 10.05, P95 10.27, P99 10.29, max 312.06
Host p0046.ten.osc.edu, Rank 0, Rate 146624.17 RPCs/s, TX Bandwidth 39.88 Mb/s, RX Bandwidth 11.73 Mb/s, RTT (us) mean 13.57, P50 9.62, P95 10.02, P99 10.05, max 266.75
Host p0101.ten.osc.edu, Rank 17, Rate 159607.43 RPCs/s, TX Bandwidth 43.41 Mb/s, RX Bandwidth 12.77 Mb/s, RTT (us) mean 12.46, P50 9.70, P95 9.89, P99 9.89, max 391.68
Host p0046.ten.osc.edu, Rank 1, Rate 134389.86 RPCs/s, TX Bandwidth 36.55 Mb/s, RX Bandwidth 10.75 Mb/s, RTT (us) mean 14.75, P50 10.25, P95 10.67, P99 10.70, max 1345.54
Host p0050.ten.osc.edu, Rank 8, Rate 118106.89 RPCs/s, TX Bandwidth 32.13 Mb/s, RX Bandwidth 9.45 Mb/s, RTT (us) mean 16.85, P50 10.13, P95 10.37, P99 10.39, max 194.81
