mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 196614.25 RPCs/s, TX Bandwidth 53.48 Mb/s, RX Bandwidth 15.73 Mb/s, RTT (us) mean 10.10, P50 7.00, P95 7.02, P99 7.02, max 1481.73
Host p0050.ten.osc.edu, Rank 2, Rate 162655.49 RPCs/s, TX Bandwidth 44.24 Mb/s, RX Bandwidth 13.01 Mb/s, RTT (us) mean 12.21, P50 7.51, P95 7.71, P99 7.73, max 1300.48
Host p0046.ten.osc.edu, Rank 0, Rate 191776.18 RPCs/s, TX Bandwidth 52.16 Mb/s, RX Bandwidth 15.34 Mb/s, RTT (us) mean 10.36, P50 7.44, P95 7.50, P99 7.50, max 1380.35
Host p0072.ten.osc.edu, Rank 3, Rate 144755.68 RPCs/s, TX Bandwidth 39.37 Mb/s, RX Bandwidth 11.58 Mb/s, RTT (us) mean 13.70, P50 8.54, P95 8.70, P99 8.71, max 1424.38
Host p0048.ten.osc.edu, Rank 1, Rate 216604.60 RPCs/s, TX Bandwidth 58.92 Mb/s, RX Bandwidth 17.33 Mb/s, RTT (us) mean 9.61, P50 7.02, P95 7.06, P99 7.07, max 1481.73
Host p0050.ten.osc.edu, Rank 2, Rate 193566.76 RPCs/s, TX Bandwidth 52.65 Mb/s, RX Bandwidth 15.49 Mb/s, RTT (us) mean 11.14, P50 7.41, P95 7.57, P99 7.58, max 1300.48
Host p0046.ten.osc.edu, Rank 0, Rate 174581.90 RPCs/s, TX Bandwidth 47.49 Mb/s, RX Bandwidth 13.97 Mb/s, RTT (us) mean 10.84, P50 7.50, P95 7.57, P99 7.58, max 1380.35
Host p0072.ten.osc.edu, Rank 3, Rate 213622.05 RPCs/s, TX Bandwidth 58.11 Mb/s, RX Bandwidth 17.09 Mb/s, RTT (us) mean 11.07, P50 7.81, P95 7.92, P99 7.92, max 1424.38
Host p0048.ten.osc.edu, Rank 1, Rate 208090.96 RPCs/s, TX Bandwidth 56.60 Mb/s, RX Bandwidth 16.65 Mb/s, RTT (us) mean 9.59, P50 7.04, P95 7.12, P99 7.13, max 1481.73
Host p0050.ten.osc.edu, Rank 2, Rate 215851.79 RPCs/s, TX Bandwidth 58.71 Mb/s, RX Bandwidth 17.27 Mb/s, RTT (us) mean 10.41, P50 7.32, P95 7.42, P99 7.43, max 1300.48
Host p0046.ten.osc.edu, Rank 0, Rate 188912.08 RPCs/s, TX Bandwidth 51.38 Mb/s, RX Bandwidth 15.11 Mb/s, RTT (us) mean 10.74, P50 7.54, P95 7.63, P99 7.63, max 1380.35
Host p0072.ten.osc.edu, Rank 3, Rate 214144.43 RPCs/s, TX Bandwidth 58.25 Mb/s, RX Bandwidth 17.13 Mb/s, RTT (us) mean 10.40, P50 7.82, P95 7.92, P99 7.93, max 1928.19
Host p0048.ten.osc.edu, Rank 1, Rate 199848.95 RPCs/s, TX Bandwidth 54.36 Mb/s, RX Bandwidth 15.99 Mb/s, RTT (us) mean 9.68, P50 7.07, P95 7.19, P99 7.20, max 1481.73
