mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 2, Rate 178512.88 RPCs/s, TX Bandwidth 48.56 Mb/s, RX Bandwidth 14.28 Mb/s, RTT (us) mean 11.12, P50 7.24, P95 7.36, P99 7.37, max 1211.39
Host p0046.ten.osc.edu, Rank 0, Rate 171132.91 RPCs/s, TX Bandwidth 46.55 Mb/s, RX Bandwidth 13.69 Mb/s, RTT (us) mean 11.59, P50 7.83, P95 7.99, P99 8.00, max 1213.44
Host p0048.ten.osc.edu, Rank 1, Rate 170041.72 RPCs/s, TX Bandwidth 46.25 Mb/s, RX Bandwidth 13.60 Mb/s, RTT (us) mean 11.69, P50 8.26, P95 8.49, P99 8.50, max 1685.50
Host p0072.ten.osc.edu, Rank 3, Rate 180526.98 RPCs/s, TX Bandwidth 49.10 Mb/s, RX Bandwidth 14.44 Mb/s, RTT (us) mean 11.00, P50 8.22, P95 8.31, P99 8.32, max 1121.28
Host p0050.ten.osc.edu, Rank 2, Rate 220391.26 RPCs/s, TX Bandwidth 59.95 Mb/s, RX Bandwidth 17.63 Mb/s, RTT (us) mean 9.95, P50 7.20, P95 7.30, P99 7.31, max 1211.39
Host p0046.ten.osc.edu, Rank 0, Rate 168871.88 RPCs/s, TX Bandwidth 45.93 Mb/s, RX Bandwidth 13.51 Mb/s, RTT (us) mean 11.67, P50 7.90, P95 8.06, P99 8.07, max 1300.48
Host p0048.ten.osc.edu, Rank 1, Rate 179769.40 RPCs/s, TX Bandwidth 48.90 Mb/s, RX Bandwidth 14.38 Mb/s, RTT (us) mean 11.36, P50 8.39, P95 8.61, P99 8.62, max 1685.50
Host p0072.ten.osc.edu, Rank 3, Rate 199422.61 RPCs/s, TX Bandwidth 54.24 Mb/s, RX Bandwidth 15.95 Mb/s, RTT (us) mean 10.46, P50 8.20, P95 8.26, P99 8.27, max 1393.66
Host p0050.ten.osc.edu, Rank 2, Rate 218899.17 RPCs/s, TX Bandwidth 59.54 Mb/s, RX Bandwidth 17.51 Mb/s, RTT (us) mean 9.64, P50 7.17, P95 7.25, P99 7.26, max 1211.39
Host p0046.ten.osc.edu, Rank 0, Rate 179981.32 RPCs/s, TX Bandwidth 48.95 Mb/s, RX Bandwidth 14.40 Mb/s, RTT (us) mean 11.45, P50 7.92, P95 8.07, P99 8.08, max 1300.48
Host p0048.ten.osc.edu, Rank 1, Rate 165083.37 RPCs/s, TX Bandwidth 44.90 Mb/s, RX Bandwidth 13.21 Mb/s, RTT (us) mean 11.58, P50 8.49, P95 8.70, P99 8.72, max 1685.50
Host p0072.ten.osc.edu, Rank 3, Rate 195198.30 RPCs/s, TX Bandwidth 53.09 Mb/s, RX Bandwidth 15.62 Mb/s, RTT (us) mean 10.36, P50 8.21, P95 8.28, P99 8.29, max 1393.66
Host p0050.ten.osc.edu, Rank 2, Rate 213791.24 RPCs/s, TX Bandwidth 58.15 Mb/s, RX Bandwidth 17.10 Mb/s, RTT (us) mean 9.55, P50 7.19, P95 7.29, P99 7.29, max 1211.39
Host p0046.ten.osc.edu, Rank 0, Rate 193180.01 RPCs/s, TX Bandwidth 52.54 Mb/s, RX Bandwidth 15.45 Mb/s, RTT (us) mean 11.13, P50 7.91, P95 8.06, P99 8.07, max 1300.48
