mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 12, Rate 5368.99 RPCs/s, TX Bandwidth 1.46 Mb/s, RX Bandwidth 0.43 Mb/s, RTT (us) mean 186.14, P50 8.07, P95 8.14, P99 8.14, max 950009.85
Host p0048.ten.osc.edu, Rank 13, Rate 5533.98 RPCs/s, TX Bandwidth 1.51 Mb/s, RX Bandwidth 0.44 Mb/s, RTT (us) mean 180.57, P50 8.10, P95 8.13, P99 8.13, max 949485.57
Host p0110.ten.osc.edu, Rank 45, Rate 2311.99 RPCs/s, TX Bandwidth 0.63 Mb/s, RX Bandwidth 0.18 Mb/s, RTT (us) mean 432.29, P50 9.78, P95 9.82, P99 9.82, max 949485.57
Host p0048.ten.osc.edu, Rank 14, Rate 4661.00 RPCs/s, TX Bandwidth 1.27 Mb/s, RX Bandwidth 0.37 Mb/s, RTT (us) mean 214.43, P50 9.56, P95 9.62, P99 9.62, max 949485.57
Host p0112.ten.osc.edu, Rank 52, Rate 3342.00 RPCs/s, TX Bandwidth 0.91 Mb/s, RX Bandwidth 0.27 Mb/s, RTT (us) mean 299.06, P50 9.79, P95 9.81, P99 9.82, max 950009.85
Host p0110.ten.osc.edu, Rank 46, Rate 4825.99 RPCs/s, TX Bandwidth 1.31 Mb/s, RX Bandwidth 0.39 Mb/s, RTT (us) mean 207.12, P50 9.36, P95 9.41, P99 9.41, max 949485.57
Host p0112.ten.osc.edu, Rank 53, Rate 4595.97 RPCs/s, TX Bandwidth 1.25 Mb/s, RX Bandwidth 0.37 Mb/s, RTT (us) mean 217.46, P50 9.86, P95 9.91, P99 9.92, max 949485.57
Host p0112.ten.osc.edu, Rank 49, Rate 4977.00 RPCs/s, TX Bandwidth 1.35 Mb/s, RX Bandwidth 0.40 Mb/s, RTT (us) mean 200.88, P50 9.12, P95 9.17, P99 9.17, max 949485.57
Host p0112.ten.osc.edu, Rank 51, Rate 1712.00 RPCs/s, TX Bandwidth 0.47 Mb/s, RX Bandwidth 0.14 Mb/s, RTT (us) mean 584.09, P50 9.53, P95 9.58, P99 9.60, max 973078.53
Host p0050.ten.osc.edu, Rank 17, Rate 4632.99 RPCs/s, TX Bandwidth 1.26 Mb/s, RX Bandwidth 0.37 Mb/s, RTT (us) mean 215.77, P50 9.48, P95 9.57, P99 9.57, max 949485.57
Host p0050.ten.osc.edu, Rank 19, Rate 2739.99 RPCs/s, TX Bandwidth 0.75 Mb/s, RX Bandwidth 0.22 Mb/s, RTT (us) mean 364.81, P50 8.09, P95 8.14, P99 8.15, max 948961.28
Host p0110.ten.osc.edu, Rank 44, Rate 3211.97 RPCs/s, TX Bandwidth 0.87 Mb/s, RX Bandwidth 0.26 Mb/s, RTT (us) mean 311.06, P50 12.00, P95 12.09, P99 12.09, max 950009.85
Host p0050.ten.osc.edu, Rank 22, Rate 5623.99 RPCs/s, TX Bandwidth 1.53 Mb/s, RX Bandwidth 0.45 Mb/s, RTT (us) mean 177.76, P50 8.11, P95 8.17, P99 8.17, max 948436.99
Host p0112.ten.osc.edu, Rank 54, Rate 2410.28 RPCs/s, TX Bandwidth 0.66 Mb/s, RX Bandwidth 0.19 Mb/s, RTT (us) mean 414.71, P50 9.60, P95 9.65, P99 9.65, max 950009.85
Host p0112.ten.osc.edu, Rank 50, Rate 2143.99 RPCs/s, TX Bandwidth 0.58 Mb/s, RX Bandwidth 0.17 Mb/s, RTT (us) mean 466.25, P50 9.46, P95 9.49, P99 9.50, max 945815.55
Host p0128.ten.osc.edu, Rank 60, Rate 2790.00 RPCs/s, TX Bandwidth 0.76 Mb/s, RX Bandwidth 0.22 Mb/s, RTT (us) mean 358.28, P50 9.13, P95 9.17, P99 9.18, max 945815.55
Host p0072.ten.osc.edu, Rank 28, Rate 2790.99 RPCs/s, TX Bandwidth 0.76 Mb/s, RX Bandwidth 0.22 Mb/s, RTT (us) mean 358.13, P50 9.18, P95 9.21, P99 9.21, max 944766.97
Host p0128.ten.osc.edu, Rank 61, Rate 2999.97 RPCs/s, TX Bandwidth 0.82 Mb/s, RX Bandwidth 0.24 Mb/s, RTT (us) mean 333.26, P50 8.76, P95 8.80, P99 8.80, max 944766.97
Host p0110.ten.osc.edu, Rank 42, Rate 2929.99 RPCs/s, TX Bandwidth 0.80 Mb/s, RX Bandwidth 0.23 Mb/s, RTT (us) mean 341.22, P50 8.76, P95 8.81, P99 8.81, max 956825.60
Host p0110.ten.osc.edu, Rank 43, Rate 2700.98 RPCs/s, TX Bandwidth 0.73 Mb/s, RX Bandwidth 0.22 Mb/s, RTT (us) mean 370.10, P50 9.06, P95 9.11, P99 9.12, max 945815.55
Host p0050.ten.osc.edu, Rank 23, Rate 3062.98 RPCs/s, TX Bandwidth 0.83 Mb/s, RX Bandwidth 0.25 Mb/s, RTT (us) mean 326.32, P50 7.87, P95 7.94, P99 7.94, max 943194.11
Host p0101.ten.osc.edu, Rank 39, Rate 3018.97 RPCs/s, TX Bandwidth 0.82 Mb/s, RX Bandwidth 0.24 Mb/s, RTT (us) mean 331.15, P50 9.34, P95 9.41, P99 9.41, max 943194.11
Host p0046.ten.osc.edu, Rank 7, Rate 2896.98 RPCs/s, TX Bandwidth 0.79 Mb/s, RX Bandwidth 0.23 Mb/s, RTT (us) mean 345.01, P50 7.82, P95 7.89, P99 7.90, max 946864.13
Host p0048.ten.osc.edu, Rank 9, Rate 6090.99 RPCs/s, TX Bandwidth 1.66 Mb/s, RX Bandwidth 0.49 Mb/s, RTT (us) mean 164.10, P50 7.86, P95 7.93, P99 7.93, max 942145.54
Host p0110.ten.osc.edu, Rank 41, Rate 3213.00 RPCs/s, TX Bandwidth 0.87 Mb/s, RX Bandwidth 0.26 Mb/s, RTT (us) mean 311.14, P50 8.50, P95 8.56, P99 8.57, max 943194.11
Host p0128.ten.osc.edu, Rank 59, Rate 2859.99 RPCs/s, TX Bandwidth 0.78 Mb/s, RX Bandwidth 0.23 Mb/s, RTT (us) mean 349.50, P50 9.22, P95 9.27, P99 9.28, max 941621.25
Host p0048.ten.osc.edu, Rank 8, Rate 4407.98 RPCs/s, TX Bandwidth 1.20 Mb/s, RX Bandwidth 0.35 Mb/s, RTT (us) mean 226.82, P50 7.86, P95 7.92, P99 7.93, max 941621.25
Host p0110.ten.osc.edu, Rank 40, Rate 4636.94 RPCs/s, TX Bandwidth 1.26 Mb/s, RX Bandwidth 0.37 Mb/s, RTT (us) mean 215.61, P50 8.78, P95 8.82, P99 8.82, max 941621.25
