mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 77629.49 RPCs/s, TX Bandwidth 21.12 Mb/s, RX Bandwidth 6.21 Mb/s, RTT (us) mean 25.67, P50 16.21, P95 17.42, P99 17.49, max 433.41
Host p0046.ten.osc.edu, Rank 0, Rate 84360.93 RPCs/s, TX Bandwidth 22.95 Mb/s, RX Bandwidth 6.75 Mb/s, RTT (us) mean 23.62, P50 16.46, P95 17.92, P99 17.98, max 445.44
Host p0046.ten.osc.edu, Rank 0, Rate 70469.86 RPCs/s, TX Bandwidth 19.17 Mb/s, RX Bandwidth 5.64 Mb/s, RTT (us) mean 25.74, P50 17.76, P95 19.73, P99 19.98, max 576.51
Host p0048.ten.osc.edu, Rank 1, Rate 79007.12 RPCs/s, TX Bandwidth 21.49 Mb/s, RX Bandwidth 6.32 Mb/s, RTT (us) mean 25.44, P50 17.01, P95 18.67, P99 18.85, max 629.25
Host p0046.ten.osc.edu, Rank 0, Rate 77340.79 RPCs/s, TX Bandwidth 21.04 Mb/s, RX Bandwidth 6.19 Mb/s, RTT (us) mean 25.75, P50 17.26, P95 18.53, P99 18.62, max 595.46
Host p0048.ten.osc.edu, Rank 1, Rate 69590.86 RPCs/s, TX Bandwidth 18.93 Mb/s, RX Bandwidth 5.57 Mb/s, RTT (us) mean 26.43, P50 17.39, P95 19.50, P99 19.58, max 1968.13
Host p0048.ten.osc.edu, Rank 1, Rate 65024.79 RPCs/s, TX Bandwidth 17.69 Mb/s, RX Bandwidth 5.20 Mb/s, RTT (us) mean 27.37, P50 18.03, P95 19.79, P99 19.84, max 1968.13
Host p0046.ten.osc.edu, Rank 0, Rate 74774.08 RPCs/s, TX Bandwidth 20.34 Mb/s, RX Bandwidth 5.98 Mb/s, RTT (us) mean 25.97, P50 16.96, P95 18.08, P99 18.19, max 622.08
Host p0048.ten.osc.edu, Rank 1, Rate 69101.96 RPCs/s, TX Bandwidth 18.80 Mb/s, RX Bandwidth 5.53 Mb/s, RTT (us) mean 27.66, P50 18.13, P95 19.86, P99 19.89, max 1968.13
Host p0046.ten.osc.edu, Rank 0, Rate 76387.92 RPCs/s, TX Bandwidth 20.78 Mb/s, RX Bandwidth 6.11 Mb/s, RTT (us) mean 26.00, P50 16.62, P95 17.86, P99 17.93, max 629.25
Host p0048.ten.osc.edu, Rank 1, Rate 70112.03 RPCs/s, TX Bandwidth 19.07 Mb/s, RX Bandwidth 5.61 Mb/s, RTT (us) mean 27.78, P50 18.14, P95 19.90, P99 19.92, max 1968.13
Host p0046.ten.osc.edu, Rank 0, Rate 73481.81 RPCs/s, TX Bandwidth 19.99 Mb/s, RX Bandwidth 5.88 Mb/s, RTT (us) mean 26.18, P50 16.41, P95 17.66, P99 17.74, max 629.25
Host p0046.ten.osc.edu, Rank 0, Rate 77402.04 RPCs/s, TX Bandwidth 21.05 Mb/s, RX Bandwidth 6.19 Mb/s, RTT (us) mean 26.12, P50 16.11, P95 17.44, P99 17.54, max 629.25
Host p0048.ten.osc.edu, Rank 1, Rate 69214.32 RPCs/s, TX Bandwidth 18.83 Mb/s, RX Bandwidth 5.54 Mb/s, RTT (us) mean 27.93, P50 18.03, P95 19.89, P99 19.92, max 1968.13
Host p0048.ten.osc.edu, Rank 1, Rate 65449.83 RPCs/s, TX Bandwidth 17.80 Mb/s, RX Bandwidth 5.24 Mb/s, RTT (us) mean 28.22, P50 17.84, P95 19.84, P99 19.89, max 1968.13
Host p0046.ten.osc.edu, Rank 0, Rate 77230.65 RPCs/s, TX Bandwidth 21.01 Mb/s, RX Bandwidth 6.18 Mb/s, RTT (us) mean 26.08, P50 15.97, P95 17.36, P99 17.42, max 629.25
Host p0048.ten.osc.edu, Rank 1, Rate 69551.98 RPCs/s, TX Bandwidth 18.92 Mb/s, RX Bandwidth 5.56 Mb/s, RTT (us) mean 28.27, P50 18.11, P95 19.93, P99 19.97, max 1968.13
Host p0046.ten.osc.edu, Rank 0, Rate 86604.88 RPCs/s, TX Bandwidth 23.56 Mb/s, RX Bandwidth 6.93 Mb/s, RTT (us) mean 25.70, P50 16.05, P95 17.41, P99 17.49, max 629.25
Aggregated RPC Rate 148906.40 RPCs/s, Aggregated TX Bandwidth 40.50 Mb/s RX Bandwidth 11.91 Mb/s
