mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 42189.63 RPCs/s, TX Bandwidth 11.48 Mb/s, RX Bandwidth 3.38 Mb/s, RTT (us) mean 47.25, P50 27.74, P95 28.45, P99 28.50, max 380.67
Host p0048.ten.osc.edu, Rank 1, Rate 36057.82 RPCs/s, TX Bandwidth 9.81 Mb/s, RX Bandwidth 2.88 Mb/s, RTT (us) mean 55.30, P50 33.60, P95 34.40, P99 34.46, max 396.03
Host p0046.ten.osc.edu, Rank 0, Rate 47231.58 RPCs/s, TX Bandwidth 12.85 Mb/s, RX Bandwidth 3.78 Mb/s, RTT (us) mean 44.60, P50 26.54, P95 27.25, P99 27.30, max 1792.00
Host p0048.ten.osc.edu, Rank 1, Rate 41588.25 RPCs/s, TX Bandwidth 11.31 Mb/s, RX Bandwidth 3.33 Mb/s, RTT (us) mean 51.37, P50 33.02, P95 33.73, P99 33.79, max 664.06
Host p0046.ten.osc.edu, Rank 0, Rate 48751.76 RPCs/s, TX Bandwidth 13.26 Mb/s, RX Bandwidth 3.90 Mb/s, RTT (us) mean 43.30, P50 26.37, P95 26.99, P99 27.05, max 1792.00
Host p0048.ten.osc.edu, Rank 1, Rate 39577.77 RPCs/s, TX Bandwidth 10.77 Mb/s, RX Bandwidth 3.17 Mb/s, RTT (us) mean 51.03, P50 33.22, P95 34.11, P99 34.17, max 664.06
Host p0046.ten.osc.edu, Rank 0, Rate 42433.31 RPCs/s, TX Bandwidth 11.54 Mb/s, RX Bandwidth 3.39 Mb/s, RTT (us) mean 44.17, P50 26.57, P95 27.28, P99 27.34, max 1792.00
Host p0048.ten.osc.edu, Rank 1, Rate 40473.73 RPCs/s, TX Bandwidth 11.01 Mb/s, RX Bandwidth 3.24 Mb/s, RTT (us) mean 50.59, P50 33.53, P95 34.49, P99 34.56, max 779.26
Host p0046.ten.osc.edu, Rank 0, Rate 41690.63 RPCs/s, TX Bandwidth 11.34 Mb/s, RX Bandwidth 3.34 Mb/s, RTT (us) mean 44.86, P50 26.72, P95 27.49, P99 27.54, max 5414.91
Host p0048.ten.osc.edu, Rank 1, Rate 37306.47 RPCs/s, TX Bandwidth 10.15 Mb/s, RX Bandwidth 2.98 Mb/s, RTT (us) mean 51.14, P50 33.73, P95 34.69, P99 34.75, max 779.26
Host p0046.ten.osc.edu, Rank 0, Rate 43215.41 RPCs/s, TX Bandwidth 11.75 Mb/s, RX Bandwidth 3.46 Mb/s, RTT (us) mean 45.07, P50 26.82, P95 27.55, P99 27.61, max 5414.91
Host p0048.ten.osc.edu, Rank 1, Rate 37995.79 RPCs/s, TX Bandwidth 10.33 Mb/s, RX Bandwidth 3.04 Mb/s, RTT (us) mean 51.36, P50 33.73, P95 34.66, P99 34.72, max 779.26
Host p0046.ten.osc.edu, Rank 0, Rate 40280.30 RPCs/s, TX Bandwidth 10.96 Mb/s, RX Bandwidth 3.22 Mb/s, RTT (us) mean 45.65, P50 26.93, P95 27.66, P99 27.71, max 5414.91
Host p0048.ten.osc.edu, Rank 1, Rate 36249.86 RPCs/s, TX Bandwidth 9.86 Mb/s, RX Bandwidth 2.90 Mb/s, RTT (us) mean 51.85, P50 33.79, P95 34.72, P99 34.78, max 779.26
Host p0046.ten.osc.edu, Rank 0, Rate 38329.40 RPCs/s, TX Bandwidth 10.43 Mb/s, RX Bandwidth 3.07 Mb/s, RTT (us) mean 46.37, P50 26.99, P95 27.76, P99 27.81, max 5414.91
Host p0048.ten.osc.edu, Rank 1, Rate 39504.31 RPCs/s, TX Bandwidth 10.75 Mb/s, RX Bandwidth 3.16 Mb/s, RTT (us) mean 51.68, P50 33.76, P95 34.66, P99 34.72, max 779.26
Host p0046.ten.osc.edu, Rank 0, Rate 39033.31 RPCs/s, TX Bandwidth 10.62 Mb/s, RX Bandwidth 3.12 Mb/s, RTT (us) mean 46.85, P50 27.09, P95 27.82, P99 27.87, max 5414.91
Host p0048.ten.osc.edu, Rank 1, Rate 35369.76 RPCs/s, TX Bandwidth 9.62 Mb/s, RX Bandwidth 2.83 Mb/s, RTT (us) mean 52.16, P50 33.85, P95 34.75, P99 34.78, max 779.26
Aggregated RPC Rate 80818.40 RPCs/s, Aggregated TX Bandwidth 21.98 Mb/s RX Bandwidth 6.47 Mb/s
