mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0072.ten.osc.edu, Rank 7, Rate 112744.09 RPCs/s, TX Bandwidth 30.67 Mb/s, RX Bandwidth 9.02 Mb/s, RTT (us) mean 17.59, P50 10.35, P95 10.47, P99 10.48, max 1799.17
Host p0050.ten.osc.edu, Rank 4, Rate 119155.54 RPCs/s, TX Bandwidth 32.41 Mb/s, RX Bandwidth 9.53 Mb/s, RTT (us) mean 16.68, P50 10.24, P95 10.31, P99 10.32, max 1965.06
Host p0128.ten.osc.edu, Rank 15, Rate 112845.86 RPCs/s, TX Bandwidth 30.69 Mb/s, RX Bandwidth 9.03 Mb/s, RTT (us) mean 17.61, P50 10.41, P95 10.70, P99 10.72, max 1441.79
Host p0112.ten.osc.edu, Rank 12, Rate 126467.84 RPCs/s, TX Bandwidth 34.40 Mb/s, RX Bandwidth 10.12 Mb/s, RTT (us) mean 15.71, P50 9.95, P95 10.02, P99 10.02, max 590.85
Host p0046.ten.osc.edu, Rank 0, Rate 124664.57 RPCs/s, TX Bandwidth 33.91 Mb/s, RX Bandwidth 9.97 Mb/s, RTT (us) mean 15.92, P50 10.03, P95 10.12, P99 10.13, max 2267.14
Host p0050.ten.osc.edu, Rank 5, Rate 104611.88 RPCs/s, TX Bandwidth 28.45 Mb/s, RX Bandwidth 8.37 Mb/s, RTT (us) mean 19.01, P50 10.48, P95 10.66, P99 10.68, max 1757.18
Host p0101.ten.osc.edu, Rank 8, Rate 111742.38 RPCs/s, TX Bandwidth 30.39 Mb/s, RX Bandwidth 8.94 Mb/s, RTT (us) mean 17.79, P50 10.49, P95 10.67, P99 10.69, max 932.86
Host p0048.ten.osc.edu, Rank 3, Rate 104884.27 RPCs/s, TX Bandwidth 28.53 Mb/s, RX Bandwidth 8.39 Mb/s, RTT (us) mean 18.96, P50 10.39, P95 10.57, P99 10.59, max 1560.58
Host p0110.ten.osc.edu, Rank 11, Rate 109169.12 RPCs/s, TX Bandwidth 29.69 Mb/s, RX Bandwidth 8.73 Mb/s, RTT (us) mean 18.22, P50 11.60, P95 11.91, P99 11.93, max 1361.92
Host p0101.ten.osc.edu, Rank 9, Rate 118358.54 RPCs/s, TX Bandwidth 32.19 Mb/s, RX Bandwidth 9.47 Mb/s, RTT (us) mean 16.77, P50 9.94, P95 9.99, P99 10.00, max 1274.88
Host p0046.ten.osc.edu, Rank 1, Rate 126688.26 RPCs/s, TX Bandwidth 34.46 Mb/s, RX Bandwidth 10.14 Mb/s, RTT (us) mean 15.67, P50 10.25, P95 10.38, P99 10.39, max 2018.30
Host p0110.ten.osc.edu, Rank 10, Rate 112003.96 RPCs/s, TX Bandwidth 30.47 Mb/s, RX Bandwidth 8.96 Mb/s, RTT (us) mean 17.75, P50 10.97, P95 11.29, P99 11.32, max 1438.72
