mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 29539.72 RPCs/s, TX Bandwidth 8.04 Mb/s, RX Bandwidth 2.36 Mb/s, RTT (us) mean 65.03, P50 22.32, P95 23.47, P99 23.65, max 1530.88
Host p0048.ten.osc.edu, Rank 1, Rate 27706.79 RPCs/s, TX Bandwidth 7.54 Mb/s, RX Bandwidth 2.22 Mb/s, RTT (us) mean 69.21, P50 24.02, P95 24.99, P99 25.04, max 1265.66
Host p0046.ten.osc.edu, Rank 0, Rate 36691.63 RPCs/s, TX Bandwidth 9.98 Mb/s, RX Bandwidth 2.94 Mb/s, RTT (us) mean 58.02, P50 22.03, P95 22.94, P99 23.01, max 1530.88
Host p0048.ten.osc.edu, Rank 1, Rate 29581.22 RPCs/s, TX Bandwidth 8.05 Mb/s, RX Bandwidth 2.37 Mb/s, RTT (us) mean 67.36, P50 24.41, P95 25.79, P99 25.89, max 1358.85
Host p0046.ten.osc.edu, Rank 0, Rate 36675.40 RPCs/s, TX Bandwidth 9.98 Mb/s, RX Bandwidth 2.93 Mb/s, RTT (us) mean 56.09, P50 22.32, P95 23.12, P99 23.18, max 1530.88
Host p0048.ten.osc.edu, Rank 1, Rate 29342.70 RPCs/s, TX Bandwidth 7.98 Mb/s, RX Bandwidth 2.35 Mb/s, RTT (us) mean 66.85, P50 24.69, P95 26.14, P99 26.25, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 41964.99 RPCs/s, TX Bandwidth 11.41 Mb/s, RX Bandwidth 3.36 Mb/s, RTT (us) mean 53.09, P50 22.45, P95 23.20, P99 23.26, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 34324.68 RPCs/s, TX Bandwidth 9.34 Mb/s, RX Bandwidth 2.75 Mb/s, RTT (us) mean 63.82, P50 24.38, P95 25.50, P99 25.58, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 33998.90 RPCs/s, TX Bandwidth 9.25 Mb/s, RX Bandwidth 2.72 Mb/s, RTT (us) mean 53.71, P50 22.61, P95 23.42, P99 23.47, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 34634.42 RPCs/s, TX Bandwidth 9.42 Mb/s, RX Bandwidth 2.77 Mb/s, RTT (us) mean 61.99, P50 23.68, P95 24.57, P99 24.62, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 36896.35 RPCs/s, TX Bandwidth 10.04 Mb/s, RX Bandwidth 2.95 Mb/s, RTT (us) mean 53.49, P50 22.75, P95 23.57, P99 23.63, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 34690.48 RPCs/s, TX Bandwidth 9.44 Mb/s, RX Bandwidth 2.78 Mb/s, RTT (us) mean 60.82, P50 23.52, P95 24.37, P99 24.41, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 31284.55 RPCs/s, TX Bandwidth 8.51 Mb/s, RX Bandwidth 2.50 Mb/s, RTT (us) mean 54.55, P50 22.91, P95 23.76, P99 23.82, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 35758.00 RPCs/s, TX Bandwidth 9.73 Mb/s, RX Bandwidth 2.86 Mb/s, RTT (us) mean 59.71, P50 23.33, P95 24.09, P99 24.16, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 31691.53 RPCs/s, TX Bandwidth 8.62 Mb/s, RX Bandwidth 2.54 Mb/s, RTT (us) mean 55.31, P50 23.04, P95 23.92, P99 23.98, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 35722.58 RPCs/s, TX Bandwidth 9.72 Mb/s, RX Bandwidth 2.86 Mb/s, RTT (us) mean 58.91, P50 23.25, P95 23.98, P99 24.05, max 1778.69
Host p0046.ten.osc.edu, Rank 0, Rate 30632.87 RPCs/s, TX Bandwidth 8.33 Mb/s, RX Bandwidth 2.45 Mb/s, RTT (us) mean 56.12, P50 23.14, P95 24.06, P99 24.14, max 1668.10
Host p0048.ten.osc.edu, Rank 1, Rate 35294.45 RPCs/s, TX Bandwidth 9.60 Mb/s, RX Bandwidth 2.82 Mb/s, RTT (us) mean 58.31, P50 23.17, P95 23.90, P99 23.95, max 1848.32
Aggregated RPC Rate 68011.50 RPCs/s, Aggregated TX Bandwidth 18.50 Mb/s RX Bandwidth 5.44 Mb/s
