mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 2, Rate 21137.14 RPCs/s, TX Bandwidth 5.75 Mb/s, RX Bandwidth 1.69 Mb/s, RTT (us) mean 92.50, P50 26.02, P95 27.54, P99 27.63, max 24379.39
Host p0072.ten.osc.edu, Rank 12, Rate 18651.31 RPCs/s, TX Bandwidth 5.07 Mb/s, RX Bandwidth 1.49 Mb/s, RTT (us) mean 105.50, P50 28.00, P95 29.77, P99 29.86, max 15966.21
Host p0046.ten.osc.edu, Rank 3, Rate 18176.90 RPCs/s, TX Bandwidth 4.94 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 107.70, P50 23.89, P95 25.38, P99 25.45, max 16211.97
Host p0128.ten.osc.edu, Rank 28, Rate 19146.73 RPCs/s, TX Bandwidth 5.21 Mb/s, RX Bandwidth 1.53 Mb/s, RTT (us) mean 102.43, P50 27.54, P95 28.96, P99 29.09, max 13033.47
Host p0072.ten.osc.edu, Rank 15, Rate 18148.10 RPCs/s, TX Bandwidth 4.94 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 108.30, P50 25.58, P95 26.96, P99 27.04, max 13443.07
Host p0128.ten.osc.edu, Rank 31, Rate 16031.14 RPCs/s, TX Bandwidth 4.36 Mb/s, RX Bandwidth 1.28 Mb/s, RTT (us) mean 122.94, P50 25.50, P95 26.98, P99 27.14, max 17301.50
Host p0048.ten.osc.edu, Rank 4, Rate 17576.37 RPCs/s, TX Bandwidth 4.78 Mb/s, RX Bandwidth 1.41 Mb/s, RTT (us) mean 111.80, P50 24.78, P95 26.85, P99 27.01, max 15269.89
Host p0112.ten.osc.edu, Rank 25, Rate 16039.12 RPCs/s, TX Bandwidth 4.36 Mb/s, RX Bandwidth 1.28 Mb/s, RTT (us) mean 122.28, P50 28.30, P95 30.40, P99 30.46, max 15671.30
Host p0050.ten.osc.edu, Rank 11, Rate 17775.52 RPCs/s, TX Bandwidth 4.84 Mb/s, RX Bandwidth 1.42 Mb/s, RTT (us) mean 110.75, P50 26.67, P95 28.57, P99 28.77, max 13090.82
Host p0112.ten.osc.edu, Rank 27, Rate 17499.43 RPCs/s, TX Bandwidth 4.76 Mb/s, RX Bandwidth 1.40 Mb/s, RTT (us) mean 111.80, P50 28.30, P95 30.53, P99 30.72, max 13287.42
Host p0101.ten.osc.edu, Rank 19, Rate 19400.99 RPCs/s, TX Bandwidth 5.28 Mb/s, RX Bandwidth 1.55 Mb/s, RTT (us) mean 101.45, P50 23.87, P95 25.21, P99 25.30, max 16564.22
Host p0050.ten.osc.edu, Rank 9, Rate 18166.47 RPCs/s, TX Bandwidth 4.94 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 108.35, P50 25.98, P95 27.84, P99 27.98, max 13058.05
Host p0046.ten.osc.edu, Rank 0, Rate 21406.96 RPCs/s, TX Bandwidth 5.82 Mb/s, RX Bandwidth 1.71 Mb/s, RTT (us) mean 91.79, P50 20.40, P95 21.79, P99 21.92, max 15171.58
Host p0128.ten.osc.edu, Rank 29, Rate 18377.54 RPCs/s, TX Bandwidth 5.00 Mb/s, RX Bandwidth 1.47 Mb/s, RTT (us) mean 106.60, P50 29.39, P95 30.88, P99 30.96, max 14983.17
Host p0072.ten.osc.edu, Rank 14, Rate 20526.70 RPCs/s, TX Bandwidth 5.58 Mb/s, RX Bandwidth 1.64 Mb/s, RTT (us) mean 95.76, P50 27.61, P95 29.01, P99 29.07, max 15515.65
Host p0112.ten.osc.edu, Rank 26, Rate 17946.99 RPCs/s, TX Bandwidth 4.88 Mb/s, RX Bandwidth 1.44 Mb/s, RTT (us) mean 109.73, P50 27.98, P95 29.81, P99 29.92, max 13066.24
Host p0048.ten.osc.edu, Rank 7, Rate 18077.19 RPCs/s, TX Bandwidth 4.92 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 108.95, P50 27.77, P95 29.25, P99 29.41, max 13033.47
Host p0110.ten.osc.edu, Rank 23, Rate 19372.17 RPCs/s, TX Bandwidth 5.27 Mb/s, RX Bandwidth 1.55 Mb/s, RTT (us) mean 101.35, P50 27.54, P95 29.09, P99 29.30, max 17072.13
Host p0050.ten.osc.edu, Rank 8, Rate 17393.42 RPCs/s, TX Bandwidth 4.73 Mb/s, RX Bandwidth 1.39 Mb/s, RTT (us) mean 112.59, P50 27.39, P95 29.17, P99 29.36, max 17530.88
Host p0110.ten.osc.edu, Rank 20, Rate 17685.19 RPCs/s, TX Bandwidth 4.81 Mb/s, RX Bandwidth 1.41 Mb/s, RTT (us) mean 110.94, P50 27.39, P95 29.55, P99 29.65, max 14680.06
Host p0046.ten.osc.edu, Rank 1, Rate 20604.70 RPCs/s, TX Bandwidth 5.60 Mb/s, RX Bandwidth 1.65 Mb/s, RTT (us) mean 94.62, P50 21.84, P95 23.26, P99 23.33, max 15925.25
Host p0101.ten.osc.edu, Rank 16, Rate 23726.88 RPCs/s, TX Bandwidth 6.45 Mb/s, RX Bandwidth 1.90 Mb/s, RTT (us) mean 82.32, P50 20.89, P95 21.68, P99 21.77, max 15155.20
Host p0101.ten.osc.edu, Rank 18, Rate 20172.36 RPCs/s, TX Bandwidth 5.49 Mb/s, RX Bandwidth 1.61 Mb/s, RTT (us) mean 97.46, P50 28.50, P95 30.14, P99 30.24, max 14778.37
Host p0128.ten.osc.edu, Rank 30, Rate 20316.03 RPCs/s, TX Bandwidth 5.53 Mb/s, RX Bandwidth 1.63 Mb/s, RTT (us) mean 96.66, P50 26.93, P95 28.29, P99 28.38, max 14843.90
Host p0048.ten.osc.edu, Rank 5, Rate 19278.61 RPCs/s, TX Bandwidth 5.24 Mb/s, RX Bandwidth 1.54 Mb/s, RTT (us) mean 101.94, P50 26.56, P95 27.98, P99 28.11, max 15360.00
Host p0050.ten.osc.edu, Rank 10, Rate 19549.50 RPCs/s, TX Bandwidth 5.32 Mb/s, RX Bandwidth 1.56 Mb/s, RTT (us) mean 99.76, P50 28.94, P95 30.50, P99 30.67, max 12795.90
Host p0072.ten.osc.edu, Rank 13, Rate 18178.77 RPCs/s, TX Bandwidth 4.94 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 106.99, P50 31.02, P95 32.90, P99 33.05, max 25182.21
Host p0110.ten.osc.edu, Rank 21, Rate 18107.41 RPCs/s, TX Bandwidth 4.93 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 108.65, P50 29.58, P95 31.41, P99 31.55, max 16015.36
Host p0112.ten.osc.edu, Rank 24, Rate 16905.39 RPCs/s, TX Bandwidth 4.60 Mb/s, RX Bandwidth 1.35 Mb/s, RTT (us) mean 116.61, P50 26.88, P95 28.70, P99 28.85, max 12705.79
Host p0048.ten.osc.edu, Rank 6, Rate 18012.37 RPCs/s, TX Bandwidth 4.90 Mb/s, RX Bandwidth 1.44 Mb/s, RTT (us) mean 108.98, P50 25.34, P95 27.21, P99 27.39, max 14393.34
Host p0101.ten.osc.edu, Rank 17, Rate 20015.15 RPCs/s, TX Bandwidth 5.44 Mb/s, RX Bandwidth 1.60 Mb/s, RTT (us) mean 97.52, P50 25.74, P95 27.39, P99 27.49, max 13090.82
Host p0110.ten.osc.edu, Rank 22, Rate 16566.92 RPCs/s, TX Bandwidth 4.51 Mb/s, RX Bandwidth 1.33 Mb/s, RTT (us) mean 118.71, P50 27.50, P95 29.26, P99 29.36, max 13893.63
Host p0046.ten.osc.edu, Rank 2, Rate 13426.79 RPCs/s, TX Bandwidth 3.65 Mb/s, RX Bandwidth 1.07 Mb/s, RTT (us) mean 113.76, P50 26.94, P95 28.38, P99 28.50, max 24379.39
Host p0072.ten.osc.edu, Rank 12, Rate 12980.38 RPCs/s, TX Bandwidth 3.53 Mb/s, RX Bandwidth 1.04 Mb/s, RTT (us) mean 124.72, P50 28.50, P95 30.69, P99 30.88, max 22544.38
Host p0046.ten.osc.edu, Rank 3, Rate 17388.29 RPCs/s, TX Bandwidth 4.73 Mb/s, RX Bandwidth 1.39 Mb/s, RTT (us) mean 110.32, P50 24.30, P95 25.98, P99 26.11, max 22429.69
Host p0128.ten.osc.edu, Rank 28, Rate 13184.91 RPCs/s, TX Bandwidth 3.59 Mb/s, RX Bandwidth 1.05 Mb/s, RTT (us) mean 121.77, P50 28.08, P95 29.61, P99 29.74, max 21790.72
Host p0128.ten.osc.edu, Rank 31, Rate 13210.73 RPCs/s, TX Bandwidth 3.59 Mb/s, RX Bandwidth 1.06 Mb/s, RTT (us) mean 135.08, P50 26.80, P95 29.14, P99 29.26, max 22921.22
Host p0072.ten.osc.edu, Rank 15, Rate 12578.36 RPCs/s, TX Bandwidth 3.42 Mb/s, RX Bandwidth 1.01 Mb/s, RTT (us) mean 128.37, P50 26.48, P95 28.08, P99 28.24, max 23379.97
Host p0048.ten.osc.edu, Rank 4, Rate 13906.62 RPCs/s, TX Bandwidth 3.78 Mb/s, RX Bandwidth 1.11 Mb/s, RTT (us) mean 125.13, P50 26.06, P95 28.18, P99 28.37, max 21954.56
Host p0112.ten.osc.edu, Rank 25, Rate 14679.30 RPCs/s, TX Bandwidth 3.99 Mb/s, RX Bandwidth 1.17 Mb/s, RTT (us) mean 128.13, P50 28.72, P95 30.99, P99 31.15, max 21823.49
Host p0050.ten.osc.edu, Rank 11, Rate 13273.20 RPCs/s, TX Bandwidth 3.61 Mb/s, RX Bandwidth 1.06 Mb/s, RTT (us) mean 126.86, P50 27.76, P95 29.66, P99 29.76, max 21463.04
Host p0112.ten.osc.edu, Rank 27, Rate 12689.22 RPCs/s, TX Bandwidth 3.45 Mb/s, RX Bandwidth 1.02 Mb/s, RTT (us) mean 130.17, P50 29.07, P95 30.96, P99 31.18, max 18677.76
Host p0101.ten.osc.edu, Rank 19, Rate 18463.40 RPCs/s, TX Bandwidth 5.02 Mb/s, RX Bandwidth 1.48 Mb/s, RTT (us) mean 103.85, P50 23.14, P95 24.91, P99 25.04, max 16564.22
Host p0050.ten.osc.edu, Rank 9, Rate 13953.55 RPCs/s, TX Bandwidth 3.80 Mb/s, RX Bandwidth 1.12 Mb/s, RTT (us) mean 122.49, P50 26.62, P95 28.56, P99 28.75, max 21217.28
Host p0046.ten.osc.edu, Rank 0, Rate 22810.95 RPCs/s, TX Bandwidth 6.20 Mb/s, RX Bandwidth 1.82 Mb/s, RTT (us) mean 88.61, P50 20.30, P95 21.49, P99 21.57, max 21381.12
Host p0072.ten.osc.edu, Rank 14, Rate 14090.57 RPCs/s, TX Bandwidth 3.83 Mb/s, RX Bandwidth 1.13 Mb/s, RTT (us) mean 113.78, P50 26.77, P95 28.64, P99 28.73, max 21610.49
Host p0128.ten.osc.edu, Rank 29, Rate 13195.87 RPCs/s, TX Bandwidth 3.59 Mb/s, RX Bandwidth 1.06 Mb/s, RTT (us) mean 124.63, P50 29.58, P95 31.20, P99 31.38, max 14983.17
Host p0112.ten.osc.edu, Rank 26, Rate 14703.22 RPCs/s, TX Bandwidth 4.00 Mb/s, RX Bandwidth 1.18 Mb/s, RTT (us) mean 120.82, P50 28.72, P95 30.51, P99 30.61, max 13066.24
Host p0048.ten.osc.edu, Rank 7, Rate 11714.65 RPCs/s, TX Bandwidth 3.19 Mb/s, RX Bandwidth 0.94 Mb/s, RTT (us) mean 132.53, P50 28.69, P95 30.27, P99 30.35, max 24395.78
