mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 112063.52 RPCs/s, TX Bandwidth 30.48 Mb/s, RX Bandwidth 8.97 Mb/s, RTT (us) mean 17.73, P50 9.59, P95 9.81, P99 9.83, max 1519.62
Host p0050.ten.osc.edu, Rank 2, Rate 113795.22 RPCs/s, TX Bandwidth 30.95 Mb/s, RX Bandwidth 9.10 Mb/s, RTT (us) mean 17.44, P50 9.45, P95 9.65, P99 9.66, max 1528.83
Host p0048.ten.osc.edu, Rank 1, Rate 106801.22 RPCs/s, TX Bandwidth 29.05 Mb/s, RX Bandwidth 8.54 Mb/s, RTT (us) mean 18.59, P50 10.29, P95 10.54, P99 10.57, max 1223.68
Host p0072.ten.osc.edu, Rank 3, Rate 111448.71 RPCs/s, TX Bandwidth 30.31 Mb/s, RX Bandwidth 8.92 Mb/s, RTT (us) mean 17.84, P50 11.32, P95 11.50, P99 11.52, max 1356.80
Host p0046.ten.osc.edu, Rank 0, Rate 116120.81 RPCs/s, TX Bandwidth 31.58 Mb/s, RX Bandwidth 9.29 Mb/s, RTT (us) mean 17.42, P50 9.83, P95 10.11, P99 10.13, max 1519.62
Host p0050.ten.osc.edu, Rank 2, Rate 114890.09 RPCs/s, TX Bandwidth 31.25 Mb/s, RX Bandwidth 9.19 Mb/s, RTT (us) mean 17.36, P50 9.55, P95 9.73, P99 9.73, max 1528.83
Host p0048.ten.osc.edu, Rank 1, Rate 119114.79 RPCs/s, TX Bandwidth 32.40 Mb/s, RX Bandwidth 9.53 Mb/s, RTT (us) mean 17.58, P50 10.44, P95 10.70, P99 10.70, max 1223.68
Host p0072.ten.osc.edu, Rank 3, Rate 115236.97 RPCs/s, TX Bandwidth 31.34 Mb/s, RX Bandwidth 9.22 Mb/s, RTT (us) mean 17.54, P50 11.38, P95 11.56, P99 11.57, max 1356.80
Host p0046.ten.osc.edu, Rank 0, Rate 120172.31 RPCs/s, TX Bandwidth 32.69 Mb/s, RX Bandwidth 9.61 Mb/s, RTT (us) mean 17.13, P50 9.99, P95 10.28, P99 10.29, max 1519.62
Host p0050.ten.osc.edu, Rank 2, Rate 115314.35 RPCs/s, TX Bandwidth 31.37 Mb/s, RX Bandwidth 9.23 Mb/s, RTT (us) mean 17.31, P50 9.61, P95 9.78, P99 9.80, max 1528.83
Host p0048.ten.osc.edu, Rank 1, Rate 117689.91 RPCs/s, TX Bandwidth 32.01 Mb/s, RX Bandwidth 9.42 Mb/s, RTT (us) mean 17.33, P50 10.45, P95 10.70, P99 10.71, max 1223.68
Host p0072.ten.osc.edu, Rank 3, Rate 117905.53 RPCs/s, TX Bandwidth 32.07 Mb/s, RX Bandwidth 9.43 Mb/s, RTT (us) mean 17.30, P50 10.66, P95 10.93, P99 10.94, max 1470.46
Host p0046.ten.osc.edu, Rank 0, Rate 119970.14 RPCs/s, TX Bandwidth 32.63 Mb/s, RX Bandwidth 9.60 Mb/s, RTT (us) mean 16.99, P50 10.10, P95 10.38, P99 10.39, max 1519.62
Host p0050.ten.osc.edu, Rank 2, Rate 110057.98 RPCs/s, TX Bandwidth 29.94 Mb/s, RX Bandwidth 8.80 Mb/s, RTT (us) mean 17.49, P50 9.68, P95 9.86, P99 9.88, max 1528.83
Host p0048.ten.osc.edu, Rank 1, Rate 120293.84 RPCs/s, TX Bandwidth 32.72 Mb/s, RX Bandwidth 9.62 Mb/s, RTT (us) mean 17.12, P50 10.06, P95 10.33, P99 10.35, max 1371.13
Host p0072.ten.osc.edu, Rank 3, Rate 110661.40 RPCs/s, TX Bandwidth 30.10 Mb/s, RX Bandwidth 8.85 Mb/s, RTT (us) mean 17.46, P50 10.78, P95 11.07, P99 11.09, max 1470.46
Host p0046.ten.osc.edu, Rank 0, Rate 119741.55 RPCs/s, TX Bandwidth 32.57 Mb/s, RX Bandwidth 9.58 Mb/s, RTT (us) mean 16.91, P50 10.17, P95 10.42, P99 10.44, max 1519.62
Host p0050.ten.osc.edu, Rank 2, Rate 111028.80 RPCs/s, TX Bandwidth 30.20 Mb/s, RX Bandwidth 8.88 Mb/s, RTT (us) mean 17.56, P50 9.74, P95 9.94, P99 9.96, max 1528.83
Host p0048.ten.osc.edu, Rank 1, Rate 120311.87 RPCs/s, TX Bandwidth 32.72 Mb/s, RX Bandwidth 9.62 Mb/s, RTT (us) mean 16.99, P50 9.95, P95 10.22, P99 10.24, max 1371.13
