mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 2, Rate 133973.55 RPCs/s, TX Bandwidth 36.44 Mb/s, RX Bandwidth 10.72 Mb/s, RTT (us) mean 14.82, P50 9.37, P95 9.75, P99 9.78, max 1421.31
Host p0101.ten.osc.edu, Rank 4, Rate 129903.61 RPCs/s, TX Bandwidth 35.33 Mb/s, RX Bandwidth 10.39 Mb/s, RTT (us) mean 15.29, P50 9.99, P95 10.10, P99 10.10, max 1623.04
Host p0046.ten.osc.edu, Rank 0, Rate 97039.74 RPCs/s, TX Bandwidth 26.40 Mb/s, RX Bandwidth 7.76 Mb/s, RTT (us) mean 20.47, P50 10.84, P95 11.13, P99 11.16, max 1290.24
Host p0048.ten.osc.edu, Rank 1, Rate 116025.35 RPCs/s, TX Bandwidth 31.56 Mb/s, RX Bandwidth 9.28 Mb/s, RTT (us) mean 17.13, P50 9.88, P95 10.06, P99 10.08, max 1330.17
Host p0110.ten.osc.edu, Rank 5, Rate 107450.27 RPCs/s, TX Bandwidth 29.23 Mb/s, RX Bandwidth 8.60 Mb/s, RTT (us) mean 18.49, P50 10.99, P95 11.34, P99 11.37, max 1433.60
Host p0112.ten.osc.edu, Rank 6, Rate 138053.48 RPCs/s, TX Bandwidth 37.55 Mb/s, RX Bandwidth 11.04 Mb/s, RTT (us) mean 14.37, P50 10.11, P95 10.22, P99 10.23, max 1480.70
Host p0128.ten.osc.edu, Rank 7, Rate 108854.97 RPCs/s, TX Bandwidth 29.61 Mb/s, RX Bandwidth 8.71 Mb/s, RTT (us) mean 18.27, P50 10.46, P95 10.60, P99 10.62, max 1408.00
Host p0072.ten.osc.edu, Rank 3, Rate 105365.93 RPCs/s, TX Bandwidth 28.66 Mb/s, RX Bandwidth 8.43 Mb/s, RTT (us) mean 18.85, P50 10.89, P95 11.11, P99 11.13, max 2197.50
Host p0050.ten.osc.edu, Rank 2, Rate 165618.27 RPCs/s, TX Bandwidth 45.05 Mb/s, RX Bandwidth 13.25 Mb/s, RTT (us) mean 13.26, P50 9.46, P95 9.99, P99 10.02, max 1598.46
Host p0101.ten.osc.edu, Rank 4, Rate 112066.72 RPCs/s, TX Bandwidth 30.48 Mb/s, RX Bandwidth 8.97 Mb/s, RTT (us) mean 16.43, P50 10.05, P95 10.16, P99 10.17, max 1623.04
Host p0048.ten.osc.edu, Rank 1, Rate 116748.93 RPCs/s, TX Bandwidth 31.76 Mb/s, RX Bandwidth 9.34 Mb/s, RTT (us) mean 17.07, P50 9.98, P95 10.18, P99 10.19, max 1330.17
Host p0046.ten.osc.edu, Rank 0, Rate 105494.85 RPCs/s, TX Bandwidth 28.69 Mb/s, RX Bandwidth 8.44 Mb/s, RTT (us) mean 19.61, P50 11.13, P95 11.44, P99 11.46, max 1290.24
Host p0110.ten.osc.edu, Rank 5, Rate 118539.53 RPCs/s, TX Bandwidth 32.24 Mb/s, RX Bandwidth 9.48 Mb/s, RTT (us) mean 17.59, P50 11.25, P95 11.61, P99 11.64, max 1433.60
Host p0112.ten.osc.edu, Rank 6, Rate 114138.23 RPCs/s, TX Bandwidth 31.05 Mb/s, RX Bandwidth 9.13 Mb/s, RTT (us) mean 15.73, P50 10.17, P95 10.28, P99 10.29, max 1480.70
Host p0128.ten.osc.edu, Rank 7, Rate 120237.99 RPCs/s, TX Bandwidth 32.70 Mb/s, RX Bandwidth 9.62 Mb/s, RTT (us) mean 17.36, P50 10.42, P95 10.59, P99 10.60, max 1408.00
Host p0072.ten.osc.edu, Rank 3, Rate 109663.97 RPCs/s, TX Bandwidth 29.83 Mb/s, RX Bandwidth 8.77 Mb/s, RTT (us) mean 18.49, P50 11.06, P95 11.28, P99 11.29, max 2197.50
Host p0050.ten.osc.edu, Rank 2, Rate 112832.69 RPCs/s, TX Bandwidth 30.69 Mb/s, RX Bandwidth 9.03 Mb/s, RTT (us) mean 14.45, P50 9.72, P95 10.10, P99 10.12, max 1598.46
Host p0101.ten.osc.edu, Rank 4, Rate 112390.57 RPCs/s, TX Bandwidth 30.57 Mb/s, RX Bandwidth 8.99 Mb/s, RTT (us) mean 16.83, P50 10.11, P95 10.23, P99 10.24, max 1623.04
Host p0046.ten.osc.edu, Rank 0, Rate 105237.80 RPCs/s, TX Bandwidth 28.62 Mb/s, RX Bandwidth 8.42 Mb/s, RTT (us) mean 19.36, P50 11.19, P95 11.47, P99 11.49, max 1752.06
Host p0048.ten.osc.edu, Rank 1, Rate 111956.98 RPCs/s, TX Bandwidth 30.45 Mb/s, RX Bandwidth 8.96 Mb/s, RTT (us) mean 17.29, P50 10.10, P95 10.29, P99 10.31, max 1560.58
