mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0072.ten.osc.edu, Rank 3, Rate 31430.99 RPCs/s, TX Bandwidth 8.55 Mb/s, RX Bandwidth 2.51 Mb/s, RTT (us) mean 61.78, P50 27.66, P95 30.62, P99 30.78, max 4784.13
Host p0112.ten.osc.edu, Rank 6, Rate 30112.74 RPCs/s, TX Bandwidth 8.19 Mb/s, RX Bandwidth 2.41 Mb/s, RTT (us) mean 64.25, P50 31.97, P95 33.63, P99 33.82, max 4624.38
Host p0046.ten.osc.edu, Rank 0, Rate 34944.02 RPCs/s, TX Bandwidth 9.51 Mb/s, RX Bandwidth 2.80 Mb/s, RTT (us) mean 55.64, P50 23.07, P95 26.86, P99 27.17, max 5029.89
Host p0048.ten.osc.edu, Rank 1, Rate 32954.47 RPCs/s, TX Bandwidth 8.96 Mb/s, RX Bandwidth 2.64 Mb/s, RTT (us) mean 58.34, P50 24.40, P95 25.58, P99 25.65, max 1351.68
Host p0110.ten.osc.edu, Rank 5, Rate 31673.42 RPCs/s, TX Bandwidth 8.62 Mb/s, RX Bandwidth 2.53 Mb/s, RTT (us) mean 61.32, P50 29.97, P95 34.53, P99 34.72, max 4792.32
Host p0101.ten.osc.edu, Rank 4, Rate 32388.68 RPCs/s, TX Bandwidth 8.81 Mb/s, RX Bandwidth 2.59 Mb/s, RTT (us) mean 59.94, P50 27.15, P95 32.22, P99 32.59, max 4939.77
Host p0128.ten.osc.edu, Rank 7, Rate 28399.97 RPCs/s, TX Bandwidth 7.73 Mb/s, RX Bandwidth 2.27 Mb/s, RTT (us) mean 67.69, P50 33.60, P95 36.06, P99 36.19, max 4886.53
Host p0050.ten.osc.edu, Rank 2, Rate 34830.61 RPCs/s, TX Bandwidth 9.47 Mb/s, RX Bandwidth 2.79 Mb/s, RTT (us) mean 55.82, P50 30.11, P95 32.75, P99 32.93, max 2469.89
Host p0072.ten.osc.edu, Rank 3, Rate 30955.00 RPCs/s, TX Bandwidth 8.42 Mb/s, RX Bandwidth 2.48 Mb/s, RTT (us) mean 61.90, P50 29.68, P95 33.12, P99 33.34, max 4784.13
Host p0112.ten.osc.edu, Rank 6, Rate 32325.93 RPCs/s, TX Bandwidth 8.79 Mb/s, RX Bandwidth 2.59 Mb/s, RTT (us) mean 61.98, P50 30.94, P95 33.63, P99 33.89, max 4624.38
Host p0046.ten.osc.edu, Rank 0, Rate 34529.94 RPCs/s, TX Bandwidth 9.39 Mb/s, RX Bandwidth 2.76 Mb/s, RTT (us) mean 55.99, P50 25.98, P95 29.71, P99 29.92, max 5029.89
