mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 11, Rate 171984.78 RPCs/s, TX Bandwidth 46.78 Mb/s, RX Bandwidth 13.76 Mb/s, RTT (us) mean 11.53, P50 8.57, P95 8.76, P99 8.78, max 1971.20
Host p0046.ten.osc.edu, Rank 1, Rate 164413.83 RPCs/s, TX Bandwidth 44.72 Mb/s, RX Bandwidth 13.15 Mb/s, RTT (us) mean 12.06, P50 8.66, P95 8.81, P99 8.83, max 2252.80
Host p0046.ten.osc.edu, Rank 0, Rate 165993.89 RPCs/s, TX Bandwidth 45.15 Mb/s, RX Bandwidth 13.28 Mb/s, RTT (us) mean 11.96, P50 8.56, P95 8.76, P99 8.78, max 2021.38
Host p0048.ten.osc.edu, Rank 5, Rate 153135.22 RPCs/s, TX Bandwidth 41.65 Mb/s, RX Bandwidth 12.25 Mb/s, RTT (us) mean 12.97, P50 9.20, P95 9.42, P99 9.43, max 3772.41
Host p0048.ten.osc.edu, Rank 7, Rate 183967.24 RPCs/s, TX Bandwidth 50.04 Mb/s, RX Bandwidth 14.72 Mb/s, RTT (us) mean 10.78, P50 8.29, P95 8.42, P99 8.43, max 1786.88
Host p0110.ten.osc.edu, Rank 21, Rate 182307.56 RPCs/s, TX Bandwidth 49.59 Mb/s, RX Bandwidth 14.58 Mb/s, RTT (us) mean 10.88, P50 8.61, P95 8.67, P99 8.67, max 1836.03
Host p0046.ten.osc.edu, Rank 3, Rate 142002.66 RPCs/s, TX Bandwidth 38.63 Mb/s, RX Bandwidth 11.36 Mb/s, RTT (us) mean 13.97, P50 9.31, P95 9.62, P99 9.63, max 1971.20
Host p0050.ten.osc.edu, Rank 9, Rate 162060.69 RPCs/s, TX Bandwidth 44.08 Mb/s, RX Bandwidth 12.96 Mb/s, RTT (us) mean 12.23, P50 8.99, P95 9.25, P99 9.26, max 1949.69
Host p0110.ten.osc.edu, Rank 20, Rate 173893.93 RPCs/s, TX Bandwidth 47.30 Mb/s, RX Bandwidth 13.91 Mb/s, RTT (us) mean 11.42, P50 8.88, P95 8.97, P99 8.98, max 1861.63
Host p0128.ten.osc.edu, Rank 31, Rate 140940.64 RPCs/s, TX Bandwidth 38.34 Mb/s, RX Bandwidth 11.28 Mb/s, RTT (us) mean 14.04, P50 9.59, P95 9.81, P99 9.82, max 3024.89
Host p0101.ten.osc.edu, Rank 17, Rate 151133.92 RPCs/s, TX Bandwidth 41.11 Mb/s, RX Bandwidth 12.09 Mb/s, RTT (us) mean 13.13, P50 9.60, P95 9.73, P99 9.73, max 1884.16
Host p0101.ten.osc.edu, Rank 19, Rate 159206.02 RPCs/s, TX Bandwidth 43.30 Mb/s, RX Bandwidth 12.74 Mb/s, RTT (us) mean 12.47, P50 9.43, P95 9.57, P99 9.59, max 4050.94
Host p0112.ten.osc.edu, Rank 25, Rate 172611.31 RPCs/s, TX Bandwidth 46.95 Mb/s, RX Bandwidth 13.81 Mb/s, RTT (us) mean 11.50, P50 9.11, P95 9.19, P99 9.20, max 1666.05
Host p0128.ten.osc.edu, Rank 29, Rate 123172.43 RPCs/s, TX Bandwidth 33.50 Mb/s, RX Bandwidth 9.85 Mb/s, RTT (us) mean 16.15, P50 9.29, P95 9.41, P99 9.42, max 6070.27
Host p0112.ten.osc.edu, Rank 27, Rate 153830.88 RPCs/s, TX Bandwidth 41.84 Mb/s, RX Bandwidth 12.31 Mb/s, RTT (us) mean 12.90, P50 9.41, P95 9.58, P99 9.59, max 2406.40
Host p0101.ten.osc.edu, Rank 18, Rate 161894.39 RPCs/s, TX Bandwidth 44.04 Mb/s, RX Bandwidth 12.95 Mb/s, RTT (us) mean 12.26, P50 9.02, P95 9.07, P99 9.07, max 7061.50
Host p0048.ten.osc.edu, Rank 4, Rate 157172.48 RPCs/s, TX Bandwidth 42.75 Mb/s, RX Bandwidth 12.57 Mb/s, RTT (us) mean 12.61, P50 9.18, P95 9.35, P99 9.37, max 1772.54
Host p0050.ten.osc.edu, Rank 8, Rate 130774.60 RPCs/s, TX Bandwidth 35.57 Mb/s, RX Bandwidth 10.46 Mb/s, RTT (us) mean 15.17, P50 10.13, P95 10.36, P99 10.37, max 7954.43
Host p0072.ten.osc.edu, Rank 14, Rate 153696.54 RPCs/s, TX Bandwidth 41.81 Mb/s, RX Bandwidth 12.30 Mb/s, RTT (us) mean 12.88, P50 9.60, P95 9.70, P99 9.71, max 6705.15
Host p0128.ten.osc.edu, Rank 30, Rate 160085.62 RPCs/s, TX Bandwidth 43.54 Mb/s, RX Bandwidth 12.81 Mb/s, RTT (us) mean 12.41, P50 9.42, P95 9.54, P99 9.55, max 6418.43
Host p0048.ten.osc.edu, Rank 6, Rate 166990.33 RPCs/s, TX Bandwidth 45.42 Mb/s, RX Bandwidth 13.36 Mb/s, RTT (us) mean 11.88, P50 8.41, P95 8.56, P99 8.57, max 1607.68
