mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 23558.48 RPCs/s, TX Bandwidth 6.41 Mb/s, RX Bandwidth 1.88 Mb/s, RTT (us) mean 82.80, P50 19.28, P95 20.02, P99 20.06, max 2287.61
Host p0046.ten.osc.edu, Rank 0, Rate 26509.41 RPCs/s, TX Bandwidth 7.21 Mb/s, RX Bandwidth 2.12 Mb/s, RTT (us) mean 73.66, P50 25.89, P95 31.10, P99 31.25, max 3311.61
Host p0050.ten.osc.edu, Rank 2, Rate 26397.44 RPCs/s, TX Bandwidth 7.18 Mb/s, RX Bandwidth 2.11 Mb/s, RTT (us) mean 73.85, P50 29.31, P95 31.28, P99 31.39, max 3354.62
Host p0072.ten.osc.edu, Rank 3, Rate 28447.79 RPCs/s, TX Bandwidth 7.74 Mb/s, RX Bandwidth 2.28 Mb/s, RTT (us) mean 68.34, P50 31.07, P95 32.75, P99 32.86, max 3360.77
Host p0048.ten.osc.edu, Rank 1, Rate 26871.77 RPCs/s, TX Bandwidth 7.31 Mb/s, RX Bandwidth 2.15 Mb/s, RTT (us) mean 77.34, P50 19.90, P95 21.09, P99 21.20, max 2287.61
Host p0046.ten.osc.edu, Rank 0, Rate 31170.97 RPCs/s, TX Bandwidth 8.48 Mb/s, RX Bandwidth 2.49 Mb/s, RTT (us) mean 67.76, P50 25.90, P95 28.13, P99 28.25, max 3311.61
Host p0050.ten.osc.edu, Rank 2, Rate 31097.39 RPCs/s, TX Bandwidth 8.46 Mb/s, RX Bandwidth 2.49 Mb/s, RTT (us) mean 67.86, P50 25.92, P95 27.55, P99 27.65, max 3354.62
Host p0072.ten.osc.edu, Rank 3, Rate 31655.22 RPCs/s, TX Bandwidth 8.61 Mb/s, RX Bandwidth 2.53 Mb/s, RTT (us) mean 64.66, P50 29.38, P95 30.69, P99 30.77, max 3360.77
Host p0048.ten.osc.edu, Rank 1, Rate 28530.92 RPCs/s, TX Bandwidth 7.76 Mb/s, RX Bandwidth 2.28 Mb/s, RTT (us) mean 74.19, P50 20.25, P95 21.92, P99 22.16, max 2287.61
Host p0046.ten.osc.edu, Rank 0, Rate 33513.97 RPCs/s, TX Bandwidth 9.12 Mb/s, RX Bandwidth 2.68 Mb/s, RTT (us) mean 64.26, P50 26.18, P95 27.93, P99 28.03, max 3311.61
Host p0050.ten.osc.edu, Rank 2, Rate 32378.60 RPCs/s, TX Bandwidth 8.81 Mb/s, RX Bandwidth 2.59 Mb/s, RTT (us) mean 65.06, P50 25.65, P95 27.02, P99 27.15, max 3354.62
