mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 2, Rate 144142.60 RPCs/s, TX Bandwidth 39.21 Mb/s, RX Bandwidth 11.53 Mb/s, RTT (us) mean 13.74, P50 8.18, P95 8.28, P99 8.29, max 1338.37
Host p0046.ten.osc.edu, Rank 0, Rate 165700.74 RPCs/s, TX Bandwidth 45.07 Mb/s, RX Bandwidth 13.26 Mb/s, RTT (us) mean 11.96, P50 7.49, P95 7.63, P99 7.64, max 1508.35
Host p0048.ten.osc.edu, Rank 1, Rate 165768.79 RPCs/s, TX Bandwidth 45.09 Mb/s, RX Bandwidth 13.26 Mb/s, RTT (us) mean 11.95, P50 7.23, P95 7.33, P99 7.33, max 1333.25
Host p0072.ten.osc.edu, Rank 3, Rate 160727.19 RPCs/s, TX Bandwidth 43.72 Mb/s, RX Bandwidth 12.86 Mb/s, RTT (us) mean 12.34, P50 8.26, P95 8.39, P99 8.40, max 1234.94
Host p0050.ten.osc.edu, Rank 2, Rate 176801.58 RPCs/s, TX Bandwidth 48.09 Mb/s, RX Bandwidth 14.14 Mb/s, RTT (us) mean 12.36, P50 8.28, P95 8.48, P99 8.49, max 1338.37
Host p0048.ten.osc.edu, Rank 1, Rate 220739.55 RPCs/s, TX Bandwidth 60.04 Mb/s, RX Bandwidth 17.66 Mb/s, RTT (us) mean 10.26, P50 7.16, P95 7.22, P99 7.23, max 1333.25
Host p0046.ten.osc.edu, Rank 0, Rate 169852.14 RPCs/s, TX Bandwidth 46.20 Mb/s, RX Bandwidth 13.59 Mb/s, RTT (us) mean 11.82, P50 7.63, P95 7.83, P99 7.84, max 1508.35
Host p0072.ten.osc.edu, Rank 3, Rate 194737.94 RPCs/s, TX Bandwidth 52.97 Mb/s, RX Bandwidth 15.58 Mb/s, RTT (us) mean 11.16, P50 8.24, P95 8.35, P99 8.36, max 1234.94
Host p0050.ten.osc.edu, Rank 2, Rate 178740.50 RPCs/s, TX Bandwidth 48.62 Mb/s, RX Bandwidth 14.30 Mb/s, RTT (us) mean 11.91, P50 8.26, P95 8.42, P99 8.43, max 1338.37
Host p0046.ten.osc.edu, Rank 0, Rate 182996.90 RPCs/s, TX Bandwidth 49.78 Mb/s, RX Bandwidth 14.64 Mb/s, RTT (us) mean 11.47, P50 7.73, P95 7.93, P99 7.94, max 1508.35
Host p0048.ten.osc.edu, Rank 1, Rate 215446.51 RPCs/s, TX Bandwidth 58.60 Mb/s, RX Bandwidth 17.24 Mb/s, RTT (us) mean 9.88, P50 7.18, P95 7.25, P99 7.25, max 1333.25
