mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 24416.20 RPCs/s, TX Bandwidth 6.64 Mb/s, RX Bandwidth 1.95 Mb/s, RTT (us) mean 79.84, P50 23.65, P95 29.21, P99 29.74, max 1465.34
Host p0046.ten.osc.edu, Rank 0, Rate 27203.51 RPCs/s, TX Bandwidth 7.40 Mb/s, RX Bandwidth 2.18 Mb/s, RTT (us) mean 71.44, P50 32.19, P95 33.60, P99 33.79, max 2293.76
Host p0050.ten.osc.edu, Rank 2, Rate 27344.91 RPCs/s, TX Bandwidth 7.44 Mb/s, RX Bandwidth 2.19 Mb/s, RTT (us) mean 71.32, P50 31.20, P95 32.53, P99 32.61, max 3260.41
Host p0072.ten.osc.edu, Rank 3, Rate 27380.79 RPCs/s, TX Bandwidth 7.45 Mb/s, RX Bandwidth 2.19 Mb/s, RTT (us) mean 71.22, P50 33.60, P95 34.81, P99 34.98, max 3407.87
Host p0048.ten.osc.edu, Rank 1, Rate 26487.14 RPCs/s, TX Bandwidth 7.20 Mb/s, RX Bandwidth 2.12 Mb/s, RTT (us) mean 76.82, P50 25.10, P95 30.00, P99 30.19, max 9256.96
Host p0046.ten.osc.edu, Rank 0, Rate 30015.22 RPCs/s, TX Bandwidth 8.16 Mb/s, RX Bandwidth 2.40 Mb/s, RTT (us) mean 68.16, P50 31.54, P95 32.96, P99 33.09, max 2293.76
Host p0050.ten.osc.edu, Rank 2, Rate 28882.56 RPCs/s, TX Bandwidth 7.86 Mb/s, RX Bandwidth 2.31 Mb/s, RTT (us) mean 69.51, P50 30.93, P95 32.03, P99 32.13, max 9445.38
Host p0072.ten.osc.edu, Rank 3, Rate 29846.36 RPCs/s, TX Bandwidth 8.12 Mb/s, RX Bandwidth 2.39 Mb/s, RTT (us) mean 68.24, P50 33.12, P95 34.46, P99 34.56, max 9175.04
Host p0048.ten.osc.edu, Rank 1, Rate 26951.85 RPCs/s, TX Bandwidth 7.33 Mb/s, RX Bandwidth 2.16 Mb/s, RTT (us) mean 75.40, P50 26.37, P95 30.46, P99 30.64, max 9256.96
Host p0046.ten.osc.edu, Rank 0, Rate 30825.43 RPCs/s, TX Bandwidth 8.38 Mb/s, RX Bandwidth 2.47 Mb/s, RTT (us) mean 66.51, P50 31.52, P95 32.96, P99 33.05, max 2293.76
Host p0050.ten.osc.edu, Rank 2, Rate 29903.54 RPCs/s, TX Bandwidth 8.13 Mb/s, RX Bandwidth 2.39 Mb/s, RTT (us) mean 68.10, P50 30.69, P95 31.81, P99 31.90, max 9445.38
Host p0072.ten.osc.edu, Rank 3, Rate 30217.58 RPCs/s, TX Bandwidth 8.22 Mb/s, RX Bandwidth 2.42 Mb/s, RTT (us) mean 66.78, P50 33.34, P95 34.62, P99 34.72, max 9175.04
Host p0048.ten.osc.edu, Rank 1, Rate 26956.16 RPCs/s, TX Bandwidth 7.33 Mb/s, RX Bandwidth 2.16 Mb/s, RTT (us) mean 74.71, P50 26.89, P95 30.59, P99 30.82, max 9256.96
Host p0046.ten.osc.edu, Rank 0, Rate 30340.10 RPCs/s, TX Bandwidth 8.25 Mb/s, RX Bandwidth 2.43 Mb/s, RTT (us) mean 65.99, P50 31.38, P95 32.83, P99 32.96, max 2293.76
Host p0050.ten.osc.edu, Rank 2, Rate 29904.79 RPCs/s, TX Bandwidth 8.13 Mb/s, RX Bandwidth 2.39 Mb/s, RTT (us) mean 67.41, P50 30.59, P95 31.73, P99 31.81, max 9445.38
Host p0072.ten.osc.edu, Rank 3, Rate 30316.04 RPCs/s, TX Bandwidth 8.25 Mb/s, RX Bandwidth 2.43 Mb/s, RTT (us) mean 66.20, P50 33.12, P95 34.46, P99 34.56, max 9175.04
Host p0048.ten.osc.edu, Rank 1, Rate 26939.90 RPCs/s, TX Bandwidth 7.33 Mb/s, RX Bandwidth 2.16 Mb/s, RTT (us) mean 74.32, P50 26.85, P95 30.48, P99 30.66, max 9256.96
Host p0046.ten.osc.edu, Rank 0, Rate 30008.67 RPCs/s, TX Bandwidth 8.16 Mb/s, RX Bandwidth 2.40 Mb/s, RTT (us) mean 65.83, P50 31.25, P95 32.80, P99 32.86, max 2293.76
Host p0050.ten.osc.edu, Rank 2, Rate 29421.47 RPCs/s, TX Bandwidth 8.00 Mb/s, RX Bandwidth 2.35 Mb/s, RTT (us) mean 67.23, P50 30.54, P95 31.71, P99 31.81, max 9445.38
Host p0072.ten.osc.edu, Rank 3, Rate 29855.87 RPCs/s, TX Bandwidth 8.12 Mb/s, RX Bandwidth 2.39 Mb/s, RTT (us) mean 66.06, P50 32.80, P95 34.27, P99 34.40, max 9175.04
