mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0128.ten.osc.edu, Rank 61, Rate 5746.95 RPCs/s, TX Bandwidth 1.56 Mb/s, RX Bandwidth 0.46 Mb/s, RTT (us) mean 27.40, P50 9.65, P95 9.70, P99 9.71, max 28295.17
Host p0101.ten.osc.edu, Rank 35, Rate 6268.00 RPCs/s, TX Bandwidth 1.71 Mb/s, RX Bandwidth 0.50 Mb/s, RTT (us) mean 25.13, P50 8.63, P95 8.76, P99 8.77, max 23445.50
Host p0046.ten.osc.edu, Rank 5, Rate 6807.94 RPCs/s, TX Bandwidth 1.85 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 23.03, P50 9.11, P95 9.15, P99 9.16, max 14442.50
Host p0128.ten.osc.edu, Rank 60, Rate 5740.98 RPCs/s, TX Bandwidth 1.56 Mb/s, RX Bandwidth 0.46 Mb/s, RTT (us) mean 27.56, P50 8.47, P95 8.52, P99 8.52, max 41254.91
Host p0101.ten.osc.edu, Rank 33, Rate 4835.96 RPCs/s, TX Bandwidth 1.32 Mb/s, RX Bandwidth 0.39 Mb/s, RTT (us) mean 32.74, P50 9.49, P95 9.54, P99 9.54, max 35848.19
Host p0072.ten.osc.edu, Rank 31, Rate 6725.95 RPCs/s, TX Bandwidth 1.83 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 23.50, P50 8.57, P95 8.64, P99 8.65, max 18022.40
Host p0110.ten.osc.edu, Rank 42, Rate 9307.92 RPCs/s, TX Bandwidth 2.53 Mb/s, RX Bandwidth 0.74 Mb/s, RTT (us) mean 17.10, P50 9.25, P95 9.36, P99 9.37, max 47579.14
Host p0110.ten.osc.edu, Rank 46, Rate 6430.96 RPCs/s, TX Bandwidth 1.75 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 24.79, P50 9.34, P95 9.39, P99 9.39, max 15589.38
Host p0101.ten.osc.edu, Rank 37, Rate 5986.77 RPCs/s, TX Bandwidth 1.63 Mb/s, RX Bandwidth 0.48 Mb/s, RTT (us) mean 26.68, P50 8.29, P95 8.34, P99 8.34, max 35258.37
Host p0046.ten.osc.edu, Rank 3, Rate 6128.29 RPCs/s, TX Bandwidth 1.67 Mb/s, RX Bandwidth 0.49 Mb/s, RTT (us) mean 26.03, P50 7.75, P95 7.82, P99 7.82, max 30326.78
Host p0050.ten.osc.edu, Rank 20, Rate 5591.95 RPCs/s, TX Bandwidth 1.52 Mb/s, RX Bandwidth 0.45 Mb/s, RTT (us) mean 28.59, P50 7.81, P95 7.86, P99 7.86, max 29704.19
Host p0048.ten.osc.edu, Rank 12, Rate 4995.87 RPCs/s, TX Bandwidth 1.36 Mb/s, RX Bandwidth 0.40 Mb/s, RTT (us) mean 31.99, P50 7.48, P95 7.53, P99 7.53, max 30294.01
Host p0112.ten.osc.edu, Rank 51, Rate 6448.00 RPCs/s, TX Bandwidth 1.75 Mb/s, RX Bandwidth 0.52 Mb/s, RTT (us) mean 24.80, P50 8.99, P95 9.07, P99 9.08, max 24903.68
Host p0046.ten.osc.edu, Rank 1, Rate 5989.58 RPCs/s, TX Bandwidth 1.63 Mb/s, RX Bandwidth 0.48 Mb/s, RTT (us) mean 26.68, P50 8.84, P95 8.88, P99 8.89, max 31932.42
Host p0128.ten.osc.edu, Rank 63, Rate 4841.10 RPCs/s, TX Bandwidth 1.32 Mb/s, RX Bandwidth 0.39 Mb/s, RTT (us) mean 32.96, P50 10.11, P95 10.16, P99 10.16, max 30261.25
Host p0046.ten.osc.edu, Rank 7, Rate 8544.96 RPCs/s, TX Bandwidth 2.32 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 18.71, P50 8.56, P95 8.65, P99 8.65, max 35880.96
Host p0112.ten.osc.edu, Rank 53, Rate 6476.94 RPCs/s, TX Bandwidth 1.76 Mb/s, RX Bandwidth 0.52 Mb/s, RTT (us) mean 24.67, P50 9.66, P95 9.82, P99 9.84, max 44564.48
Host p0101.ten.osc.edu, Rank 36, Rate 9567.97 RPCs/s, TX Bandwidth 2.60 Mb/s, RX Bandwidth 0.77 Mb/s, RTT (us) mean 16.76, P50 9.08, P95 9.13, P99 9.14, max 35913.73
Host p0101.ten.osc.edu, Rank 39, Rate 7995.51 RPCs/s, TX Bandwidth 2.18 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.07, P50 9.59, P95 9.65, P99 9.66, max 44957.69
Host p0050.ten.osc.edu, Rank 23, Rate 7044.97 RPCs/s, TX Bandwidth 1.92 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 22.67, P50 8.28, P95 8.33, P99 8.34, max 16990.21
Host p0112.ten.osc.edu, Rank 54, Rate 9687.92 RPCs/s, TX Bandwidth 2.64 Mb/s, RX Bandwidth 0.78 Mb/s, RTT (us) mean 16.63, P50 8.94, P95 9.00, P99 9.00, max 50298.88
Host p0112.ten.osc.edu, Rank 52, Rate 7986.55 RPCs/s, TX Bandwidth 2.17 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.19, P50 8.96, P95 9.13, P99 9.13, max 25001.98
Host p0101.ten.osc.edu, Rank 32, Rate 5149.97 RPCs/s, TX Bandwidth 1.40 Mb/s, RX Bandwidth 0.41 Mb/s, RTT (us) mean 31.50, P50 8.98, P95 9.05, P99 9.05, max 16736.26
Host p0050.ten.osc.edu, Rank 16, Rate 5847.00 RPCs/s, TX Bandwidth 1.59 Mb/s, RX Bandwidth 0.47 Mb/s, RTT (us) mean 27.72, P50 8.51, P95 8.58, P99 8.59, max 21659.65
Host p0046.ten.osc.edu, Rank 0, Rate 7209.98 RPCs/s, TX Bandwidth 1.96 Mb/s, RX Bandwidth 0.58 Mb/s, RTT (us) mean 22.46, P50 7.78, P95 7.86, P99 7.86, max 26886.14
Host p0046.ten.osc.edu, Rank 4, Rate 7980.86 RPCs/s, TX Bandwidth 2.17 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.36, P50 7.81, P95 7.88, P99 7.88, max 17285.12
Host p0110.ten.osc.edu, Rank 47, Rate 8955.77 RPCs/s, TX Bandwidth 2.44 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 18.12, P50 9.02, P95 9.09, P99 9.10, max 43286.53
Host p0048.ten.osc.edu, Rank 13, Rate 3984.01 RPCs/s, TX Bandwidth 1.08 Mb/s, RX Bandwidth 0.32 Mb/s, RTT (us) mean 40.90, P50 7.95, P95 7.99, P99 8.00, max 35815.42
Host p0128.ten.osc.edu, Rank 59, Rate 5933.96 RPCs/s, TX Bandwidth 1.61 Mb/s, RX Bandwidth 0.47 Mb/s, RTT (us) mean 27.62, P50 8.75, P95 8.81, P99 8.82, max 30113.79
Host p0128.ten.osc.edu, Rank 58, Rate 5091.96 RPCs/s, TX Bandwidth 1.39 Mb/s, RX Bandwidth 0.41 Mb/s, RTT (us) mean 32.26, P50 8.77, P95 8.81, P99 8.81, max 37093.38
Host p0048.ten.osc.edu, Rank 15, Rate 4970.59 RPCs/s, TX Bandwidth 1.35 Mb/s, RX Bandwidth 0.40 Mb/s, RTT (us) mean 31.73, P50 8.46, P95 8.51, P99 8.52, max 35848.19
Host p0072.ten.osc.edu, Rank 26, Rate 8336.94 RPCs/s, TX Bandwidth 2.27 Mb/s, RX Bandwidth 0.67 Mb/s, RTT (us) mean 19.69, P50 8.72, P95 8.81, P99 8.81, max 22151.17
Host p0048.ten.osc.edu, Rank 14, Rate 7961.54 RPCs/s, TX Bandwidth 2.17 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.54, P50 7.55, P95 7.63, P99 7.65, max 21037.06
Host p0072.ten.osc.edu, Rank 28, Rate 7950.62 RPCs/s, TX Bandwidth 2.16 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.53, P50 9.18, P95 9.23, P99 9.23, max 24707.07
Host p0101.ten.osc.edu, Rank 34, Rate 8880.99 RPCs/s, TX Bandwidth 2.42 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 18.62, P50 8.29, P95 8.33, P99 8.34, max 22577.15
Host p0072.ten.osc.edu, Rank 24, Rate 9520.93 RPCs/s, TX Bandwidth 2.59 Mb/s, RX Bandwidth 0.76 Mb/s, RTT (us) mean 17.36, P50 8.41, P95 8.45, P99 8.46, max 30818.30
Host p0128.ten.osc.edu, Rank 56, Rate 4136.98 RPCs/s, TX Bandwidth 1.13 Mb/s, RX Bandwidth 0.33 Mb/s, RTT (us) mean 40.07, P50 8.49, P95 8.52, P99 8.54, max 35913.73
Host p0050.ten.osc.edu, Rank 21, Rate 6956.06 RPCs/s, TX Bandwidth 1.89 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 22.52, P50 7.77, P95 7.89, P99 7.89, max 35717.12
Host p0050.ten.osc.edu, Rank 19, Rate 8939.51 RPCs/s, TX Bandwidth 2.43 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 17.40, P50 7.67, P95 7.73, P99 7.73, max 18890.75
Host p0048.ten.osc.edu, Rank 9, Rate 7997.07 RPCs/s, TX Bandwidth 2.18 Mb/s, RX Bandwidth 0.64 Mb/s, RTT (us) mean 20.83, P50 7.94, P95 8.01, P99 8.02, max 37289.98
Host p0046.ten.osc.edu, Rank 6, Rate 6992.19 RPCs/s, TX Bandwidth 1.90 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 23.84, P50 7.74, P95 7.78, P99 7.78, max 30130.17
Host p0048.ten.osc.edu, Rank 11, Rate 6323.95 RPCs/s, TX Bandwidth 1.72 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 26.16, P50 8.00, P95 8.08, P99 8.09, max 38174.72
Host p0072.ten.osc.edu, Rank 27, Rate 8973.86 RPCs/s, TX Bandwidth 2.44 Mb/s, RX Bandwidth 0.72 Mb/s, RTT (us) mean 18.50, P50 8.73, P95 8.77, P99 8.77, max 22937.60
Host p0072.ten.osc.edu, Rank 30, Rate 6989.03 RPCs/s, TX Bandwidth 1.90 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 24.33, P50 9.05, P95 9.09, P99 9.09, max 19087.36
Host p0112.ten.osc.edu, Rank 55, Rate 8908.51 RPCs/s, TX Bandwidth 2.42 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 18.93, P50 8.92, P95 8.99, P99 8.99, max 21626.88
Host p0110.ten.osc.edu, Rank 44, Rate 8878.22 RPCs/s, TX Bandwidth 2.42 Mb/s, RX Bandwidth 0.71 Mb/s, RTT (us) mean 19.08, P50 8.92, P95 8.97, P99 8.97, max 20447.23
Host p0050.ten.osc.edu, Rank 17, Rate 7008.98 RPCs/s, TX Bandwidth 1.91 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 24.52, P50 7.54, P95 7.58, P99 7.58, max 22609.92
Host p0112.ten.osc.edu, Rank 49, Rate 6605.00 RPCs/s, TX Bandwidth 1.80 Mb/s, RX Bandwidth 0.53 Mb/s, RTT (us) mean 25.87, P50 10.64, P95 10.72, P99 10.72, max 19824.64
Host p0101.ten.osc.edu, Rank 38, Rate 6941.23 RPCs/s, TX Bandwidth 1.89 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 24.86, P50 8.81, P95 8.88, P99 8.89, max 44892.16
Host p0128.ten.osc.edu, Rank 57, Rate 5040.98 RPCs/s, TX Bandwidth 1.37 Mb/s, RX Bandwidth 0.40 Mb/s, RTT (us) mean 35.02, P50 9.89, P95 9.97, P99 9.97, max 20529.15
