mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 79798.95 RPCs/s, TX Bandwidth 21.71 Mb/s, RX Bandwidth 6.38 Mb/s, RTT (us) mean 24.95, P50 16.02, P95 17.58, P99 17.65, max 450.81
Host p0046.ten.osc.edu, Rank 0, Rate 73591.54 RPCs/s, TX Bandwidth 20.02 Mb/s, RX Bandwidth 5.89 Mb/s, RTT (us) mean 27.07, P50 18.30, P95 22.54, P99 23.01, max 390.14
Host p0048.ten.osc.edu, Rank 1, Rate 71251.99 RPCs/s, TX Bandwidth 19.38 Mb/s, RX Bandwidth 5.70 Mb/s, RTT (us) mean 26.36, P50 17.23, P95 19.34, P99 19.58, max 613.38
Host p0046.ten.osc.edu, Rank 0, Rate 69995.88 RPCs/s, TX Bandwidth 19.04 Mb/s, RX Bandwidth 5.60 Mb/s, RTT (us) mean 27.74, P50 21.63, P95 23.52, P99 23.57, max 578.56
Host p0048.ten.osc.edu, Rank 1, Rate 77952.24 RPCs/s, TX Bandwidth 21.20 Mb/s, RX Bandwidth 6.24 Mb/s, RTT (us) mean 26.08, P50 17.57, P95 19.89, P99 19.93, max 613.38
Host p0046.ten.osc.edu, Rank 0, Rate 64159.76 RPCs/s, TX Bandwidth 17.45 Mb/s, RX Bandwidth 5.13 Mb/s, RTT (us) mean 28.76, P50 22.72, P95 23.76, P99 23.79, max 581.12
Host p0048.ten.osc.edu, Rank 1, Rate 80072.39 RPCs/s, TX Bandwidth 21.78 Mb/s, RX Bandwidth 6.41 Mb/s, RTT (us) mean 25.77, P50 16.25, P95 18.09, P99 18.27, max 613.38
Host p0046.ten.osc.edu, Rank 0, Rate 62468.93 RPCs/s, TX Bandwidth 16.99 Mb/s, RX Bandwidth 5.00 Mb/s, RTT (us) mean 29.48, P50 23.28, P95 23.90, P99 23.92, max 625.66
Host p0048.ten.osc.edu, Rank 1, Rate 76271.70 RPCs/s, TX Bandwidth 20.75 Mb/s, RX Bandwidth 6.10 Mb/s, RTT (us) mean 25.83, P50 16.56, P95 18.73, P99 19.14, max 630.27
Host p0046.ten.osc.edu, Rank 0, Rate 67679.48 RPCs/s, TX Bandwidth 18.41 Mb/s, RX Bandwidth 5.41 Mb/s, RTT (us) mean 29.47, P50 23.36, P95 23.97, P99 24.00, max 1330.17
Host p0048.ten.osc.edu, Rank 1, Rate 76266.80 RPCs/s, TX Bandwidth 20.74 Mb/s, RX Bandwidth 6.10 Mb/s, RTT (us) mean 25.88, P50 16.36, P95 18.30, P99 18.45, max 630.27
Host p0046.ten.osc.edu, Rank 0, Rate 70784.76 RPCs/s, TX Bandwidth 19.25 Mb/s, RX Bandwidth 5.66 Mb/s, RTT (us) mean 29.24, P50 22.99, P95 23.98, P99 24.00, max 1330.17
Host p0048.ten.osc.edu, Rank 1, Rate 74609.37 RPCs/s, TX Bandwidth 20.29 Mb/s, RX Bandwidth 5.97 Mb/s, RTT (us) mean 25.99, P50 16.09, P95 17.89, P99 18.02, max 630.27
Host p0046.ten.osc.edu, Rank 0, Rate 71403.73 RPCs/s, TX Bandwidth 19.42 Mb/s, RX Bandwidth 5.71 Mb/s, RTT (us) mean 29.04, P50 21.42, P95 23.95, P99 24.00, max 1330.17
Host p0048.ten.osc.edu, Rank 1, Rate 76232.68 RPCs/s, TX Bandwidth 20.74 Mb/s, RX Bandwidth 6.10 Mb/s, RTT (us) mean 26.00, P50 16.00, P95 17.71, P99 17.81, max 630.27
Host p0046.ten.osc.edu, Rank 0, Rate 67626.52 RPCs/s, TX Bandwidth 18.39 Mb/s, RX Bandwidth 5.41 Mb/s, RTT (us) mean 29.09, P50 20.99, P95 23.97, P99 24.02, max 1330.17
Host p0048.ten.osc.edu, Rank 1, Rate 78047.34 RPCs/s, TX Bandwidth 21.23 Mb/s, RX Bandwidth 6.24 Mb/s, RTT (us) mean 25.95, P50 15.94, P95 17.65, P99 17.71, max 636.41
Host p0046.ten.osc.edu, Rank 0, Rate 71438.92 RPCs/s, TX Bandwidth 19.43 Mb/s, RX Bandwidth 5.72 Mb/s, RTT (us) mean 28.95, P50 20.45, P95 23.97, P99 24.02, max 1330.17
Aggregated RPC Rate 145929.00 RPCs/s, Aggregated TX Bandwidth 39.69 Mb/s RX Bandwidth 11.67 Mb/s
