mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 11, Rate 6744.83 RPCs/s, TX Bandwidth 1.83 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 145.19, P50 47.65, P95 48.96, P99 49.02, max 517996.54
Host p0112.ten.osc.edu, Rank 27, Rate 6133.86 RPCs/s, TX Bandwidth 1.67 Mb/s, RX Bandwidth 0.49 Mb/s, RTT (us) mean 159.57, P50 52.99, P95 55.33, P99 55.62, max 517996.54
Host p0112.ten.osc.edu, Rank 26, Rate 5923.73 RPCs/s, TX Bandwidth 1.61 Mb/s, RX Bandwidth 0.47 Mb/s, RTT (us) mean 165.54, P50 55.74, P95 57.50, P99 57.57, max 515375.10
Host p0050.ten.osc.edu, Rank 10, Rate 6599.72 RPCs/s, TX Bandwidth 1.80 Mb/s, RX Bandwidth 0.53 Mb/s, RTT (us) mean 148.38, P50 44.41, P95 47.30, P99 47.58, max 516685.82
Host p0101.ten.osc.edu, Rank 18, Rate 6129.72 RPCs/s, TX Bandwidth 1.67 Mb/s, RX Bandwidth 0.49 Mb/s, RTT (us) mean 160.06, P50 52.64, P95 55.26, P99 55.36, max 513802.24
Host p0046.ten.osc.edu, Rank 2, Rate 6527.72 RPCs/s, TX Bandwidth 1.78 Mb/s, RX Bandwidth 0.52 Mb/s, RTT (us) mean 149.80, P50 51.77, P95 53.38, P99 53.70, max 513802.24
Host p0046.ten.osc.edu, Rank 3, Rate 5987.60 RPCs/s, TX Bandwidth 1.63 Mb/s, RX Bandwidth 0.48 Mb/s, RTT (us) mean 163.83, P50 51.74, P95 54.24, P99 54.46, max 512491.52
Host p0101.ten.osc.edu, Rank 19, Rate 6364.76 RPCs/s, TX Bandwidth 1.73 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 153.87, P50 46.88, P95 50.56, P99 50.62, max 512491.52
Host p0110.ten.osc.edu, Rank 23, Rate 5867.84 RPCs/s, TX Bandwidth 1.60 Mb/s, RX Bandwidth 0.47 Mb/s, RTT (us) mean 167.07, P50 57.60, P95 58.85, P99 58.88, max 511442.94
Host p0048.ten.osc.edu, Rank 7, Rate 6550.54 RPCs/s, TX Bandwidth 1.78 Mb/s, RX Bandwidth 0.52 Mb/s, RTT (us) mean 149.17, P50 50.08, P95 52.77, P99 53.22, max 511442.94
Host p0048.ten.osc.edu, Rank 5, Rate 6369.75 RPCs/s, TX Bandwidth 1.73 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 153.61, P50 50.53, P95 53.25, P99 53.34, max 510918.66
