mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0128.ten.osc.edu, Rank 28, Rate 6113.84 RPCs/s, TX Bandwidth 1.66 Mb/s, RX Bandwidth 0.49 Mb/s, RTT (us) mean 85.38, P50 49.02, P95 52.22, P99 52.32, max 13393.92
Host p0072.ten.osc.edu, Rank 12, Rate 6364.90 RPCs/s, TX Bandwidth 1.73 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 81.99, P50 35.52, P95 38.69, P99 38.98, max 13377.53
Host p0128.ten.osc.edu, Rank 29, Rate 6216.98 RPCs/s, TX Bandwidth 1.69 Mb/s, RX Bandwidth 0.50 Mb/s, RTT (us) mean 84.86, P50 47.30, P95 52.00, P99 52.26, max 13418.50
Host p0072.ten.osc.edu, Rank 13, Rate 6026.97 RPCs/s, TX Bandwidth 1.64 Mb/s, RX Bandwidth 0.48 Mb/s, RTT (us) mean 87.52, P50 51.52, P95 54.27, P99 54.75, max 12689.41
Host p0050.ten.osc.edu, Rank 11, Rate 6315.97 RPCs/s, TX Bandwidth 1.72 Mb/s, RX Bandwidth 0.51 Mb/s, RTT (us) mean 83.64, P50 45.09, P95 50.66, P99 50.98, max 12296.19
Host p0112.ten.osc.edu, Rank 27, Rate 6473.71 RPCs/s, TX Bandwidth 1.76 Mb/s, RX Bandwidth 0.52 Mb/s, RTT (us) mean 81.52, P50 38.27, P95 42.75, P99 43.07, max 11780.09
Host p0112.ten.osc.edu, Rank 25, Rate 6659.82 RPCs/s, TX Bandwidth 1.81 Mb/s, RX Bandwidth 0.53 Mb/s, RTT (us) mean 79.34, P50 44.80, P95 48.58, P99 48.67, max 11501.57
Host p0050.ten.osc.edu, Rank 9, Rate 6622.70 RPCs/s, TX Bandwidth 1.80 Mb/s, RX Bandwidth 0.53 Mb/s, RTT (us) mean 79.79, P50 35.23, P95 38.81, P99 38.98, max 11812.86
Host p0110.ten.osc.edu, Rank 20, Rate 6767.66 RPCs/s, TX Bandwidth 1.84 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 78.17, P50 42.81, P95 45.41, P99 45.57, max 10977.28
Host p0048.ten.osc.edu, Rank 4, Rate 6691.87 RPCs/s, TX Bandwidth 1.82 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 78.84, P50 45.89, P95 49.12, P99 49.22, max 9879.55
Host p0048.ten.osc.edu, Rank 5, Rate 6727.77 RPCs/s, TX Bandwidth 1.83 Mb/s, RX Bandwidth 0.54 Mb/s, RTT (us) mean 78.45, P50 47.33, P95 50.02, P99 50.08, max 10223.61
