mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 27809.67 RPCs/s, TX Bandwidth 7.56 Mb/s, RX Bandwidth 2.22 Mb/s, RTT (us) mean 69.65, P50 26.54, P95 27.90, P99 27.98, max 3344.38
Host p0048.ten.osc.edu, Rank 1, Rate 30486.00 RPCs/s, TX Bandwidth 8.29 Mb/s, RX Bandwidth 2.44 Mb/s, RTT (us) mean 62.92, P50 28.66, P95 29.10, P99 29.14, max 1253.38
Host p0072.ten.osc.edu, Rank 3, Rate 27400.74 RPCs/s, TX Bandwidth 7.45 Mb/s, RX Bandwidth 2.19 Mb/s, RTT (us) mean 70.12, P50 29.86, P95 31.05, P99 31.15, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 27983.80 RPCs/s, TX Bandwidth 7.61 Mb/s, RX Bandwidth 2.24 Mb/s, RTT (us) mean 68.59, P50 28.86, P95 30.08, P99 30.14, max 3676.16
Host p0048.ten.osc.edu, Rank 1, Rate 31274.60 RPCs/s, TX Bandwidth 8.51 Mb/s, RX Bandwidth 2.50 Mb/s, RTT (us) mean 62.19, P50 27.09, P95 28.40, P99 28.50, max 1253.38
Host p0046.ten.osc.edu, Rank 0, Rate 27602.94 RPCs/s, TX Bandwidth 7.51 Mb/s, RX Bandwidth 2.21 Mb/s, RTT (us) mean 69.61, P50 27.92, P95 29.10, P99 29.17, max 3344.38
Host p0072.ten.osc.edu, Rank 3, Rate 27996.22 RPCs/s, TX Bandwidth 7.61 Mb/s, RX Bandwidth 2.24 Mb/s, RTT (us) mean 69.37, P50 30.13, P95 31.30, P99 31.38, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 28159.62 RPCs/s, TX Bandwidth 7.66 Mb/s, RX Bandwidth 2.25 Mb/s, RTT (us) mean 68.36, P50 28.83, P95 29.97, P99 30.05, max 3676.16
Host p0046.ten.osc.edu, Rank 0, Rate 28588.32 RPCs/s, TX Bandwidth 7.78 Mb/s, RX Bandwidth 2.29 Mb/s, RTT (us) mean 68.73, P50 28.40, P95 29.70, P99 29.77, max 3344.38
Host p0048.ten.osc.edu, Rank 1, Rate 32012.93 RPCs/s, TX Bandwidth 8.71 Mb/s, RX Bandwidth 2.56 Mb/s, RTT (us) mean 61.50, P50 26.59, P95 27.74, P99 27.82, max 1253.38
Host p0072.ten.osc.edu, Rank 3, Rate 29329.10 RPCs/s, TX Bandwidth 7.98 Mb/s, RX Bandwidth 2.35 Mb/s, RTT (us) mean 67.94, P50 30.51, P95 31.57, P99 31.65, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 27413.59 RPCs/s, TX Bandwidth 7.46 Mb/s, RX Bandwidth 2.19 Mb/s, RTT (us) mean 68.95, P50 29.55, P95 30.82, P99 30.93, max 3676.16
Host p0048.ten.osc.edu, Rank 1, Rate 32534.89 RPCs/s, TX Bandwidth 8.85 Mb/s, RX Bandwidth 2.60 Mb/s, RTT (us) mean 60.92, P50 25.93, P95 27.20, P99 27.26, max 1253.38
Host p0072.ten.osc.edu, Rank 3, Rate 31455.17 RPCs/s, TX Bandwidth 8.56 Mb/s, RX Bandwidth 2.52 Mb/s, RTT (us) mean 66.02, P50 29.60, P95 30.59, P99 30.67, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 28285.88 RPCs/s, TX Bandwidth 7.69 Mb/s, RX Bandwidth 2.26 Mb/s, RTT (us) mean 68.64, P50 29.55, P95 30.86, P99 30.98, max 3676.16
Host p0046.ten.osc.edu, Rank 0, Rate 30133.60 RPCs/s, TX Bandwidth 8.20 Mb/s, RX Bandwidth 2.41 Mb/s, RTT (us) mean 67.50, P50 28.06, P95 29.23, P99 29.33, max 3344.38
Host p0048.ten.osc.edu, Rank 1, Rate 31377.51 RPCs/s, TX Bandwidth 8.53 Mb/s, RX Bandwidth 2.51 Mb/s, RTT (us) mean 60.98, P50 26.05, P95 27.30, P99 27.38, max 1253.38
Host p0072.ten.osc.edu, Rank 3, Rate 35339.02 RPCs/s, TX Bandwidth 9.61 Mb/s, RX Bandwidth 2.83 Mb/s, RTT (us) mean 63.33, P50 27.92, P95 29.05, P99 29.14, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 29948.79 RPCs/s, TX Bandwidth 8.15 Mb/s, RX Bandwidth 2.40 Mb/s, RTT (us) mean 67.68, P50 29.30, P95 30.48, P99 30.56, max 3676.16
Host p0046.ten.osc.edu, Rank 0, Rate 29460.91 RPCs/s, TX Bandwidth 8.01 Mb/s, RX Bandwidth 2.36 Mb/s, RTT (us) mean 66.94, P50 28.34, P95 29.55, P99 29.65, max 3344.38
Host p0046.ten.osc.edu, Rank 0, Rate 29215.99 RPCs/s, TX Bandwidth 7.95 Mb/s, RX Bandwidth 2.34 Mb/s, RTT (us) mean 66.71, P50 28.37, P95 29.55, P99 29.65, max 3344.38
Host p0048.ten.osc.edu, Rank 1, Rate 30771.88 RPCs/s, TX Bandwidth 8.37 Mb/s, RX Bandwidth 2.46 Mb/s, RTT (us) mean 61.26, P50 26.18, P95 27.38, P99 27.47, max 1253.38
Host p0072.ten.osc.edu, Rank 3, Rate 34128.13 RPCs/s, TX Bandwidth 9.28 Mb/s, RX Bandwidth 2.73 Mb/s, RTT (us) mean 62.06, P50 27.50, P95 28.61, P99 28.69, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 28866.78 RPCs/s, TX Bandwidth 7.85 Mb/s, RX Bandwidth 2.31 Mb/s, RTT (us) mean 67.50, P50 29.28, P95 30.41, P99 30.50, max 3676.16
Host p0046.ten.osc.edu, Rank 0, Rate 31115.56 RPCs/s, TX Bandwidth 8.46 Mb/s, RX Bandwidth 2.49 Mb/s, RTT (us) mean 65.96, P50 28.40, P95 29.57, P99 29.65, max 3344.38
Host p0048.ten.osc.edu, Rank 1, Rate 31368.86 RPCs/s, TX Bandwidth 8.53 Mb/s, RX Bandwidth 2.51 Mb/s, RTT (us) mean 61.26, P50 26.38, P95 27.55, P99 27.65, max 1306.62
Host p0072.ten.osc.edu, Rank 3, Rate 34739.49 RPCs/s, TX Bandwidth 9.45 Mb/s, RX Bandwidth 2.78 Mb/s, RTT (us) mean 61.01, P50 27.12, P95 28.25, P99 28.34, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 28557.74 RPCs/s, TX Bandwidth 7.77 Mb/s, RX Bandwidth 2.28 Mb/s, RTT (us) mean 67.46, P50 29.34, P95 30.45, P99 30.53, max 3676.16
Host p0048.ten.osc.edu, Rank 1, Rate 34085.42 RPCs/s, TX Bandwidth 9.27 Mb/s, RX Bandwidth 2.73 Mb/s, RTT (us) mean 60.64, P50 25.73, P95 26.96, P99 27.05, max 1306.62
Host p0072.ten.osc.edu, Rank 3, Rate 35654.25 RPCs/s, TX Bandwidth 9.70 Mb/s, RX Bandwidth 2.85 Mb/s, RTT (us) mean 60.02, P50 26.86, P95 28.00, P99 28.06, max 3637.25
Host p0050.ten.osc.edu, Rank 2, Rate 31285.76 RPCs/s, TX Bandwidth 8.51 Mb/s, RX Bandwidth 2.50 Mb/s, RTT (us) mean 66.63, P50 29.12, P95 30.19, P99 30.24, max 3676.16
Host p0046.ten.osc.edu, Rank 0, Rate 32908.84 RPCs/s, TX Bandwidth 8.95 Mb/s, RX Bandwidth 2.63 Mb/s, RTT (us) mean 64.90, P50 28.29, P95 29.36, P99 29.44, max 3344.38
