mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 85071.25 RPCs/s, TX Bandwidth 23.14 Mb/s, RX Bandwidth 6.81 Mb/s, RTT (us) mean 23.41, P50 16.54, P95 17.42, P99 17.49, max 430.08
Host p0050.ten.osc.edu, Rank 2, Rate 85376.57 RPCs/s, TX Bandwidth 23.22 Mb/s, RX Bandwidth 6.83 Mb/s, RTT (us) mean 23.32, P50 17.01, P95 18.08, P99 18.13, max 422.91
Host p0048.ten.osc.edu, Rank 1, Rate 79378.14 RPCs/s, TX Bandwidth 21.59 Mb/s, RX Bandwidth 6.35 Mb/s, RTT (us) mean 25.07, P50 17.30, P95 18.41, P99 18.51, max 1506.30
Host p0072.ten.osc.edu, Rank 3, Rate 77943.99 RPCs/s, TX Bandwidth 21.20 Mb/s, RX Bandwidth 6.24 Mb/s, RTT (us) mean 25.55, P50 16.17, P95 17.36, P99 17.44, max 459.52
Host p0046.ten.osc.edu, Rank 0, Rate 67296.25 RPCs/s, TX Bandwidth 18.30 Mb/s, RX Bandwidth 5.38 Mb/s, RTT (us) mean 26.13, P50 17.14, P95 18.29, P99 18.38, max 600.06
Host p0048.ten.osc.edu, Rank 1, Rate 69575.28 RPCs/s, TX Bandwidth 18.92 Mb/s, RX Bandwidth 5.57 Mb/s, RTT (us) mean 26.74, P50 17.97, P95 19.18, P99 19.26, max 1506.30
Host p0050.ten.osc.edu, Rank 2, Rate 68358.81 RPCs/s, TX Bandwidth 18.59 Mb/s, RX Bandwidth 5.47 Mb/s, RTT (us) mean 25.90, P50 17.68, P95 18.82, P99 18.88, max 944.64
Host p0072.ten.osc.edu, Rank 3, Rate 67160.94 RPCs/s, TX Bandwidth 18.27 Mb/s, RX Bandwidth 5.37 Mb/s, RTT (us) mean 27.45, P50 17.12, P95 18.18, P99 18.24, max 647.17
Host p0046.ten.osc.edu, Rank 0, Rate 67679.99 RPCs/s, TX Bandwidth 18.41 Mb/s, RX Bandwidth 5.41 Mb/s, RTT (us) mean 27.14, P50 17.42, P95 18.77, P99 18.86, max 866.82
Host p0048.ten.osc.edu, Rank 1, Rate 80658.15 RPCs/s, TX Bandwidth 21.94 Mb/s, RX Bandwidth 6.45 Mb/s, RTT (us) mean 26.02, P50 17.42, P95 18.62, P99 18.70, max 1506.30
Host p0050.ten.osc.edu, Rank 2, Rate 76180.66 RPCs/s, TX Bandwidth 20.72 Mb/s, RX Bandwidth 6.09 Mb/s, RTT (us) mean 25.97, P50 17.39, P95 18.54, P99 18.62, max 1198.08
