mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0110.ten.osc.edu, Rank 11, Rate 20904.91 RPCs/s, TX Bandwidth 5.69 Mb/s, RX Bandwidth 1.67 Mb/s, RTT (us) mean 93.28, P50 43.62, P95 45.44, P99 45.50, max 481.28
Host p0046.ten.osc.edu, Rank 1, Rate 24442.08 RPCs/s, TX Bandwidth 6.65 Mb/s, RX Bandwidth 1.96 Mb/s, RTT (us) mean 79.49, P50 40.41, P95 41.18, P99 41.25, max 542.72
Host p0072.ten.osc.edu, Rank 7, Rate 21815.69 RPCs/s, TX Bandwidth 5.93 Mb/s, RX Bandwidth 1.75 Mb/s, RTT (us) mean 89.35, P50 46.27, P95 47.55, P99 47.65, max 3899.39
Host p0112.ten.osc.edu, Rank 12, Rate 20524.48 RPCs/s, TX Bandwidth 5.58 Mb/s, RX Bandwidth 1.64 Mb/s, RTT (us) mean 95.07, P50 46.14, P95 47.55, P99 47.68, max 9805.82
Host p0072.ten.osc.edu, Rank 6, Rate 18894.98 RPCs/s, TX Bandwidth 5.14 Mb/s, RX Bandwidth 1.51 Mb/s, RTT (us) mean 103.65, P50 47.23, P95 49.15, P99 49.22, max 468.22
Host p0048.ten.osc.edu, Rank 3, Rate 19059.50 RPCs/s, TX Bandwidth 5.18 Mb/s, RX Bandwidth 1.52 Mb/s, RTT (us) mean 102.57, P50 47.97, P95 49.41, P99 49.57, max 521.73
Host p0050.ten.osc.edu, Rank 4, Rate 18687.13 RPCs/s, TX Bandwidth 5.08 Mb/s, RX Bandwidth 1.49 Mb/s, RTT (us) mean 104.61, P50 45.70, P95 47.17, P99 47.30, max 608.77
Host p0101.ten.osc.edu, Rank 8, Rate 19288.88 RPCs/s, TX Bandwidth 5.25 Mb/s, RX Bandwidth 1.54 Mb/s, RTT (us) mean 101.34, P50 48.29, P95 49.82, P99 49.92, max 447.49
Host p0048.ten.osc.edu, Rank 2, Rate 20927.86 RPCs/s, TX Bandwidth 5.69 Mb/s, RX Bandwidth 1.67 Mb/s, RTT (us) mean 93.26, P50 47.33, P95 48.64, P99 48.70, max 893.44
Host p0128.ten.osc.edu, Rank 14, Rate 19903.95 RPCs/s, TX Bandwidth 5.41 Mb/s, RX Bandwidth 1.59 Mb/s, RTT (us) mean 98.08, P50 48.06, P95 49.34, P99 49.50, max 499.71
Host p0128.ten.osc.edu, Rank 15, Rate 18424.62 RPCs/s, TX Bandwidth 5.01 Mb/s, RX Bandwidth 1.47 Mb/s, RTT (us) mean 106.13, P50 48.16, P95 50.49, P99 50.66, max 9805.82
