mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0046.ten.osc.edu, Rank 0, Rate 39717.25 RPCs/s, TX Bandwidth 10.80 Mb/s, RX Bandwidth 3.18 Mb/s, RTT (us) mean 50.17, P50 27.50, P95 28.18, P99 28.22, max 515.84
Host p0048.ten.osc.edu, Rank 1, Rate 43188.50 RPCs/s, TX Bandwidth 11.75 Mb/s, RX Bandwidth 3.46 Mb/s, RTT (us) mean 46.13, P50 28.00, P95 28.46, P99 28.51, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 43510.65 RPCs/s, TX Bandwidth 11.83 Mb/s, RX Bandwidth 3.48 Mb/s, RTT (us) mean 47.88, P50 27.65, P95 28.35, P99 28.40, max 5873.66
Host p0048.ten.osc.edu, Rank 1, Rate 38560.14 RPCs/s, TX Bandwidth 10.49 Mb/s, RX Bandwidth 3.08 Mb/s, RTT (us) mean 48.75, P50 28.32, P95 28.89, P99 28.96, max 6025.22
Host p0048.ten.osc.edu, Rank 1, Rate 40770.90 RPCs/s, TX Bandwidth 11.09 Mb/s, RX Bandwidth 3.26 Mb/s, RTT (us) mean 48.80, P50 28.21, P95 28.91, P99 28.98, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 43114.23 RPCs/s, TX Bandwidth 11.73 Mb/s, RX Bandwidth 3.45 Mb/s, RTT (us) mean 47.31, P50 27.31, P95 27.98, P99 28.05, max 5873.66
Host p0048.ten.osc.edu, Rank 1, Rate 38941.84 RPCs/s, TX Bandwidth 10.59 Mb/s, RX Bandwidth 3.12 Mb/s, RTT (us) mean 49.38, P50 28.37, P95 29.01, P99 29.05, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 42591.16 RPCs/s, TX Bandwidth 11.58 Mb/s, RX Bandwidth 3.41 Mb/s, RTT (us) mean 47.17, P50 27.33, P95 28.00, P99 28.05, max 5873.66
Host p0046.ten.osc.edu, Rank 0, Rate 42203.98 RPCs/s, TX Bandwidth 11.48 Mb/s, RX Bandwidth 3.38 Mb/s, RTT (us) mean 47.18, P50 27.44, P95 28.09, P99 28.14, max 5873.66
Host p0048.ten.osc.edu, Rank 1, Rate 44862.60 RPCs/s, TX Bandwidth 12.20 Mb/s, RX Bandwidth 3.59 Mb/s, RTT (us) mean 48.30, P50 27.14, P95 27.95, P99 28.02, max 6025.22
Host p0048.ten.osc.edu, Rank 1, Rate 44205.82 RPCs/s, TX Bandwidth 12.02 Mb/s, RX Bandwidth 3.54 Mb/s, RTT (us) mean 47.74, P50 27.30, P95 28.03, P99 28.09, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 41909.96 RPCs/s, TX Bandwidth 11.40 Mb/s, RX Bandwidth 3.35 Mb/s, RTT (us) mean 47.24, P50 27.41, P95 28.03, P99 28.08, max 5873.66
Host p0046.ten.osc.edu, Rank 0, Rate 42073.71 RPCs/s, TX Bandwidth 11.44 Mb/s, RX Bandwidth 3.37 Mb/s, RTT (us) mean 47.26, P50 27.38, P95 27.97, P99 28.02, max 5873.66
Host p0048.ten.osc.edu, Rank 1, Rate 44591.71 RPCs/s, TX Bandwidth 12.13 Mb/s, RX Bandwidth 3.57 Mb/s, RTT (us) mean 47.28, P50 27.34, P95 28.05, P99 28.09, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 39623.82 RPCs/s, TX Bandwidth 10.78 Mb/s, RX Bandwidth 3.17 Mb/s, RTT (us) mean 47.62, P50 27.42, P95 28.02, P99 28.06, max 5873.66
Host p0048.ten.osc.edu, Rank 1, Rate 44415.40 RPCs/s, TX Bandwidth 12.08 Mb/s, RX Bandwidth 3.55 Mb/s, RTT (us) mean 46.96, P50 27.42, P95 28.11, P99 28.16, max 6025.22
Host p0048.ten.osc.edu, Rank 1, Rate 45219.44 RPCs/s, TX Bandwidth 12.30 Mb/s, RX Bandwidth 3.62 Mb/s, RTT (us) mean 46.62, P50 27.30, P95 28.00, P99 28.05, max 6025.22
Host p0046.ten.osc.edu, Rank 0, Rate 42962.87 RPCs/s, TX Bandwidth 11.69 Mb/s, RX Bandwidth 3.44 Mb/s, RTT (us) mean 47.48, P50 27.41, P95 28.00, P99 28.05, max 5873.66
Aggregated RPC Rate 84422.80 RPCs/s, Aggregated TX Bandwidth 22.96 Mb/s RX Bandwidth 6.75 Mb/s
