mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0110.ten.osc.edu, Rank 21, Rate 17664.11 RPCs/s, TX Bandwidth 4.80 Mb/s, RX Bandwidth 1.41 Mb/s, RTT (us) mean 110.98, P50 44.41, P95 46.69, P99 46.81, max 2291.71
Host p0048.ten.osc.edu, Rank 6, Rate 15880.79 RPCs/s, TX Bandwidth 4.32 Mb/s, RX Bandwidth 1.27 Mb/s, RTT (us) mean 123.72, P50 45.95, P95 47.84, P99 47.94, max 2363.39
Host p0050.ten.osc.edu, Rank 9, Rate 17468.65 RPCs/s, TX Bandwidth 4.75 Mb/s, RX Bandwidth 1.40 Mb/s, RTT (us) mean 112.24, P50 44.48, P95 46.02, P99 46.11, max 3209.22
Host p0128.ten.osc.edu, Rank 29, Rate 17184.81 RPCs/s, TX Bandwidth 4.67 Mb/s, RX Bandwidth 1.37 Mb/s, RTT (us) mean 113.99, P50 44.99, P95 47.26, P99 47.36, max 3966.97
Host p0072.ten.osc.edu, Rank 15, Rate 16680.71 RPCs/s, TX Bandwidth 4.54 Mb/s, RX Bandwidth 1.33 Mb/s, RTT (us) mean 117.58, P50 45.34, P95 47.13, P99 47.30, max 1964.03
Host p0101.ten.osc.edu, Rank 16, Rate 16316.50 RPCs/s, TX Bandwidth 4.44 Mb/s, RX Bandwidth 1.31 Mb/s, RTT (us) mean 120.22, P50 45.25, P95 47.39, P99 47.58, max 3037.18
Host p0110.ten.osc.edu, Rank 20, Rate 17352.12 RPCs/s, TX Bandwidth 4.72 Mb/s, RX Bandwidth 1.39 Mb/s, RTT (us) mean 113.00, P50 46.14, P95 47.90, P99 48.06, max 1669.12
Host p0112.ten.osc.edu, Rank 25, Rate 16971.07 RPCs/s, TX Bandwidth 4.62 Mb/s, RX Bandwidth 1.36 Mb/s, RTT (us) mean 115.50, P50 46.69, P95 48.51, P99 48.64, max 1410.05
Host p0050.ten.osc.edu, Rank 10, Rate 16442.71 RPCs/s, TX Bandwidth 4.47 Mb/s, RX Bandwidth 1.32 Mb/s, RTT (us) mean 119.14, P50 46.43, P95 48.29, P99 48.41, max 1898.49
Host p0048.ten.osc.edu, Rank 4, Rate 18629.64 RPCs/s, TX Bandwidth 5.07 Mb/s, RX Bandwidth 1.49 Mb/s, RTT (us) mean 105.09, P50 44.32, P95 45.95, P99 46.02, max 2625.53
Host p0128.ten.osc.edu, Rank 28, Rate 16418.88 RPCs/s, TX Bandwidth 4.47 Mb/s, RX Bandwidth 1.31 Mb/s, RTT (us) mean 119.38, P50 46.37, P95 48.35, P99 48.58, max 3139.58
Host p0050.ten.osc.edu, Rank 8, Rate 17937.64 RPCs/s, TX Bandwidth 4.88 Mb/s, RX Bandwidth 1.44 Mb/s, RTT (us) mean 109.25, P50 45.92, P95 47.84, P99 47.87, max 2344.96
Host p0048.ten.osc.edu, Rank 7, Rate 18157.83 RPCs/s, TX Bandwidth 4.94 Mb/s, RX Bandwidth 1.45 Mb/s, RTT (us) mean 107.81, P50 44.06, P95 45.85, P99 46.02, max 1434.62
Host p0046.ten.osc.edu, Rank 0, Rate 16492.49 RPCs/s, TX Bandwidth 4.49 Mb/s, RX Bandwidth 1.32 Mb/s, RTT (us) mean 118.95, P50 46.81, P95 49.47, P99 49.53, max 4005.89
Host p0101.ten.osc.edu, Rank 18, Rate 15889.74 RPCs/s, TX Bandwidth 4.32 Mb/s, RX Bandwidth 1.27 Mb/s, RTT (us) mean 123.69, P50 47.87, P95 49.95, P99 50.11, max 3129.34
Host p0072.ten.osc.edu, Rank 12, Rate 16312.40 RPCs/s, TX Bandwidth 4.44 Mb/s, RX Bandwidth 1.30 Mb/s, RTT (us) mean 120.43, P50 46.30, P95 48.22, P99 48.38, max 4182.02
Host p0046.ten.osc.edu, Rank 3, Rate 16816.43 RPCs/s, TX Bandwidth 4.57 Mb/s, RX Bandwidth 1.35 Mb/s, RTT (us) mean 116.62, P50 46.24, P95 48.38, P99 48.61, max 9240.58
Host p0072.ten.osc.edu, Rank 14, Rate 14821.79 RPCs/s, TX Bandwidth 4.03 Mb/s, RX Bandwidth 1.19 Mb/s, RTT (us) mean 132.65, P50 48.19, P95 50.34, P99 50.49, max 3057.66
Host p0112.ten.osc.edu, Rank 26, Rate 16110.56 RPCs/s, TX Bandwidth 4.38 Mb/s, RX Bandwidth 1.29 Mb/s, RTT (us) mean 121.94, P50 46.62, P95 48.51, P99 48.58, max 2107.39
Host p0110.ten.osc.edu, Rank 22, Rate 15600.29 RPCs/s, TX Bandwidth 4.24 Mb/s, RX Bandwidth 1.25 Mb/s, RTT (us) mean 125.83, P50 46.34, P95 48.73, P99 48.93, max 2586.62
Host p0112.ten.osc.edu, Rank 27, Rate 16337.84 RPCs/s, TX Bandwidth 4.44 Mb/s, RX Bandwidth 1.31 Mb/s, RTT (us) mean 120.13, P50 47.87, P95 49.79, P99 50.02, max 3870.72
