mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0050.ten.osc.edu, Rank 2, Rate 23862.54 RPCs/s, TX Bandwidth 6.49 Mb/s, RX Bandwidth 1.91 Mb/s, RTT (us) mean 81.36, P50 39.13, P95 39.84, P99 39.90, max 451.07
Host p0048.ten.osc.edu, Rank 1, Rate 26420.46 RPCs/s, TX Bandwidth 7.19 Mb/s, RX Bandwidth 2.11 Mb/s, RTT (us) mean 73.16, P50 38.75, P95 39.26, P99 39.30, max 441.60
Host p0046.ten.osc.edu, Rank 0, Rate 25284.47 RPCs/s, TX Bandwidth 6.88 Mb/s, RX Bandwidth 2.02 Mb/s, RTT (us) mean 76.82, P50 39.55, P95 40.06, P99 40.09, max 403.97
Host p0072.ten.osc.edu, Rank 3, Rate 23668.64 RPCs/s, TX Bandwidth 6.44 Mb/s, RX Bandwidth 1.89 Mb/s, RTT (us) mean 81.73, P50 40.58, P95 41.41, P99 41.47, max 426.75
Host p0050.ten.osc.edu, Rank 2, Rate 26043.78 RPCs/s, TX Bandwidth 7.08 Mb/s, RX Bandwidth 2.08 Mb/s, RTT (us) mean 77.50, P50 39.52, P95 40.38, P99 40.41, max 1516.54
Host p0048.ten.osc.edu, Rank 1, Rate 27272.54 RPCs/s, TX Bandwidth 7.42 Mb/s, RX Bandwidth 2.18 Mb/s, RTT (us) mean 71.60, P50 39.23, P95 39.81, P99 39.84, max 1435.65
Host p0046.ten.osc.edu, Rank 0, Rate 25199.92 RPCs/s, TX Bandwidth 6.85 Mb/s, RX Bandwidth 2.02 Mb/s, RTT (us) mean 76.72, P50 39.10, P95 40.00, P99 40.06, max 677.38
Host p0072.ten.osc.edu, Rank 3, Rate 24788.94 RPCs/s, TX Bandwidth 6.74 Mb/s, RX Bandwidth 1.98 Mb/s, RTT (us) mean 80.00, P50 40.16, P95 40.90, P99 40.96, max 1011.20
Host p0050.ten.osc.edu, Rank 2, Rate 24403.53 RPCs/s, TX Bandwidth 6.64 Mb/s, RX Bandwidth 1.95 Mb/s, RTT (us) mean 78.22, P50 39.33, P95 40.16, P99 40.22, max 1516.54
Host p0048.ten.osc.edu, Rank 1, Rate 27622.86 RPCs/s, TX Bandwidth 7.51 Mb/s, RX Bandwidth 2.21 Mb/s, RTT (us) mean 71.21, P50 38.14, P95 39.26, P99 39.33, max 1435.65
Host p0046.ten.osc.edu, Rank 0, Rate 25812.76 RPCs/s, TX Bandwidth 7.02 Mb/s, RX Bandwidth 2.07 Mb/s, RTT (us) mean 76.13, P50 39.13, P95 40.09, P99 40.16, max 999.93
Host p0072.ten.osc.edu, Rank 3, Rate 22027.86 RPCs/s, TX Bandwidth 5.99 Mb/s, RX Bandwidth 1.76 Mb/s, RTT (us) mean 82.61, P50 40.35, P95 41.15, P99 41.22, max 1011.20
