mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=false       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0048.ten.osc.edu, Rank 1, Rate 22482.03 RPCs/s, TX Bandwidth 6.12 Mb/s, RX Bandwidth 1.80 Mb/s, RTT (us) mean 86.33, P50 39.45, P95 40.67, P99 40.77, max 423.94
Host p0046.ten.osc.edu, Rank 0, Rate 19422.51 RPCs/s, TX Bandwidth 5.28 Mb/s, RX Bandwidth 1.55 Mb/s, RTT (us) mean 99.87, P50 45.66, P95 47.30, P99 47.39, max 406.01
Host p0050.ten.osc.edu, Rank 2, Rate 24338.98 RPCs/s, TX Bandwidth 6.62 Mb/s, RX Bandwidth 1.95 Mb/s, RTT (us) mean 79.82, P50 43.87, P95 44.77, P99 44.86, max 404.48
Host p0072.ten.osc.edu, Rank 3, Rate 22077.39 RPCs/s, TX Bandwidth 6.01 Mb/s, RX Bandwidth 1.77 Mb/s, RTT (us) mean 87.99, P50 44.16, P95 45.53, P99 45.70, max 482.30
Host p0048.ten.osc.edu, Rank 1, Rate 21386.18 RPCs/s, TX Bandwidth 5.82 Mb/s, RX Bandwidth 1.71 Mb/s, RTT (us) mean 88.35, P50 40.32, P95 41.95, P99 42.11, max 1507.33
Host p0046.ten.osc.edu, Rank 0, Rate 19849.52 RPCs/s, TX Bandwidth 5.40 Mb/s, RX Bandwidth 1.59 Mb/s, RTT (us) mean 98.90, P50 45.18, P95 46.69, P99 46.81, max 770.05
Host p0050.ten.osc.edu, Rank 2, Rate 24026.84 RPCs/s, TX Bandwidth 6.54 Mb/s, RX Bandwidth 1.92 Mb/s, RTT (us) mean 80.45, P50 43.55, P95 44.51, P99 44.58, max 889.86
Host p0072.ten.osc.edu, Rank 3, Rate 21408.11 RPCs/s, TX Bandwidth 5.82 Mb/s, RX Bandwidth 1.71 Mb/s, RTT (us) mean 89.05, P50 44.96, P95 46.46, P99 46.56, max 1019.90
Host p0048.ten.osc.edu, Rank 1, Rate 21906.83 RPCs/s, TX Bandwidth 5.96 Mb/s, RX Bandwidth 1.75 Mb/s, RTT (us) mean 88.52, P50 40.06, P95 41.57, P99 41.66, max 1507.33
Host p0046.ten.osc.edu, Rank 0, Rate 19175.85 RPCs/s, TX Bandwidth 5.22 Mb/s, RX Bandwidth 1.53 Mb/s, RTT (us) mean 99.76, P50 44.29, P95 46.08, P99 46.24, max 3325.95
Host p0050.ten.osc.edu, Rank 2, Rate 23794.75 RPCs/s, TX Bandwidth 6.47 Mb/s, RX Bandwidth 1.90 Mb/s, RTT (us) mean 80.87, P50 43.36, P95 44.22, P99 44.29, max 3334.14
