mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.44:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Duration 10 secs, Report Interval 1 secs
Host p0112.ten.osc.edu, Rank 6, Rate 44441.53 RPCs/s, TX Bandwidth 12.09 Mb/s, RX Bandwidth 3.56 Mb/s, RTT (us) mean 44.83, P50 29.49, P95 30.08, P99 30.11, max 396.80
Host p0072.ten.osc.edu, Rank 3, Rate 38291.33 RPCs/s, TX Bandwidth 10.42 Mb/s, RX Bandwidth 3.06 Mb/s, RTT (us) mean 52.03, P50 29.44, P95 29.98, P99 30.02, max 872.96
Host p0110.ten.osc.edu, Rank 5, Rate 37896.24 RPCs/s, TX Bandwidth 10.31 Mb/s, RX Bandwidth 3.03 Mb/s, RTT (us) mean 52.60, P50 30.09, P95 30.82, P99 30.86, max 466.18
Host p0046.ten.osc.edu, Rank 0, Rate 35262.66 RPCs/s, TX Bandwidth 9.59 Mb/s, RX Bandwidth 2.82 Mb/s, RTT (us) mean 56.52, P50 29.17, P95 29.76, P99 29.82, max 381.69
Host p0050.ten.osc.edu, Rank 2, Rate 37355.55 RPCs/s, TX Bandwidth 10.16 Mb/s, RX Bandwidth 2.99 Mb/s, RTT (us) mean 53.35, P50 32.30, P95 33.28, P99 33.38, max 399.62
Host p0128.ten.osc.edu, Rank 7, Rate 38016.43 RPCs/s, TX Bandwidth 10.34 Mb/s, RX Bandwidth 3.04 Mb/s, RTT (us) mean 52.43, P50 33.18, P95 33.76, P99 33.79, max 442.11
Host p0101.ten.osc.edu, Rank 4, Rate 36619.83 RPCs/s, TX Bandwidth 9.96 Mb/s, RX Bandwidth 2.93 Mb/s, RTT (us) mean 54.45, P50 33.34, P95 34.02, P99 34.05, max 389.12
Host p0048.ten.osc.edu, Rank 1, Rate 37161.72 RPCs/s, TX Bandwidth 10.11 Mb/s, RX Bandwidth 2.97 Mb/s, RTT (us) mean 53.63, P50 32.62, P95 33.44, P99 33.50, max 413.44
Host p0112.ten.osc.edu, Rank 6, Rate 39614.22 RPCs/s, TX Bandwidth 10.78 Mb/s, RX Bandwidth 3.17 Mb/s, RTT (us) mean 47.41, P50 30.00, P95 30.59, P99 30.61, max 627.71
Host p0072.ten.osc.edu, Rank 3, Rate 37190.38 RPCs/s, TX Bandwidth 10.12 Mb/s, RX Bandwidth 2.98 Mb/s, RTT (us) mean 52.79, P50 29.93, P95 30.70, P99 30.78, max 872.96
Host p0110.ten.osc.edu, Rank 5, Rate 34719.55 RPCs/s, TX Bandwidth 9.44 Mb/s, RX Bandwidth 2.78 Mb/s, RTT (us) mean 54.91, P50 30.70, P95 31.33, P99 31.38, max 873.98
Host p0046.ten.osc.edu, Rank 0, Rate 37057.66 RPCs/s, TX Bandwidth 10.08 Mb/s, RX Bandwidth 2.96 Mb/s, RTT (us) mean 55.11, P50 28.14, P95 29.04, P99 29.12, max 772.10
