mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.29:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:216199] Warning: could not find environment variable "GRPC_RDMA_RING_BUFFER_SIZE_KB"
[pitzer-login02.hpc.osc.edu:216199] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:216199] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0030.ten.osc.edu, Rank 1, Rate 193472.00 RPCs/s, TX Bandwidth 52.62 Mb/s, RX Bandwidth 15.48 Mb/s, RTT (us) mean 10.26, P50 7.20, P95 7.24, P99 7.24, max 1415.17
Host p0044.ten.osc.edu, Rank 3, Rate 153130.49 RPCs/s, TX Bandwidth 41.65 Mb/s, RX Bandwidth 12.25 Mb/s, RTT (us) mean 12.97, P50 8.36, P95 8.41, P99 8.42, max 1230.85
Host p0043.ten.osc.edu, Rank 2, Rate 174798.96 RPCs/s, TX Bandwidth 47.55 Mb/s, RX Bandwidth 13.98 Mb/s, RTT (us) mean 11.37, P50 8.28, P95 8.35, P99 8.36, max 1368.06
Host p0029.ten.osc.edu, Rank 0, Rate 211472.63 RPCs/s, TX Bandwidth 57.52 Mb/s, RX Bandwidth 16.92 Mb/s, RTT (us) mean 9.38, P50 6.96, P95 6.98, P99 6.98, max 1332.22
Host p0030.ten.osc.edu, Rank 1, Rate 233886.45 RPCs/s, TX Bandwidth 63.62 Mb/s, RX Bandwidth 18.71 Mb/s, RTT (us) mean 9.29, P50 7.19, P95 7.23, P99 7.23, max 1415.17
Host p0044.ten.osc.edu, Rank 3, Rate 185289.97 RPCs/s, TX Bandwidth 50.40 Mb/s, RX Bandwidth 14.82 Mb/s, RTT (us) mean 11.74, P50 8.43, P95 8.52, P99 8.53, max 1230.85
Host p0043.ten.osc.edu, Rank 2, Rate 189900.65 RPCs/s, TX Bandwidth 51.65 Mb/s, RX Bandwidth 15.19 Mb/s, RTT (us) mean 10.90, P50 8.33, P95 8.41, P99 8.42, max 1368.06
Host p0029.ten.osc.edu, Rank 0, Rate 245617.53 RPCs/s, TX Bandwidth 66.81 Mb/s, RX Bandwidth 19.65 Mb/s, RTT (us) mean 8.68, P50 6.96, P95 6.99, P99 6.99, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 233321.81 RPCs/s, TX Bandwidth 63.46 Mb/s, RX Bandwidth 18.67 Mb/s, RTT (us) mean 9.02, P50 7.20, P95 7.24, P99 7.24, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 183281.38 RPCs/s, TX Bandwidth 49.85 Mb/s, RX Bandwidth 14.66 Mb/s, RTT (us) mean 11.42, P50 8.49, P95 8.60, P99 8.61, max 1425.41
Host p0043.ten.osc.edu, Rank 2, Rate 195336.76 RPCs/s, TX Bandwidth 53.13 Mb/s, RX Bandwidth 15.63 Mb/s, RTT (us) mean 10.65, P50 8.33, P95 8.41, P99 8.41, max 1368.06
Host p0029.ten.osc.edu, Rank 0, Rate 239313.32 RPCs/s, TX Bandwidth 65.09 Mb/s, RX Bandwidth 19.15 Mb/s, RTT (us) mean 8.55, P50 6.97, P95 7.00, P99 7.00, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 230426.72 RPCs/s, TX Bandwidth 62.68 Mb/s, RX Bandwidth 18.43 Mb/s, RTT (us) mean 8.91, P50 7.20, P95 7.25, P99 7.25, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 185818.47 RPCs/s, TX Bandwidth 50.54 Mb/s, RX Bandwidth 14.87 Mb/s, RTT (us) mean 11.23, P50 8.54, P95 8.67, P99 8.69, max 1425.41
Host p0043.ten.osc.edu, Rank 2, Rate 189872.70 RPCs/s, TX Bandwidth 51.65 Mb/s, RX Bandwidth 15.19 Mb/s, RTT (us) mean 10.60, P50 8.34, P95 8.43, P99 8.44, max 1368.06
Host p0029.ten.osc.edu, Rank 0, Rate 249869.34 RPCs/s, TX Bandwidth 67.96 Mb/s, RX Bandwidth 19.99 Mb/s, RTT (us) mean 8.39, P50 6.97, P95 7.00, P99 7.00, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 233283.43 RPCs/s, TX Bandwidth 63.45 Mb/s, RX Bandwidth 18.66 Mb/s, RTT (us) mean 8.83, P50 7.20, P95 7.25, P99 7.25, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 186808.50 RPCs/s, TX Bandwidth 50.81 Mb/s, RX Bandwidth 14.94 Mb/s, RTT (us) mean 11.11, P50 8.57, P95 8.75, P99 8.77, max 1425.41
Host p0043.ten.osc.edu, Rank 2, Rate 191368.85 RPCs/s, TX Bandwidth 52.05 Mb/s, RX Bandwidth 15.31 Mb/s, RTT (us) mean 10.56, P50 8.36, P95 8.45, P99 8.46, max 1390.59
Host p0029.ten.osc.edu, Rank 0, Rate 251796.82 RPCs/s, TX Bandwidth 68.49 Mb/s, RX Bandwidth 20.14 Mb/s, RTT (us) mean 8.28, P50 6.96, P95 6.98, P99 6.99, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 233915.71 RPCs/s, TX Bandwidth 63.63 Mb/s, RX Bandwidth 18.71 Mb/s, RTT (us) mean 8.77, P50 7.20, P95 7.24, P99 7.24, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 185686.24 RPCs/s, TX Bandwidth 50.51 Mb/s, RX Bandwidth 14.85 Mb/s, RTT (us) mean 11.04, P50 8.62, P95 8.82, P99 8.83, max 1442.82
Host p0043.ten.osc.edu, Rank 2, Rate 190852.45 RPCs/s, TX Bandwidth 51.91 Mb/s, RX Bandwidth 15.27 Mb/s, RTT (us) mean 10.53, P50 8.36, P95 8.46, P99 8.46, max 1390.59
Host p0029.ten.osc.edu, Rank 0, Rate 252470.52 RPCs/s, TX Bandwidth 68.67 Mb/s, RX Bandwidth 20.20 Mb/s, RTT (us) mean 8.21, P50 6.95, P95 6.98, P99 6.98, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 232807.68 RPCs/s, TX Bandwidth 63.32 Mb/s, RX Bandwidth 18.62 Mb/s, RTT (us) mean 8.73, P50 7.19, P95 7.24, P99 7.24, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 186632.53 RPCs/s, TX Bandwidth 50.76 Mb/s, RX Bandwidth 14.93 Mb/s, RTT (us) mean 10.98, P50 8.65, P95 8.87, P99 8.89, max 1442.82
Host p0043.ten.osc.edu, Rank 2, Rate 190385.16 RPCs/s, TX Bandwidth 51.78 Mb/s, RX Bandwidth 15.23 Mb/s, RTT (us) mean 10.52, P50 8.38, P95 8.46, P99 8.47, max 1390.59
Host p0029.ten.osc.edu, Rank 0, Rate 252869.97 RPCs/s, TX Bandwidth 68.78 Mb/s, RX Bandwidth 20.23 Mb/s, RTT (us) mean 8.15, P50 6.95, P95 6.97, P99 6.97, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 231058.00 RPCs/s, TX Bandwidth 62.85 Mb/s, RX Bandwidth 18.48 Mb/s, RTT (us) mean 8.72, P50 7.19, P95 7.24, P99 7.24, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 187111.64 RPCs/s, TX Bandwidth 50.89 Mb/s, RX Bandwidth 14.97 Mb/s, RTT (us) mean 10.93, P50 8.70, P95 8.92, P99 8.93, max 1442.82
Host p0043.ten.osc.edu, Rank 2, Rate 190602.47 RPCs/s, TX Bandwidth 51.84 Mb/s, RX Bandwidth 15.25 Mb/s, RTT (us) mean 10.51, P50 8.38, P95 8.48, P99 8.49, max 1390.59
Host p0029.ten.osc.edu, Rank 0, Rate 252659.94 RPCs/s, TX Bandwidth 68.72 Mb/s, RX Bandwidth 20.21 Mb/s, RTT (us) mean 8.11, P50 6.95, P95 6.97, P99 6.97, max 1486.85
Host p0030.ten.osc.edu, Rank 1, Rate 226357.94 RPCs/s, TX Bandwidth 61.57 Mb/s, RX Bandwidth 18.11 Mb/s, RTT (us) mean 8.72, P50 7.20, P95 7.24, P99 7.25, max 1527.81
Host p0044.ten.osc.edu, Rank 3, Rate 186522.42 RPCs/s, TX Bandwidth 50.73 Mb/s, RX Bandwidth 14.92 Mb/s, RTT (us) mean 10.90, P50 8.73, P95 8.95, P99 8.96, max 1442.82
Host p0043.ten.osc.edu, Rank 2, Rate 189347.98 RPCs/s, TX Bandwidth 51.50 Mb/s, RX Bandwidth 15.15 Mb/s, RTT (us) mean 10.51, P50 8.40, P95 8.49, P99 8.49, max 1390.59
Host p0029.ten.osc.edu, Rank 0, Rate 253148.98 RPCs/s, TX Bandwidth 68.86 Mb/s, RX Bandwidth 20.25 Mb/s, RTT (us) mean 8.08, P50 6.94, P95 6.97, P99 6.97, max 1486.85
Aggregated RPC Rate 846073.00 RPCs/s, Aggregated TX Bandwidth 230.13 Mb/s RX Bandwidth 67.69 Mb/s
RTT (us) mean 9.39, P50 7.00, P95 7.03, P99 7.03, max 1527.81
