mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.29:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:216564] Warning: could not find environment variable "GRPC_RDMA_RING_BUFFER_SIZE_KB"
[pitzer-login02.hpc.osc.edu:216564] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:216564] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0029.ten.osc.edu, Rank 0, Rate 181221.45 RPCs/s, TX Bandwidth 49.29 Mb/s, RX Bandwidth 14.50 Mb/s, RTT (us) mean 10.95, P50 7.76, P95 7.81, P99 7.81, max 1612.80
Host p0045.ten.osc.edu, Rank 4, Rate 167194.96 RPCs/s, TX Bandwidth 45.48 Mb/s, RX Bandwidth 13.38 Mb/s, RTT (us) mean 11.88, P50 8.73, P95 8.79, P99 8.79, max 2059.26
Host p0048.ten.osc.edu, Rank 7, Rate 166271.73 RPCs/s, TX Bandwidth 45.23 Mb/s, RX Bandwidth 13.30 Mb/s, RTT (us) mean 11.95, P50 8.84, P95 8.89, P99 8.89, max 1796.10
Host p0044.ten.osc.edu, Rank 3, Rate 174073.70 RPCs/s, TX Bandwidth 47.35 Mb/s, RX Bandwidth 13.93 Mb/s, RTT (us) mean 11.41, P50 8.49, P95 8.55, P99 8.55, max 1829.89
Host p0030.ten.osc.edu, Rank 1, Rate 152877.89 RPCs/s, TX Bandwidth 41.58 Mb/s, RX Bandwidth 12.23 Mb/s, RTT (us) mean 12.99, P50 8.28, P95 8.42, P99 8.43, max 2816.00
Host p0046.ten.osc.edu, Rank 5, Rate 169025.74 RPCs/s, TX Bandwidth 45.98 Mb/s, RX Bandwidth 13.52 Mb/s, RTT (us) mean 11.73, P50 8.37, P95 8.46, P99 8.47, max 1757.18
Host p0047.ten.osc.edu, Rank 6, Rate 160381.50 RPCs/s, TX Bandwidth 43.62 Mb/s, RX Bandwidth 12.83 Mb/s, RTT (us) mean 12.38, P50 9.34, P95 9.46, P99 9.47, max 2053.12
Host p0043.ten.osc.edu, Rank 2, Rate 177385.99 RPCs/s, TX Bandwidth 48.25 Mb/s, RX Bandwidth 14.19 Mb/s, RTT (us) mean 11.19, P50 8.56, P95 8.61, P99 8.62, max 1988.61
Host p0029.ten.osc.edu, Rank 0, Rate 207181.58 RPCs/s, TX Bandwidth 56.35 Mb/s, RX Bandwidth 16.57 Mb/s, RTT (us) mean 10.22, P50 7.81, P95 7.87, P99 7.87, max 1612.80
Host p0045.ten.osc.edu, Rank 4, Rate 198788.62 RPCs/s, TX Bandwidth 54.07 Mb/s, RX Bandwidth 15.90 Mb/s, RTT (us) mean 10.86, P50 8.78, P95 8.84, P99 8.84, max 2059.26
Host p0048.ten.osc.edu, Rank 7, Rate 188084.30 RPCs/s, TX Bandwidth 51.16 Mb/s, RX Bandwidth 15.05 Mb/s, RTT (us) mean 11.22, P50 8.86, P95 8.91, P99 8.92, max 1796.10
Host p0044.ten.osc.edu, Rank 3, Rate 184483.79 RPCs/s, TX Bandwidth 50.18 Mb/s, RX Bandwidth 14.76 Mb/s, RTT (us) mean 11.08, P50 8.29, P95 8.39, P99 8.40, max 1829.89
Host p0030.ten.osc.edu, Rank 1, Rate 209462.22 RPCs/s, TX Bandwidth 56.97 Mb/s, RX Bandwidth 16.76 Mb/s, RTT (us) mean 10.95, P50 7.60, P95 7.67, P99 7.67, max 2816.00
Host p0046.ten.osc.edu, Rank 5, Rate 212282.72 RPCs/s, TX Bandwidth 57.74 Mb/s, RX Bandwidth 16.98 Mb/s, RTT (us) mean 10.40, P50 8.28, P95 8.32, P99 8.32, max 1757.18
Host p0047.ten.osc.edu, Rank 6, Rate 185758.68 RPCs/s, TX Bandwidth 50.53 Mb/s, RX Bandwidth 14.86 Mb/s, RTT (us) mean 11.47, P50 9.34, P95 9.46, P99 9.46, max 2053.12
Host p0043.ten.osc.edu, Rank 2, Rate 196123.60 RPCs/s, TX Bandwidth 53.35 Mb/s, RX Bandwidth 15.69 Mb/s, RTT (us) mean 10.63, P50 8.60, P95 8.65, P99 8.65, max 1988.61
Host p0029.ten.osc.edu, Rank 0, Rate 188812.80 RPCs/s, TX Bandwidth 51.36 Mb/s, RX Bandwidth 15.11 Mb/s, RTT (us) mean 10.32, P50 7.84, P95 7.91, P99 7.92, max 1612.80
Host p0045.ten.osc.edu, Rank 4, Rate 193132.83 RPCs/s, TX Bandwidth 52.53 Mb/s, RX Bandwidth 15.45 Mb/s, RTT (us) mean 10.66, P50 8.80, P95 8.85, P99 8.86, max 2059.26
Host p0048.ten.osc.edu, Rank 7, Rate 179825.96 RPCs/s, TX Bandwidth 48.91 Mb/s, RX Bandwidth 14.39 Mb/s, RTT (us) mean 11.16, P50 8.86, P95 8.93, P99 8.94, max 1947.65
Host p0044.ten.osc.edu, Rank 3, Rate 200140.52 RPCs/s, TX Bandwidth 54.44 Mb/s, RX Bandwidth 16.01 Mb/s, RTT (us) mean 10.67, P50 8.10, P95 8.18, P99 8.19, max 1829.89
