mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.82.59:50051       -streaming=true       -req=131072       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:267173] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:267173] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 131072 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0112.ten.osc.edu, Rank 1, Rate 7018.66 RPCs/s, TX Bandwidth 7360.87 Mb/s, RX Bandwidth 0.56 Mb/s, RTT (us) mean 142.33, P50 95.10, P95 95.68, P99 95.68, max 154140.67
Host p0113.ten.osc.edu, Rank 2, Rate 5751.57 RPCs/s, TX Bandwidth 6032.19 Mb/s, RX Bandwidth 0.46 Mb/s, RTT (us) mean 173.65, P50 114.69, P95 115.33, P99 115.39, max 154009.60
Host p0111.ten.osc.edu, Rank 0, Rate 7161.87 RPCs/s, TX Bandwidth 7511.04 Mb/s, RX Bandwidth 0.57 Mb/s, RTT (us) mean 139.50, P50 100.29, P95 100.73, P99 100.80, max 150994.94
Host p0114.ten.osc.edu, Rank 3, Rate 6203.83 RPCs/s, TX Bandwidth 6506.43 Mb/s, RX Bandwidth 0.50 Mb/s, RTT (us) mean 161.06, P50 116.35, P95 116.93, P99 116.93, max 150994.94
Host p0112.ten.osc.edu, Rank 1, Rate 10503.49 RPCs/s, TX Bandwidth 11016.14 Mb/s, RX Bandwidth 0.84 Mb/s, RTT (us) mean 190.30, P50 150.91, P95 154.37, P99 154.37, max 1501.18
Host p0111.ten.osc.edu, Rank 0, Rate 10208.98 RPCs/s, TX Bandwidth 10707.32 Mb/s, RX Bandwidth 0.82 Mb/s, RTT (us) mean 195.80, P50 108.48, P95 109.31, P99 109.38, max 1158.14
Host p0114.ten.osc.edu, Rank 3, Rate 8574.91 RPCs/s, TX Bandwidth 8993.82 Mb/s, RX Bandwidth 0.69 Mb/s, RTT (us) mean 233.13, P50 124.48, P95 125.31, P99 125.38, max 1421.31
Host p0113.ten.osc.edu, Rank 2, Rate 8585.37 RPCs/s, TX Bandwidth 9004.79 Mb/s, RX Bandwidth 0.69 Mb/s, RTT (us) mean 232.83, P50 196.74, P95 200.19, P99 200.19, max 1405.95
Host p0112.ten.osc.edu, Rank 1, Rate 10493.83 RPCs/s, TX Bandwidth 11003.91 Mb/s, RX Bandwidth 0.84 Mb/s, RTT (us) mean 190.41, P50 150.78, P95 154.11, P99 154.37, max 1501.18
Host p0111.ten.osc.edu, Rank 0, Rate 10075.80 RPCs/s, TX Bandwidth 10565.57 Mb/s, RX Bandwidth 0.81 Mb/s, RTT (us) mean 197.08, P50 108.86, P95 109.63, P99 109.69, max 1352.70
