mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.82.59:50051       -streaming=true       -req=524288       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:11177] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:11177] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 524288 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0112.ten.osc.edu, Rank 1, Rate 1830.91 RPCs/s, TX Bandwidth 7683.63 Mb/s, RX Bandwidth 0.15 Mb/s, RTT (us) mean 545.59, P50 318.46, P95 323.33, P99 323.33, max 155320.32
Host p0113.ten.osc.edu, Rank 2, Rate 1710.89 RPCs/s, TX Bandwidth 7180.25 Mb/s, RX Bandwidth 0.14 Mb/s, RTT (us) mean 584.09, P50 309.76, P95 313.86, P99 314.11, max 155320.32
Host p0111.ten.osc.edu, Rank 0, Rate 2308.86 RPCs/s, TX Bandwidth 9688.34 Mb/s, RX Bandwidth 0.18 Mb/s, RTT (us) mean 432.88, P50 291.33, P95 294.65, P99 294.91, max 155451.39
Host p0114.ten.osc.edu, Rank 3, Rate 1766.56 RPCs/s, TX Bandwidth 7413.74 Mb/s, RX Bandwidth 0.14 Mb/s, RTT (us) mean 565.58, P50 310.27, P95 313.60, P99 313.60, max 154927.10
Host p0112.ten.osc.edu, Rank 1, Rate 1958.74 RPCs/s, TX Bandwidth 8215.63 Mb/s, RX Bandwidth 0.16 Mb/s, RTT (us) mean 527.45, P50 323.84, P95 327.68, P99 327.68, max 155320.32
Host p0113.ten.osc.edu, Rank 2, Rate 2867.85 RPCs/s, TX Bandwidth 12028.75 Mb/s, RX Bandwidth 0.23 Mb/s, RTT (us) mean 436.60, P50 300.03, P95 303.36, P99 303.36, max 155320.32
Host p0111.ten.osc.edu, Rank 0, Rate 3048.94 RPCs/s, TX Bandwidth 12788.26 Mb/s, RX Bandwidth 0.24 Mb/s, RTT (us) mean 373.12, P50 284.42, P95 287.49, P99 287.49, max 155451.39
Host p0114.ten.osc.edu, Rank 3, Rate 1972.62 RPCs/s, TX Bandwidth 8273.82 Mb/s, RX Bandwidth 0.16 Mb/s, RTT (us) mean 534.61, P50 313.60, P95 316.16, P99 316.42, max 154927.10
Host p0112.ten.osc.edu, Rank 1, Rate 1971.92 RPCs/s, TX Bandwidth 8270.89 Mb/s, RX Bandwidth 0.16 Mb/s, RTT (us) mean 520.44, P50 325.89, P95 331.26, P99 331.52, max 155320.32
Host p0113.ten.osc.edu, Rank 2, Rate 3079.66 RPCs/s, TX Bandwidth 12917.13 Mb/s, RX Bandwidth 0.25 Mb/s, RTT (us) mean 391.53, P50 198.27, P95 201.85, P99 202.24, max 155320.32
