time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-11 00:00:00+00:00,2.0,2.0,,
2024-08-12 00:00:00+00:00,,,3.0,1.0
2024-08-13 00:00:00+00:00,2.0,1.0,40.0,13.0
2024-08-14 00:00:00+00:00,,,9.0,5.0
2024-08-15 00:00:00+00:00,,,30.0,4.0
2024-08-16 00:00:00+00:00,1.0,1.0,2.0,1.0
2024-08-18 00:00:00+00:00,,,21.0,3.0
2024-08-19 00:00:00+00:00,5.0,3.0,11.0,4.0
2024-08-20 00:00:00+00:00,,,18.0,6.0
2024-08-21 00:00:00+00:00,5.0,3.0,37.0,1.0
2024-08-22 00:00:00+00:00,,,22.0,2.0
2024-08-23 00:00:00+00:00,2.0,1.0,3.0,1.0
