time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,0,0,1,1
2024-07-30 00:00:00+00:00,1,1,0,0
2024-08-01 00:00:00+00:00,0,0,43,2
2024-08-03 00:00:00+00:00,0,0,3,1
2024-08-04 00:00:00+00:00,0,0,6,2
2024-08-06 00:00:00+00:00,0,0,2,2
2024-08-07 00:00:00+00:00,2,2,0,0
2024-08-08 00:00:00+00:00,0,0,1,1
2024-08-09 00:00:00+00:00,2,1,1,1
2024-08-11 00:00:00+00:00,2,2,0,0
2024-08-12 00:00:00+00:00,0,0,3,1
2024-08-13 00:00:00+00:00,2,1,40,13
2024-08-14 00:00:00+00:00,0,0,9,5
2024-08-15 00:00:00+00:00,0,0,30,4
2024-08-16 00:00:00+00:00,1,1,2,1
2024-08-18 00:00:00+00:00,0,0,21,3
